brooklyn_condominium_property_address,comparable_rental_1_full_market_value,bin,_comparable_rental_1_boro_block_lot,comparable_rental_1_year_built,brooklyn_condominium_property_neighborhood,brooklyn_condominium_property_year_built,comparable_rental_2_building_classification,comparable_rental_1_total_units,comparable_rental_1_gross_income_per_sqft,community_board,nta,comparable_rental_1_building_classification
444 12 STREET,2730000,3347745.0,3-01173-0001,1912,PARK SLOPE,1920,D1-ELEVATOR,72,11.71,6.0,Park Slope-Gowanus                                                         ,D1-ELEVATOR
85 ADAMS STREET,9090000,3391222.0,3-00051-0012,2000,DOWNTOWN-FULTON FERRY,2006,D5-ELEVATOR,59,35.9,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D7-ELEVATOR
452 BEDFORD AVENUE,424000,3059671.0,3-01824-0057,1910,BEDFORD STUYVESANT,0,C1-WALK-UP,12,14.46,1.0,North Side-South Side                                                      ,C1-WALK-UP
84 FRONT STREET,9090000,3389054.0,3-00051-0012,2000,DOWNTOWN-FULTON FERRY,2006,D3-ELEVATOR,59,35.9,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D7-ELEVATOR
79 BRIDGE STREET,5470000,3000141.0,3-00036-0016,1910,DOWNTOWN-FULTON FERRY,1920,D8-ELEVATOR,23,24.73,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D5-ELEVATOR
130 PROSPECT PLACE,616000,3255806.0,3-01131-0003,1931,PROSPECT HEIGHTS,1920,,12,19.61,8.0,Prospect Heights                                                           ,C1-WALK-UP
222 PARK PLACE,1420000,3350251.0,3-01148-0020,2001,PROSPECT HEIGHTS,0,,32,13.45,8.0,Prospect Heights                                                           ,D1-ELEVATOR
53 61 SOUTH 8 STREET,1650000,,3-02322-0023,1910,WILLIAMSBURG-SOUTH,1999,,30,13.82,,,C1-WALK-UP
505 COURT STREET,8180000,3397571.0,3-00476-0019,1917,CARROLL GARDENS,2006,C1-WALK-UP,60,28.1,6.0,Carroll Gardens-Columbia Street-Red Hook                                   ,C5-WALK-UP
636 EASTERN PARKWAY,1710000,3324535.0,3-01282-0032,1916,CROWN HEIGHTS,1910,C1-WALK-UP,21,23.17,9.0,Crown Heights North                                                        ,C1-WALK-UP
328 BERGEN STREET,3040000,3378225.0,3-00249-0030,1960,BOERUM HILL,2004,C1-WALK-UP,26,37.1,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,C7-WALK-UP
94 SKILLMAN STREET,709000,3378326.0,3-01789-0033,1931,BEDFORD STUYVESANT,2002,,16,22.83,3.0,Bedford                                                                    ,C1-WALK-UP
609 MYRTLE AVENUE,3480000,3392142.0,3-01957-0030,1932,BEDFORD STUYVESANT,2005,D1-ELEVATOR,41,22.36,3.0,Bedford                                                                    ,D5-ELEVATOR
206 FRONT STREET,2750000,3391191.0,3-00042-0018,2002,DOWNTOWN-FULTON FERRY,2006,D5-ELEVATOR,26,22.32,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D8-ELEVATOR
664 MYRTLE AVENUE,13800000,3259562.0,3-01691-0012,1974,BEDFORD STUYVESANT,2003,,287,21.23,3.0,Clinton Hill                                                               ,D1-ELEVATOR
886 MYRTLE AVENUE,308000,3388856.0,3-01839-0011,1900,BEDFORD STUYVESANT,2006,,14,17.67,3.0,Bedford                                                                    ,C1-WALK-UP
260 SKILLMAN STREET,1600000,3390791.0,3-01637-0001,1995,BEDFORD STUYVESANT,2006,,86,27.9,3.0,Bedford                                                                    ,D1-ELEVATOR
90 SPENCER STREET,709000,3387583.0,3-01789-0033,1931,BEDFORD STUYVESANT,2004,,16,22.83,3.0,Bedford                                                                    ,C1-WALK-UP
31 WASHINGTON STREET,9090000,3388012.0,3-00051-0012,2000,DOWNTOWN-FULTON FERRY,2001,D3-ELEVATOR,59,35.9,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D7-ELEVATOR
