brooklyn_condominium_property_condo_section,brooklyn_condominium_property_gross_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_1_dist_from_coop_in_miles,borough,comparable_rental_1_neighborhood,comparable_rental_2_total_units,council_district,comparable_rental_2_gross_sqft,comparable_rental_1_gross_sqft
305-R1,7770,99.0,1.1,3,PARK SLOPE,16.0,39.0,7490.0,7800
932-R1,29054,,2.65,3,GREENPOINT,,35.0,,16000
1294-R1,12110,,0.55,3,BEDFORD STUYVESANT,,33.0,,7150
110-R1,40755,64.0,0.2,3,PROSPECT HEIGHTS,50.0,35.0,35700.0,35592
977-R1,14869,,4.15,3,SUNSET PARK,,33.0,,25600
127-R1,67038,,1.65,3,COBBLE HILL,,35.0,,35950
268-R1,20202,104.0,0.7,3,PARK SLOPE,16.0,39.0,21600.0,21195
1233-R1,15531,,0.6,3,BEDFORD STUYVESANT,,33.0,,7150
90-R1,11732,,0.55,3,PARK SLOPE,,39.0,,16752
943-R1,33198,131.0,0.5,3,CARROLL GARDENS,36.0,39.0,24192.0,24150
992-R1,17958,,1.1,3,BEDFORD STUYVESANT,,33.0,,5980
1531-R1,10784,,0.95,3,CROWN HEIGHTS,,35.0,,9600
254-R1,11174,85.0,2.9,3,SUNSET PARK,12.0,35.0,7237.0,11200
1114-R1,49210,136.0,0.4,3,PARK SLOPE,70.0,39.0,42562.0,41113
1288-R1,30802,,0.2,3,PARK SLOPE,,39.0,,15092
1308-R1,7297,,0.55,3,BEDFORD STUYVESANT,,33.0,,7150
446-R1,13640,27.9,0.85,3,OCEAN HILL,16.0,41.0,14000.0,12000
232-R2,19724,64.0,0.5,3,FORT GREENE,16.0,35.0,14604.0,14604
1128-R1,43348,60.0,0.75,3,PARK SLOPE,30.0,39.0,36636.0,39261
1500-R1,32139,148.0,2.1,3,DOWNTOWN-FULTON FERRY,14.0,35.0,4120.0,28358
226-R1,21120,55.0,0.0,3,FORT GREENE,26.0,35.0,35176.0,23547
1777-R1,206022,105.0,0.9,3,BROOKLYN HEIGHTS,364.0,35.0,242752.0,182000
241-R1,30455,,0.95,3,CROWN HEIGHTS,,36.0,,43200
1491-R1,14037,66.0,0.2,3,CARROLL GARDENS,18.0,39.0,17790.0,24150
1619-R1,8620,,0.4,3,CROWN HEIGHTS,,35.0,,6100
6-R1,68330,135.0,2.8,3,WILLIAMSBURG-NORTH,60.0,33.0,60664.0,48980
1213-R1,94982,40.9,0.65,3,PARK SLOPE,64.0,39.0,54000.0,31468
1101-R1,32500,99.0,0.65,3,BEDFORD STUYVESANT,16.0,33.0,7150.0,7800
970-R1,17387,40.5,1.05,3,BEDFORD STUYVESANT,11.0,33.0,5980.0,8025
1278-R1,58179,131.0,0.7,3,BROOKLYN HEIGHTS,67.0,35.0,60720.0,73032
985-R1,36414,53.0,1.05,3,BEDFORD STUYVESANT,12.0,33.0,8025.0,61380
151-R1,40060,27.1,1.05,3,CROWN HEIGHTS,32.0,35.0,30416.0,42800
1168-R1,24200,,1.0,3,BEDFORD STUYVESANT,,33.0,,15300
188-R1,9903,61.0,0.95,3,BOROUGH PARK,20.0,38.0,13500.0,13500
1181-R1,52530,97.0,0.3,3,DOWNTOWN-FULTON FERRY,26.0,33.0,28358.0,50932
1467-R1,248762,221.0,0.05,3,DOWNTOWN-FULTON MALL,187.0,33.0,182000.0,242752
1351-R1,17536,,0.55,3,BEDFORD STUYVESANT,,33.0,,7150
1349-R1,20930,,0.55,3,BEDFORD STUYVESANT,,33.0,,7150
312-R1,15401,40.7,0.15,3,CLINTON HILL,14.0,35.0,8450.0,14776
1665-R1,12090,133.0,0.55,3,SUNSET PARK,28.0,38.0,15000.0,14300
935-R1,67889,,2.15,3,FLATBUSH-CENTRAL,,41.0,,88000
1161-R1,24639,,0.55,3,CROWN HEIGHTS,,35.0,,28912
400-R1,60350,101.0,0.8,3,CLINTON HILL,35.0,35.0,19291.0,11356
1188-R1,32490,150.0,1.05,3,BROOKLYN HEIGHTS,20.0,33.0,11160.0,16334
1305-R1,38056,20.65,0.2,3,CLINTON HILL,41.0,35.0,37100.0,35820
232-R3,31540,88.0,0.65,3,FORT GREENE,30.0,35.0,31345.0,35176
1454-R1,15394,,0.4,3,CARROLL GARDENS,,39.0,,24150
851-R1,36666,92.0,0.6,3,PROSPECT HEIGHTS,16.0,35.0,14996.0,7237
83-R1,36669,75.0,0.65,3,PARK SLOPE SOUTH,41.0,39.0,25924.0,23500
1229-R1,34417,112.0,0.8,3,PARK SLOPE,29.0,39.0,18960.0,23800
229-R1,54818,86.0,1.0,3,BROOKLYN HEIGHTS,47.0,39.0,46410.0,41250
1771-R1,20085,145.0,0.2,3,DOWNTOWN-FULTON FERRY,48.0,33.0,21000.0,50457
232-R1,40875,88.0,0.65,3,FORT GREENE,30.0,35.0,31345.0,35176
1510-R1,8136,67.0,0.95,3,CROWN HEIGHTS,16.0,35.0,13200.0,13200
1483-R1,12942,,0.7,3,BEDFORD STUYVESANT,,47.0,,108000
1930-R1,16004,101.0,1.3,3,PARK SLOPE,35.0,35.0,19291.0,20562
245-R1,8392,36.2,0.35,3,PROSPECT HEIGHTS,16.0,35.0,16104.0,15480
1173-R1,24200,,1.0,3,BEDFORD STUYVESANT,,33.0,,15300
1422-R1,375000,105.0,0.05,3,DOWNTOWN-FULTON FERRY,364.0,33.0,242752.0,123700
64-R1,39656,73.0,0.6,3,PARK SLOPE,40.0,,41113.0,39261
525-R1,11050,,6.0,3,SUNSET PARK,,41.0,,9180
1558-R1,133465,66.0,0.0,3,CARROLL GARDENS,114.0,39.0,90288.0,60664
1247-R1,27608,61.0,0.3,3,CROWN HEIGHTS,18.0,35.0,12571.0,16980
1031-R1,100770,31.6,0.3,3,CROWN HEIGHTS,97.0,35.0,117250.0,80500
1292-R1,12338,,0.55,3,BEDFORD STUYVESANT,,33.0,,7150
591-R1,32087,,0.75,3,OCEAN HILL,,41.0,,15872
439-R1,11800,87.0,0.6,3,PARK SLOPE SOUTH,16.0,39.0,10508.0,18000
232-R4,34890,88.0,0.65,3,FORT GREENE,30.0,35.0,31345.0,35176
1052-R1,56353,73.0,0.75,3,PARK SLOPE,40.0,39.0,41113.0,39261
586-R1,15335,28.9,5.2,3,SUNSET PARK,16.0,41.0,16800.0,25600
