number_of_classes,grade_level,number_of_students
1,8,27
1,8,32
1,3,30
1,5,21
1,K,13
1,K,12
1,4,26
1,3,25
1,6,28
1,K,16
3,K,47
1,2,21
1,2,21
2,K,43
2,7,56
7,8,91
1,K,18
1,2,21
1,2,26
1,4,20
2,3,55
3,6,95
2,7,36
2,6,48
1,1,20
2,6,32
2,7,39
3,1,47
1,6,21
1,6,18
1,4,16
2,2,26
3,6,61
1,8,27
2,4,35
1,5,22
1,8,23
4,1,116
1,K,16
1,K,21
3,3,44
1,6,19
1,7,25
1,8,22
4,4,116
1,3,23
2,2,55
1,K,20
2,4,43
1,5,16
1,2,15
1,6,24
1,4,23
1,8,29
1,2,24
1,5,26
1,K,15
1,3,16
2,7,57
1,3,25
2,8,58
2,3,49
1,K,12
1,2,16
1,K,8
2,3,40
1,K,19
2,2,60
3,8,94
1,1,21
2,4,55
1,2,21
2,K,42
2,8,36
2,5,41
1,1,23
2,3,46
1,3,10
2,5,46
2,6,46
1,3,22
2,6,25
3,8,62
1,K,21
1,4,19
1,5,20
1,5,27
1,4,22
2,K,20
1,1,27
1,5,17
1,1,25
1,5,32
1,8,30
1,7,26
1,5,26
5,7,149
2,K,37
1,K,18
1,4,23
1,1,13
1,1,25
1,2,12
2,6,32
1,K,21
1,2,17
2,K,48
1,K,25
2,8,50
1,2,22
1,1,21
1,5,24
1,1,23
1,6,19
1,5,17
1,5,28
8,6,99
1,K,13
1,4,25
1,5,27
4,5,112
1,1,11
1,K,24
2,5,48
5,6,152
4,K,100
1,3,22
1,1,25
1,K,25
1,K,22
2,1,46
1,K,22
1,1,24
8,7,97
1,K,20
1,K,21
1,2,20
1,7,22
1,2,26
1,3,22
1,2,30
1,4,21
1,7,23
1,2,18
1,K,25
1,8,29
1,4,28
2,5,53
1,1,19
1,3,25
1,K,19
3,1,48
1,K,17
1,7,31
3,7,91
3,2,47
1,2,23
2,8,60
1,4,23
1,5,19
1,3,20
1,3,28
1,K,19
4,3,122
1,1,25
1,2,23
1,3,16
2,4,39
1,1,12
2,7,57
3,K,37
1,4,19
1,1,24
3,2,89
2,K,28
1,3,25
1,1,25
1,2,25
2,4,47
1,2,22
1,4,26
1,5,19
1,3,22
1,1,18
1,1,11
3,3,54
1,5,19
2,3,48
1,5,22
2,1,20
1,4,9
1,4,25
1,4,20
2,7,40
1,1,19
1,3,13
1,4,14
1,6,30
1,3,23
5,8,136
