minimum_class_size
27
32
30
21
<15
<15
26
25
28
16
<15
21
21
21
28
<15
18
21
26
20
27
31
15
22
20
16
18
<15
21
18
16
<15
17
27
17
22
23
29
16
21
<15
19
25
22
27
23
27
20
20
16
15
24
23
29
24
26
15
16
28
25
29
24
<15
16
<15
19
19
29
30
21
25
21
21
18
20
23
22
<15
22
23
22
<15
19
21
19
20
27
22
<15
27
17
25
32
30
26
26
29
16
18
23
<15
25
<15
15
21
17
24
25
23
22
21
24
23
19
17
28
<15
<15
25
27
27
<15
24
24
30
25
22
25
25
22
22
22
24
<15
20
21
20
22
26
22
30
21
23
18
25
29
28
26
19
25
19
15
17
31
29
<15
23
28
23
19
20
28
19
29
25
23
16
19
<15
28
<15
19
24
28
<15
25
25
25
22
22
26
19
22
18
<15
15
19
23
22
<15
<15
25
20
18
19
<15
<15
30
23
25
