principal,horizion_communication_score,parent_academic_expectations,communication_score,teacher_communication_score,student_horizon_engagement,parent_communication_score,teacher_engagement_score
Carol Brady-Joyce,41.5,7.9,6.8,5.1,51.6,7.9,5.6
Antoinette Rose,70.1,6.7,7.4,7.3,80.6,7.1,6.9
Gloria Sorkin,83.4,8.2,7.7,6.8,87.1,7.9,6.7
Deborah Evans,74.4,8.4,7.5,6.4,,8.5,6.8
Mary Ann Andrews,67.5,8.4,7.3,6.6,45.2,8.5,6.4
Lourdes Mendez,54.6,8.0,7.0,5.7,35.5,7.9,5.8
Merryl Redner-Cohen,68.6,7.5,7.3,6.1,54.8,7.5,6.5
Kathy Posa,94.3,7.9,7.9,7.3,87.1,8.1,7.7
Oswaldo Roman,65.1,8.1,7.3,7.1,48.4,8.1,6.9
Debbie Edmonds,67.3,7.4,7.3,7.3,77.4,7.7,7.0
Sharon Izzo,93.3,7.8,7.9,7.2,77.4,7.9,7.2
Ava Cara Kaplan,56.1,8.1,7.1,6.0,74.2,7.5,6.2
Rima Ritholtz,100.0,8.3,8.3,7.6,83.9,8.4,7.8
Dania Cheddie,34.6,7.7,6.6,5.7,61.3,7.7,6.1
Susan Goldberg,18.0,7.8,6.3,5.4,16.1,7.8,5.2
Barbara Hanson,78.1,8.2,7.5,7.3,67.7,7.9,7.2
Arthur Mattia,63.7,8.1,7.2,7.0,,7.5,8.6
Susan Finn,8.3,7.0,6.1,5.8,29.0,7.0,6.1
Joan Washington,51.2,7.7,7.0,7.1,71.0,7.5,7.6
Barry Daub,63.6,8.3,7.2,6.9,35.5,7.9,6.5
Jean Marie Chin,49.3,7.7,6.9,6.1,74.2,7.3,6.6
Robert Wojnarowski,18.3,7.2,6.3,5.5,51.6,7.1,5.5
Joycelyn Nedd,56.5,8.2,7.1,6.4,61.3,8.0,6.3
Johanna Schneider,48.6,7.7,6.9,7.2,22.6,7.4,6.5
Desmond Park,62.6,7.8,7.2,7.2,38.7,7.9,7.3
Kathleen Lefevre,38.9,7.8,6.7,6.3,48.4,7.8,5.8
Ilisa Sulner,30.3,6.8,6.5,5.3,64.5,6.9,5.4
Rosa Nieves Greene,53.2,7.0,7.0,6.8,41.9,7.3,6.7
Ronnie Shuster,9.3,6.6,6.1,5.3,45.2,6.8,5.5
Beth Rudolph,67.6,7.8,7.3,5.9,96.8,7.9,5.7
Rebecca Bravo,44.6,8.4,6.8,5.1,71.0,7.9,5.6
William Bates,41.7,7.6,6.8,6.4,41.9,7.5,6.4
Robin Cohen,53.2,7.7,7.0,6.5,48.4,7.7,6.3
Tobias Weissman,25.5,8.1,6.4,5.7,29.0,7.7,5.7
Valerie Miller,69.8,7.8,7.4,6.8,64.5,7.5,6.9
Marcy Berger,57.7,8.2,7.1,7.4,25.8,8.1,6.9
Brenda Gallashaw,44.6,8.1,6.8,6.2,77.4,7.5,6.3
Phyllis Weinfeld,54.9,8.2,7.1,6.4,54.8,8.4,6.2
Michelle Carpenter,8.8,6.9,6.1,6.1,32.3,6.8,5.1
Nira Schwartz-Nyitray,52.8,7.4,7.0,6.6,,7.7,5.2
Laura Giannino,75.1,7.1,7.5,6.8,71.0,7.5,6.4
Ellis Scope,32.9,7.0,6.6,6.4,45.2,6.8,6.2
Jacqueline Keane,35.8,7.6,6.7,5.9,19.4,7.7,6.1
Richard Marowitz,70.4,7.9,7.4,7.6,29.0,8.2,8.0
Adrienne Edelstein,51.0,7.8,7.0,6.1,58.1,8.2,6.5
Caron Martin,58.7,8.0,7.1,6.6,51.6,7.8,6.6
Marta Rojo,36.7,8.0,6.7,6.2,45.2,8.2,6.6
Wendy Weiss,67.8,7.9,7.3,6.8,67.7,7.6,6.9
Ilene Goldstein-Harnett,60.7,7.5,7.2,5.9,100.0,7.5,6.0
Arthur Fusco,42.6,7.5,6.8,6.2,41.9,7.6,5.8
Jacqueline Zaretsky,89.0,8.4,7.8,7.4,51.6,8.3,7.3
Christine Walsh,50.1,7.8,7.0,6.5,51.6,7.3,6.7
Yvrose Pierre,38.6,6.7,6.7,7.0,51.6,6.6,6.7
Mary McInerney,95.0,7.8,7.9,8.1,87.1,8.0,8.4
William Fiorelli,83.0,7.8,7.6,7.0,0.0,8.1,7.6
Rudy Giuliani,46.7,7.8,6.9,6.7,45.2,7.4,6.4
