school_name,parent_engagement_score,engagement_score,parent_horizon_safety_and,student_academic_expectations
The Richard H. Hungerford School,7.9,8.3,75.0,8.1
P.S. K231,7.3,7.3,45.0,8.4
P.S. Q256,7.8,7.3,50.0,7.4
P.S. M226,7.4,7.1,65.0,7.5
P.S. K753 - School for Career Development,6.9,7.0,0.0,7.4
P.S. R373,7.4,7.7,55.0,9.7
The Vida Bogart School for All Children,7.6,6.8,60.0,7.9
P.S. 035,8.0,7.3,45.0,7.4
P.S. Q023 @ Queens Children Center,8.3,7.3,70.0,7.9
P.S. Q233,7.5,7.6,60.0,7.5
P.S. K140,6.7,6.2,15.0,7.1
P.S. M079 - Horan School,8.1,7.2,65.0,7.8
P.S. K141,7.2,6.7,55.0,7.5
P.S. X017,7.4,7.0,60.0,7.7
P.S. X188,7.9,7.4,80.0,7.9
P.S. R037,8.0,7.1,80.0,7.7
P.S. Q177,8.1,8.1,75.0,8.5
P.S. 009,6.8,6.5,35.0,7.7
P.S. 371 - Lillian L. Rashkis,8.3,7.3,70.0,7.4
P.S. Q004,8.0,7.1,75.0,6.9
P.S. 370,7.7,6.5,70.0,6.8
P.S. K721 - Brooklyn Occupational Training Center,7.9,7.5,65.0,7.9
P.S. 368,7.9,7.3,55.0,7.9
P.S. M811 - Mickey Mantle School,7.9,7.1,60.0,8.0
P.S. Q811,7.6,7.7,65.0,8.1
Robert E. Peary School,7.7,7.4,70.0,8.3
P.S. M094,6.6,6.5,35.0,7.8
P.S. Q721 - Queens Occupational Training Center,7.8,7.4,75.0,8.6
P.S. Q224,7.8,7.3,70.0,7.4
P.S. K396,7.7,6.2,55.0,
P.S. X176,8.2,8.1,75.0,8.3
J. M. Rapport School Career Development,6.9,6.7,10.0,7.5
South Richmond High School I.S./P.S. 25,7.3,6.9,40.0,7.4
P.S. X010,7.8,7.6,70.0,8.2
P.S. X012 Lewis and Clark School,7.9,7.0,10.0,7.6
P.S. K369  - Coy L. Cox School,7.4,7.0,60.0,7.3
P.S. 168,6.9,6.9,40.0,8.1
P.S. X721 - Stephen McSweeney School,7.4,7.3,50.0,8.3
P.S. K771,7.6,7.7,65.0,8.7
P186X Walter J. Damrosch School,7.5,7.3,50.0,8.5
Manhattan School for Career Development,7.9,6.8,60.0,6.5
P.S. K053,7.8,7.6,60.0,8.6
P.S. K036,6.9,6.7,25.0,7.2
P.S. 373 - Brooklyn Transition Center,7.5,7.4,45.0,8.1
P.S. Q993,8.2,7.7,85.0,7.8
P.S. K077,7.5,7.2,55.0,7.9
P.S. 138,7.4,6.6,65.0,7.3
X723,7.4,7.1,50.0,7.7
P.S. M721 - Manhattan Occupational Training Center,7.9,7.0,65.0,7.8
P.S. K004,8.3,7.6,80.0,
P.S. 372 -The Children's School,7.7,8.1,65.0,
P.S. X811,7.8,7.2,60.0,7.7
P.S. K811 Connie Lekas School,6.8,7.4,40.0,8.2
Queens School for Career Development,6.5,6.7,35.0,7.8
P.S. Q255,8.0,7.5,70.0,7.4
P.S. M169 - Robert F. Kennedy,7.2,6.6,35.0,6.9
