dbn,principal,academic_expectations_score,students_received_surveys,parent_horizon_engagement,safety_and_respect_score,horizion_safety_and_respect
75X017,Robin Cohen,7.3,False,55.0,7.2,41.8
75K141,Arthur Fusco,7.2,False,45.0,7.1,38.7
75R025,William Bates,7.3,False,40.0,7.2,40.6
75Q009,Robert Wojnarowski,6.7,False,20.0,6.6,18.2
75K053,Gloria Sorkin,8.1,False,65.0,8.2,78.8
75Q721,Beth Rudolph,7.4,False,70.0,8.1,73.1
75K140,Michelle Carpenter,7.0,False,15.0,6.7,20.7
75X176,Rima Ritholtz,8.1,False,90.0,8.7,94.8
75K369,Rudy Giuliani,7.2,False,50.0,7.2,42.1
75Q023,Phyllis Weinfeld,7.9,False,90.0,7.7,60.0
75K004,Deborah Evans,7.7,True,95.0,8.4,85.9
75K396,Nira Schwartz-Nyitray,6.4,True,60.0,7.5,52.4
75Q255,Richard Marowitz,7.7,False,80.0,8.0,71.9
75X811,Caron Martin,7.4,False,65.0,7.7,58.4
75R373,Ilene Goldstein-Harnett,7.8,False,55.0,7.4,47.0
75K036,Johanna Schneider,7.5,False,30.0,6.8,24.9
75K721,Wendy Weiss,7.6,False,70.0,7.8,64.4
75M226,Dania Cheddie,7.1,False,50.0,7.7,60.7
75K077,Merryl Redner-Cohen,7.3,False,60.0,7.9,66.5
75K368,Joycelyn Nedd,7.7,False,70.0,7.2,42.2
75K811,Antoinette Rose,7.6,False,30.0,7.8,63.7
75X723,Christine Walsh,7.5,False,40.0,7.6,56.7
75X721,Jean Marie Chin,7.5,False,45.0,8.0,69.8
75M079,Rebecca Bravo,7.1,False,75.0,7.2,42.2
75M035,Marta Rojo,7.6,False,85.0,7.0,34.2
75Q075,Brenda Gallashaw,7.7,False,60.0,7.6,54.1
75X754,Ellis Scope,7.0,False,20.0,6.7,23.6
75Q811,Joan Washington,7.8,False,55.0,8.2,76.7
75X010,Barbara Hanson,8.0,False,65.0,7.8,62.6
75K372,Arthur Mattia,8.3,True,60.0,8.7,97.0
75M721,Carol Brady-Joyce,7.2,False,80.0,7.9,66.2
75R721,Mary McInerney,8.3,False,75.0,8.7,97.2
75M169,Susan Finn,6.7,False,35.0,6.7,21.3
75Q004,Marcy Berger,7.6,False,80.0,7.6,54.5
75K771,Sharon Izzo,8.2,False,60.0,8.2,78.8
75X168,Rosa Nieves Greene,7.4,False,30.0,7.4,46.4
75Q752,Ilisa Sulner,6.8,False,25.0,7.1,36.1
75R037,William Fiorelli,7.7,False,80.0,7.6,55.2
75M811,Barry Daub,7.7,False,70.0,7.4,49.7
75Q256,Oswaldo Roman,7.8,False,70.0,7.5,50.8
75K231,Laura Giannino,7.6,False,50.0,8.1,73.6
75Q224,Desmond Park,7.6,False,65.0,7.8,64.7
75Q993,Jacqueline Zaretsky,8.1,False,90.0,8.3,83.0
75K371,Mary Ann Andrews,7.6,False,95.0,7.4,49.1
75X352,Lourdes Mendez,7.4,False,60.0,7.3,43.0
75Q233,Debbie Edmonds,7.7,False,55.0,7.6,55.5
75M138,Jacqueline Keane,7.0,False,50.0,7.3,42.8
75X186,Ava Cara Kaplan,7.6,False,50.0,7.3,43.9
75K373,Valerie Miller,7.6,False,55.0,7.6,56.3
75X012,Kathleen Lefevre,7.3,False,70.0,6.6,18.0
75M094,Ronnie Shuster,6.7,False,10.0,7.0,34.1
75K753,Yvrose Pierre,7.0,False,25.0,6.8,27.0
75Q177,Kathy Posa,8.1,False,85.0,8.6,91.2
75X188,Adrienne Edelstein,7.6,False,80.0,7.6,53.9
75K370,Susan Goldberg,6.8,False,75.0,6.7,21.1
75M751,Tobias Weissman,6.8,False,75.0,6.8,25.8
