bronx_condominium_property_condo_section,bronx_condominium_property_gross_sqft,comparable_rental_2_total_units,bronx_condominium_property_market_value_per_sqft,comparable_rental_1_gross_sqft,bronx_condominium_property_building_classification,_comparable_rental_1_boro_block_lot,bronx_condominium_property_full_market_value,comparable_rental_1_market_value_per_sqft
83-R1,12624,14.0,51.0,20971,R2-WALK-UP,2-03802-0028,641001,50.0
81-R1,21861,16.0,76.0,15712,R2-WALK-UP,2-03199-0007,1660000,98.0
30-R1,10108,15.0,75.0,9424,R4-ELEVATOR,2-03145-0025,760999,38.2
74-R1,112935,118.0,39.8,144730,R4-ELEVATOR,2-02372-0041,4490000,36.2
33-R4,22199,24.0,47.7,20971,R2-WALK-UP,2-03802-0028,1059999,50.0
41-R1,132000,84.0,32.9,108955,R9-CONDOPS,2-05732-0924,4340000,34.4
33-R6,34516,27.0,47.8,20971,R2-WALK-UP,2-03802-0028,1650000,50.0
76-R1,29320,27.0,42.0,30000,R2-WALK-UP,2-04753-0029,1230001,41.7
16-R1,63416,55.0,63.0,94682,R4-ELEVATOR,2-03142-0200,4000024,52.0
60-R1,16605,23.0,38.4,10100,R2-WALK-UP,2-05388-0009,637998,30.2
53-R1,14384,18.0,40.5,11055,R2-WALK-UP,2-02427-0001,583003,35.7
14-R1,116200,74.0,20.22,137350,R4-ELEVATOR,2-04338-0012,2350042,20.24
48-R1,16638,21.0,46.8,31133,R2-WALK-UP,2-03296-0047,778995,54.0
84-R1,99590,90.0,42.3,100498,R4-ELEVATOR,2-05787-0137,4209998,40.5
73-R1,24262,68.0,66.0,17750,R4-ELEVATOR,2-02474-0051,1609988,67.0
38-R1,15934,24.0,48.9,6510,R2-WALK-UP,2-05333-0106,778999,63.0
75-R1,19225,27.0,68.0,18720,R2-WALK-UP,2-03740-0052,1310008,32.7
2-R1,3801490,,25.1,265625,R4-ELEVATOR,2-03895-0001,95600027,27.8
23-R3,2723821,157.0,28.1,130500,R4-ELEVATOR,2-03925-0018,76499825,30.3
11-R1,35000,37.0,49.4,31098,R4-ELEVATOR,2-05716-0287,1730004,62.0
23-R1,109764,92.0,30.2,130500,R4-ELEVATOR,2-03925-0018,3319981,30.3
6-R1,292370,608.0,71.0,443283,R4-ELEVATOR,2-05909-0825,20799991,75.0
23-R4,3364977,157.0,28.1,130500,R4-ELEVATOR,2-03925-0018,94500028,30.3
62-R1,14969,15.0,77.0,9424,R4-ELEVATOR,2-03145-0025,1150000,38.2
33-R5,20304,24.0,47.9,20971,R2-WALK-UP,2-03802-0028,972999,50.0
46-R1,93600,51.0,38.9,11055,R2-WALK-UP,2-02427-0001,3639447,35.7
56-R1,19080,15.0,69.0,6260,R2-WALK-UP,2-05786-0240,1319994,71.0
34-R1,79920,62.0,36.0,106146,R9-CONDOPS,2-03307-0072,2880000,36.4
40-R1,95061,85.0,38.8,79000,R4-ELEVATOR,2-03219-0055,3689993,39.5
28-R1,62350,86.0,47.0,78750,R4-ELEVATOR,2-03156-0141,2929999,32.0
27-R1,56000,38.0,40.9,35960,R4-ELEVATOR,2-04322-0043,2290010,40.9
32-R1,30743,42.0,63.0,48100,R4-ELEVATOR,2-05851-2105,1940002,63.0
12-R1,27316,,46.9,31125,R4-ELEVATOR,2-04249-0042,1280009,46.9
82-R1,63738,38.0,28.9,52204,R2-WALK-UP,2-03212-0021,1840002,29.5
70-R1,108100,90.0,33.2,87902,R9-CONDOPS,2-04253-0080,3590000,33.2
23-R2,1867373,157.0,28.1,130500,R4-ELEVATOR,2-03925-0018,52400174,30.3
66-R1,16688,,64.0,41800,R4-ELEVATOR,2-04153-0008,1059999,64.0
90-R1,14200,15.0,89.0,6260,R2-WALK-UP,2-05786-0240,1269992,71.0
17-R1,127290,74.0,20.19,137350,R4-ELEVATOR,2-04338-0012,2570010,20.24
33-R3,15972,24.0,42.3,16507,R2-WALK-UP,2-05371-0060,676000,35.3
36-R1,87502,92.0,30.0,87156,R9-CONDOPS,2-03156-0009,2627980,34.3
2-R2,109764,,25.1,265625,R4-ELEVATOR,2-03895-0001,2759988,27.8
79-R1,59005,58.0,51.0,62000,R4-ELEVATOR,2-03328-0108,2989992,49.0
67-R1,40468,42.0,60.0,31098,R4-ELEVATOR,2-05716-0287,2410001,62.0
19-R1,71146,403.0,59.0,65520,R4-ELEVATOR,2-03612-0013,4230003,55.0
72-R1,279904,136.0,38.9,66000,R9-CONDOPS,2-02406-0021,10900000,31.7
33-R1,47376,55.0,55.0,41803,R2-WALK-UP,2-05907-0348,2610009,55.0
63-R1,20280,24.0,63.0,19265,R4-ELEVATOR,2-03118-0036,1280002,56.0
