bronx_condominium_property_gross_sqft,nta,borough,bronx_condominium_property_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_total_units,comparable_rental_2_address,comparable_rental_2_est_gross_income
12624,Schuylerville-Throgs Neck-Edgewater Park                                   ,2,2-05529-7501,THROGS NECK,1.6,33,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""835 THROGS NECK"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",84900.0
21861,Van Cortlandt Village                                                      ,2,2-03261-7501,WAKEFIELD,2.95,16,"{'latitude': '40.899207278895', 'longitude': '-73.850339896766', 'human_address': '{""address"": ""4524 BARNES AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",137400.0
10108,Spuyten Duyvil-Kingsbridge                                                 ,2,2-05787-7501,RIVERDALE,0.2,16,"{'latitude': '40.886877804886', 'longitude': '-73.908631585139', 'human_address': '{""address"": ""3615 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",143532.0
112935,Longwood                                                                   ,2,2-02703-7501,CASTLE HILL/UNIONPORT,2.2,119,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2001 BRUCKNER BOULEVARD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1296917.0
22199,Soundview-Castle Hill-Clason Point-Harding Park                            ,2,2-03432-7501,RIVERDALE,7.0,33,"{'latitude': '40.902340245832', 'longitude': '-73.898609426903', 'human_address': '{""address"": ""5431 SYLVAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",236069.0
132000,Spuyten Duyvil-Kingsbridge                                                 ,2,2-05771-7501,RIVERDALE,0.15,78,"{'latitude': '40.887904997599', 'longitude': '-73.909348380681', 'human_address': '{""address"": ""3640 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1097204.0
34516,Soundview-Castle Hill-Clason Point-Harding Park                            ,2,2-03432-7501,SCHUYLERVILLE/PELHAM BAY,2.35,33,"{'latitude': '40.838890343941', 'longitude': '-73.835981548445', 'human_address': '{""address"": ""3080 TREMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",172550.0
29320, Williamsbridge-Olinville,2,2-04668-7501,WAKEFIELD,1.0,23,"{'latitude': '40.897127541215', 'longitude': '-73.854169824041', 'human_address': '{""address"": ""4360 FURMAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",258624.0
63416,Schuylerville-Throgs Neck-Edgewater Park                                   ,2,2-05604-7501,RIVERDALE,7.4,99,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6425 BROADWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",746149.0
16605,Pelham Bay-Country Club-City Island                                        ,2,2-05643-7501,SCHUYLERVILLE/PELHAM BAY,2.6,13,"{'latitude': '40.842555432655', 'longitude': '-73.832017700828', 'human_address': '{""address"": ""1527 PLYMOUTH AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",189567.0
14384,Longwood                                                                   ,2,2-02686-7501,MOTT HAVEN/PORT MORRIS,1.25,16,"{'latitude': '40.809276530791', 'longitude': '-73.923225016891', 'human_address': '{""address"": ""389 138 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",151045.0
116200,Bronxdale                                                                  ,2,2-04340-7501,BRONXDALE,0.15,108,"{'latitude': '40.858184477605', 'longitude': '-73.870607879687', 'human_address': '{""address"": ""620 REISS PLACE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",623376.0
16638,Van Cortlandt Village                                                      ,2,2-03318-7501,BEDFORD PARK/NORWOOD,0.2,38,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2871 GRAND"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",275559.0
99590,Spuyten Duyvil-Kingsbridge                                                 ,2,2-05723-7501,RIVERDALE,0.85,85,"{'latitude': '40.889579457198', 'longitude': '-73.911174785847', 'human_address': '{""address"": ""600 239 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1187061.0
24262,Highbridge                                                                 ,2,2-02516-7501,MORRISANIA/LONGWOOD,1.7,20,"{'latitude': '40.823906296766', 'longitude': '-73.898833754444', 'human_address': '{""address"": ""1022 REV JAMES POLITE AVE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",312464.0
15934,North Riverdale-Fieldston-Riverdale                                        ,2,2-05944-7501,SCHUYLERVILLE/PELHAM BAY,5.5,13,"{'latitude': '40.842879852411', 'longitude': '-73.831004493703', 'human_address': '{""address"": ""1544 GILLESPIE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",226437.0
19225,,2,2-04664-7501,WESTCHESTER,3.1,25,"{'latitude': '40.837704045804', 'longitude': '-73.845588603102', 'human_address': '{""address"": ""1405 ROWLAND STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",216715.0
3801490,Parkchester                                                                ,2,2-03944-7501,,,238,,
2723821,Parkchester                                                                ,2,2-03929-7501,PELHAM PARKWAY SOUTH,1.3,120,"{'latitude': '40.853699684387', 'longitude': '-73.869138050698', 'human_address': '{""address"": ""2100 BRONX PARK"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1651470.0
35000,Spuyten Duyvil-Kingsbridge                                                 ,2,2-05725-7501,RIVERDALE,0.8,25,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3900 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",396156.0
109764,Parkchester                                                                ,2,2-03929-7501,PARKCHESTER,0.25,120,"{'latitude': '40.834369260106', 'longitude': '-73.857194385368', 'human_address': '{""address"": ""2022 BENEDICT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",902271.0
292370,North Riverdale-Fieldston-Riverdale                                        ,2,2-05923-7501,RIVERDALE,0.85,403,"{'latitude': '40.87884073942', 'longitude': '-73.916759477415', 'human_address': '{""address"": ""2600 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",14462885.0
3364977,Parkchester                                                                ,2,2-03929-7501,PELHAM PARKWAY SOUTH,1.0,120,"{'latitude': '40.853699684387', 'longitude': '-73.869138050698', 'human_address': '{""address"": ""2100 BRONX PARK"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1651470.0
14969,Spuyten Duyvil-Kingsbridge                                                 ,2,2-05798-7501,RIVERDALE,0.0,16,"{'latitude': '40.886877804886', 'longitude': '-73.908631585139', 'human_address': '{""address"": ""3615 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",143532.0
20304,Soundview-Castle Hill-Clason Point-Harding Park                            ,2,2-03432-7501,RIVERDALE,7.0,33,"{'latitude': '40.902340245832', 'longitude': '-73.898609426903', 'human_address': '{""address"": ""5431 SYLVAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",236069.0
