bronx_condominium_property_est_gross_income,council_district,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_year_built,bronx_condominium_property_total_units,latitude,comparable_rental_2_market_value_per_sqft,bbl,bronx_condominium_property_neighborhood,postcode,bronx_condominium_property_gross_income_per_sqft
170424,13.0,9.66,13.33,1964,15,40.809437,32.6,2055297501.0,THROGS NECK,10465.0,13.5
409136,14.0,9.16,22.0,2005,16,40.878384,30.2,2032617501.0,KINGSBRIDGE/JEROME PARK,10463.0,18.72
187200,11.0,19.01,13.52,1925,15,40.884288,77.0,2057877501.0,RIVERDALE,10463.0,18.52
1275036,17.0,11.53,10.71,2005,111,40.822388,40.6,2027037501.0,MORRISANIA/LONGWOOD,10459.0,11.29
283037,18.0,12.59,13.33,1964,18,40.806972,47.3,2034327501.0,SOUNDVIEW,10473.0,12.75
1283040,11.0,9.09,10.18,1955,106,40.888148,30.0,2057717501.0,RIVERDALE,10463.0,9.72
440079,18.0,10.45,13.33,1964,28,40.807073,35.3,2034327501.0,SOUNDVIEW,10473.0,12.75
348686,12.0,9.84,11.82,2000,24,40.884683,33.3,2046687501.0,WILLIAMSBRIDGE,10467.0,11.89
982948,13.0,15.51,18.25,1972,52,40.813601,63.0,2056047501.0,THROGS NECK,10465.0,15.5
180994,13.0,10.89,9.16,1931,16,40.847655,38.4,2056437501.0,CITY ISLAND,10464.0,10.9
165416,17.0,11.55,10.58,1923,13,40.815812,40.7,2026867501.0,MORRISANIA/LONGWOOD,10455.0,11.5
764596,15.0,7.2,6.58,1954,122,40.861391,22.07,2043407501.0,BRONXDALE,10467.0,6.58
207309,14.0,13.61,13.69,1965,18,40.870197,54.0,2033187501.0,BEDFORD PARK/NORWOOD,10468.0,12.46
1195080,11.0,12.03,11.5,1954,73,40.877629,42.4,2057237501.0,RIVERDALE,10463.0,12.0
396198,16.0,10.71,16.47,1910,28,40.837764,30.2,2025167501.0,HIGHBRIDGE/MORRIS HEIGHTS,10452.0,16.33
207142,11.0,12.93,15.43,1929,12,40.897679,48.6,2059447501.0,RIVERDALE,10471.0,13.0
322299,,9.61,9.67,1926,24,,32.4,,WILLIAMSBRIDGE,,16.76
31134203,18.0,,8.43,1965,3857,40.838831,,2039447501.0,PARKCHESTER,10462.0,8.19
23206954,18.0,9.77,9.18,1930,2659,40.834627,33.0,2039387501.0,PARKCHESTER,10462.0,8.52
460250,11.0,10.44,15.19,1932,24,40.880845,35.3,2057257501.0,RIVERDALE,10463.0,13.15
1007633,18.0,8.74,9.18,1930,128,40.838382,26.8,2039377501.0,PARKCHESTER,10462.0,9.18
