bronx_condominium_property_condo_section,bronx_condominium_property_address,bronx_condominium_property_est_gross_income,bin,longitude,comparable_rental_2_full_market_value,comparable_rental_1_est_gross_income,comparable_rental_2_gross_sqft
23-R3,"{'latitude': '40.834645270932', 'longitude': '-73.860803851419', 'human_address': '{""address"": ""1925 MC GRAW AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",23206954,2096672.0,-73.86086,5580000.0,1198097,168990.0
11-R1,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2600 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",460250,2083283.0,-73.917535,1340000.0,472245,37962.0
70-R1,"{'latitude': '40.851280197433', 'longitude': '-73.867773653195', 'human_address': '{""address"": ""2040 WHITE PLAINS ROAD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1061542,2114768.0,-73.867794,2300000.0,863246,82015.0
2-R2,"{'latitude': '40.840785931745', 'longitude': '-73.854287730012', 'human_address': '{""address"": ""1722 PURDY STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",898967,2096762.0,-73.85455,,2239219,
33-R3,"{'latitude': '40.806886442536', 'longitude': '-73.852493556862', 'human_address': '{""address"": ""124 NEPTUNE LANE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",191664,2099280.0,-73.852837,887000.0,172550,18756.0
48-R1,"{'latitude': '40.870134970336', 'longitude': '-73.892610472518', 'human_address': '{""address"": ""2805A CRESTON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",207309,2097012.0,-73.892502,1090000.0,426093,20250.0
28-R1,"{'latitude': '40.880759467455', 'longitude': '-73.922278885436', 'human_address': '{""address"": ""2521 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",779375,2087530.0,-73.922066,4990000.0,764368,103392.0
56-R1,"{'latitude': '40.814060137279', 'longitude': '-73.821646875504', 'human_address': '{""address"": ""195 BALCOM AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",324360,2090597.0,-73.821723,584000.0,108560,7550.0
40-R1,"{'latitude': '40.88950389842', 'longitude': '-73.904451506606', 'human_address': '{""address"": ""3900 GREYSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1045671,2084041.0,-73.904475,4070000.0,886375,100498.0
33-R5,"{'latitude': '40.806653690769', 'longitude': '-73.853452633648', 'human_address': '{""address"": ""201 SUNSET BOULEVARD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",258876,2099274.0,-73.853376,887000.0,279547,18756.0
83-R1,"{'latitude': '40.809371426104', 'longitude': '-73.802555644605', 'human_address': '{""address"": ""24 PENNYFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",170424,2124419.0,-73.802793,287000.0,279547,8792.0
6-R1,"{'latitude': '40.888921447901', 'longitude': '-73.91687613153', 'human_address': '{""address"": ""4455 DOUGLAS AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",5116475,2096857.0,-73.916845,58800000.0,8181864,844578.0
81-R1,"{'latitude': '40.878287557991', 'longitude': '-73.901131318804', 'human_address': '{""address"": ""3097 HEATH AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",409136,2114270.0,-73.90099,453000.0,345664,15000.0
53-R1,"{'latitude': '40.815857524884', 'longitude': '-73.900758859845', 'human_address': '{""address"": ""717 KELLY STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",165416,2005136.0,-73.900773,532000.0,116955,13083.0
63-R1,"{'latitude': '40.889232471884', 'longitude': '-73.911487178489', 'human_address': '{""address"": ""3800 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",314340,2116335.0,-73.911513,1310000.0,273276,22580.0
12-R1,"{'latitude': '40.84569734589', 'longitude': '-73.832677608421', 'human_address': '{""address"": ""1725 EDISON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",341450,2045932.0,-73.832637,,387617,
34-R1,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3130 GRAND"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",852746,,,2210000.0,1142428,67930.0
16-R1,"{'latitude': '40.813597200421', 'longitude': '-73.821724941795', 'human_address': '{""address"": ""2718 SCHURZ AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",982948,2096854.0,-73.821775,3030000.0,1728310,48100.0
84-R1,"{'latitude': '40.877977567321', 'longitude': '-73.919247710483', 'human_address': '{""address"": ""2287 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1195080,2083257.0,-73.91905,4180000.0,1155727,98681.0
76-R1,"{'latitude': '40.884965532286', 'longitude': '-73.862027346087', 'human_address': '{""address"": ""724 221 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",348686,2114032.0,-73.861109,874000.0,354600,26280.0
73-R1,"{'latitude': '40.837850419607', 'longitude': '-73.92532146511', 'human_address': '{""address"": ""1209 NELSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",396198,2113542.0,-73.92534,882000.0,292343,29175.0
27-R1,"{'latitude': '40.855486860448', 'longitude': '-73.855153367389', 'human_address': '{""address"": ""1144 LYDIG AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",649600,2087163.0,-73.855086,1370000.0,418199,28979.0
62-R1,"{'latitude': '40.887113738105', 'longitude': '-73.909524216124', 'human_address': '{""address"": ""3614 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",282914,2103161.0,-73.909538,584000.0,127387,7550.0
