bronx_condominium_property_address,comparable_rental_1_address,community_board,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_year_built,comparable_rental_1_building_classification,census_tract,comparable_rental_2_boro_block_lot,comparable_rental_2_building_classification,comparable_rental_1_neighborhood,bronx_condominium_property_year_built,comparable_rental_1_full_market_value
"{'latitude': '40.878287557991', 'longitude': '-73.901131318804', 'human_address': '{""address"": ""3097 HEATH AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2392 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,1.25,1929.0,C1-WALK-UP,277.0,2-05090-0019,C1-WALK-UP,KINGSBRIDGE HTS/UNIV HTS,2006,1540000
"{'latitude': '40.884571986031', 'longitude': '-73.913586510145', 'human_address': '{""address"": ""3220 FAIRFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6425 BROADWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,1.55,1968.0,D3-ELEVATOR,297.0,2-05907-0348,D1-ELEVATOR,RIVERDALE,1989,3030000
"{'latitude': '40.886850149315', 'longitude': '-73.906501602504', 'human_address': '{""address"": ""3636 FIELDSTON ROAD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2700 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,0.6,1954.0,D1-ELEVATOR,295.0,2-05798-0086,D1-ELEVATOR,RIVERDALE,1962,3750000
"{'latitude': '40.838622659221', 'longitude': '-73.859094150894', 'human_address': '{""address"": ""14 METROPOLITAN OVAL"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.839624421712', 'longitude': '-73.865901165801', 'human_address': '{""address"": ""1565 THIERIOT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,0.4,1929.0,D1-ELEVATOR,21002.0,2-04286-0022,D1-ELEVATOR,PARKCHESTER,1933,3950000
"{'latitude': '40.814060137279', 'longitude': '-73.821646875504', 'human_address': '{""address"": ""195 BALCOM AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.884672613798', 'longitude': '-73.909349893762', 'human_address': '{""address"": ""3205 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",10.0,6.7,1980.0,C1-WALK-UP,132.0,2-05798-0101,C1-WALK-UP,RIVERDALE,1997,442000
"{'latitude': '40.806886442536', 'longitude': '-73.852493556862', 'human_address': '{""address"": ""124 NEPTUNE LANE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.838890343941', 'longitude': '-73.835981548445', 'human_address': '{""address"": ""3080 TREMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,2.35,1972.0,C9-WALK-UP,4.0,2-05844-1935,C1-WALK-UP,SCHUYLERVILLE/PELHAM BAY,1989,583000
"{'latitude': '40.881931979407', 'longitude': '-73.862931656682', 'human_address': '{""address"": ""720 217 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.827268105001', 'longitude': '-73.877961486893', 'human_address': '{""address"": ""1145 BOYNTON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",,3.8,1927.0,C1-WALK-UP,,2-03973-0036,C1-WALK-UP,SOUNDVIEW,2006,612000
"{'latitude': '40.813597200421', 'longitude': '-73.821724941795', 'human_address': '{""address"": ""2718 SCHURZ AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.848882305038', 'longitude': '-73.900406021079', 'human_address': '{""address"": ""1937 WEBSTER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",10.0,4.85,1974.0,D1-ELEVATOR,132.0,2-05851-2105,D3-ELEVATOR,FORDHAM,1984,4880000
"{'latitude': '40.887113738105', 'longitude': '-73.909524216124', 'human_address': '{""address"": ""3614 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.856378494868', 'longitude': '-73.897432319013', 'human_address': '{""address"": ""2283 TIEBOUT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,2.25,1980.0,C1-WALK-UP,295.0,2-05798-0101,C1-WALK-UP,FORDHAM,2002,360000
"{'latitude': '40.881832610139', 'longitude': '-73.879801951136', 'human_address': '{""address"": ""75 GUN HILL ROAD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2070 GRAND"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",7.0,2.25,2000.0,D7-ELEVATOR,431.0,2-03271-0125,D7-ELEVATOR,FORDHAM,1932,2990000
