discharge_type
honorable
undisclosed
honorable
undisclosed
honorable
general
honorable
honorable
honorable
other_than_honorable
honorable
honorable
honorable
undisclosed
undisclosed
undisclosed
honorable
honorable
honorable
honorable
honorable
other_than_honorable
honorable
undisclosed
undisclosed
general
honorable
honorable
honorable
honorable
honorable
honorable
other
honorable
honorable
undisclosed
honorable
honorable
honorable
undisclosed
other_than_honorable
honorable
honorable
honorable
honorable
honorable
honorable
undisclosed
undisclosed
honorable
honorable
undisclosed
honorable
honorable
undisclosed
honorable
honorable
honorable
honorable
honorable
undisclosed
honorable
honorable
honorable
honorable
honorable
bad_conduct
general
honorable
undisclosed
general
honorable
bad_conduct
undisclosed
honorable
honorable
honorable
honorable
undisclosed
honorable
honorable
honorable
undisclosed
honorable
honorable
honorable
honorable
honorable
honorable
honorable
honorable
honorable
honorable
general
honorable
honorable
honorable
honorable
undisclosed
undisclosed
honorable
honorable
honorable
honorable
honorable
undisclosed
undisclosed
other_than_honorable
honorable
honorable
undisclosed
honorable
undisclosed
other
general
undisclosed
honorable
honorable
general
undisclosed
other_than_honorable
honorable
honorable
honorable
honorable
honorable
undisclosed
honorable
honorable
honorable
honorable
other_than_honorable
honorable
honorable
honorable
honorable
honorable
undisclosed
honorable
general
undisclosed
honorable
honorable
other
other_than_honorable
honorable
undisclosed
honorable
honorable
undisclosed
honorable
general
honorable
honorable
honorable
honorable
honorable
honorable
honorable
undisclosed
honorable
honorable
honorable
undisclosed
general
undisclosed
general
honorable
undisclosed
undisclosed
prefer_not_to_disclose
honorable
general
honorable
honorable
honorable
honorable
general
honorable
honorable
honorable
honorable
undisclosed
honorable
honorable
honorable
undisclosed
undisclosed
honorable
undisclosed
honorable
honorable
general
honorable
honorable
honorable
undisclosed
honorable
honorable
honorable
