marital_status,service_era,race,current_status
single/never-married,vietnam,undisclosed,veteran
undisclosed,undisclosed,undisclosed,retiree
single/never-married,post_911,undisclosed,veteran
undisclosed,undisclosed,undisclosed,veteran
divorced,post_911,undisclosed,veteran
separated,undisclosed,undisclosed,veteran
single/never-married,post_911,undisclosed,veteran
married-civil-union,post_911,undisclosed,veteran
married-civil-union,vietnam,undisclosed,veteran
married-civil-union,post_911,undisclosed,veteran
married-civil-union,post_911,undisclosed,veteran
undisclosed,undisclosed,undisclosed,veteran
single/never-married,persian_gulf,undisclosed,veteran
undisclosed,undisclosed,undisclosed,veteran
undisclosed,undisclosed,undisclosed,veteran
undisclosed,undisclosed,undisclosed,veteran
single/never-married,post_vietnam,undisclosed,retiree
undisclosed,post_911,undisclosed,undisclosed
single/never-married,post_911,undisclosed,veteran
married-civil-union,post_911,undisclosed,undisclosed
undisclosed,post_911,undisclosed,veteran
single/never-married,post_vietnam,undisclosed,active_duty
married-civil-union,post_911,undisclosed,veteran
undisclosed,undisclosed,undisclosed,veteran
undisclosed,undisclosed,undisclosed,veteran
single/never-married,post_911,undisclosed,veteran
married-civil-union,post_911,undisclosed,veteran
single/never-married,post_911,undisclosed,veteran
divorced,post_vietnam,undisclosed,veteran
single/never-married,post_911,black-african-american,veteran
undisclosed,post_911,undisclosed,veteran
married-civil-union,undisclosed,undisclosed,veteran
single/never-married,post_911,undisclosed,reserve
divorced,post_911,undisclosed,veteran
single/never-married,persian_gulf,black-african-american,veteran
undisclosed,undisclosed,undisclosed,veteran
married-civil-union,post_911,white,veteran
separated,undisclosed,undisclosed,veteran
single/never-married,post_911,undisclosed,veteran
undisclosed,undisclosed,undisclosed,undisclosed
divorced,persian_gulf,black-african-american,veteran
single/never-married,post_911,undisclosed,veteran
single/never-married,post_911,undisclosed,veteran
married-civil-union,post_911,black-african-american,veteran
divorced,post_911,undisclosed,veteran
single/never-married,post_911,black-african-american,reserve
single/never-married,post_911,undisclosed,reserve
widowed,undisclosed,undisclosed,undisclosed
single/never-married,post_911,undisclosed,reserve
single/never-married,post_911,undisclosed,veteran
single/never-married,post_911,undisclosed,veteran
undisclosed,undisclosed,undisclosed,veteran
separated,post_911,undisclosed,veteran
divorced,vietnam,undisclosed,veteran
undisclosed,undisclosed,undisclosed,veteran
married-civil-union,post_911,undisclosed,reserve
single/never-married,post_911,undisclosed,veteran
married-civil-union,post_911,undisclosed,veteran
single/never-married,post_911,black-african-american,veteran
married-civil-union,undisclosed,undisclosed,veteran
married-civil-union,undisclosed,undisclosed,undisclosed
single/never-married,post_911,undisclosed,retiree
undisclosed,undisclosed,undisclosed,retiree
undisclosed,persian_gulf,undisclosed,veteran
married-civil-union,post_vietnam,undisclosed,veteran
married-civil-union,post_911,undisclosed,veteran
married-civil-union,post_911,undisclosed,veteran
married-civil-union,post_911,undisclosed,undisclosed
single/never-married,post_vietnam,black-african-american,veteran
married-civil-union,post_911,undisclosed,national_guard
single/never-married,post_911,undisclosed,veteran
undisclosed,post_911,undisclosed,veteran
married-civil-union,persian_gulf,undisclosed,active_duty
single/never-married,post_911,undisclosed,national_guard
single/never-married,post_911,undisclosed,active_duty
single/never-married,post_vietnam,undisclosed,veteran
single/never-married,persian_gulf,undisclosed,veteran
single/never-married,post_911,undisclosed,active_duty
undisclosed,undisclosed,undisclosed,veteran
single/never-married,vietnam,undisclosed,veteran
single/never-married,post_vietnam,undisclosed,veteran
separated,post_911,undisclosed,reserve
undisclosed,undisclosed,undisclosed,veteran
married-civil-union,post_911,undisclosed,veteran
single/never-married,post_911,undisclosed,veteran
separated,post_911,undisclosed,veteran
single/never-married,persian_gulf,undisclosed,veteran
single/never-married,undisclosed,undisclosed,veteran
single/never-married,post_911,asian,veteran
married-civil-union,post_911,undisclosed,veteran
