branch,current_client_address_postal,gender
air_force,undisclosed,male
army,undisclosed,undisclosed
army,10035,female
navy,undisclosed,undisclosed
marines,10458,male
navy,11101,male
army,11213,male
navy,undisclosed,male
army,06840,male
army,11203,female
marines,11369,male
army,10029,male
army,11226,female
navy,10461,undisclosed
army,undisclosed,undisclosed
marines,undisclosed,undisclosed
navy,11221,male
air_force,10314,male
air_force,10030,female
army,11368,male
army,11434,undisclosed
army,10036,male
army,10035,male
army,10454,undisclosed
navy,11379,undisclosed
navy,10462,male
army,10457,male
air_force,11351,male
marines,11203,male
air_force,11221,male
marines,11226,female
marines,11361,male
marines,11213,female
army,10466,female
army,11234,female
army,undisclosed,undisclosed
navy,11379,male
army,11207,female
army,10009,male
undisclosed,11368,male
navy,10453,male
navy,10032,male
army,11106,male
army,10475,male
marines,11385,male
army,10416,female
army,10468,male
undisclosed,11203,female
air_force,11210,male
army,10455,male
marines,10014,male
army,undisclosed,undisclosed
army,36109,male
marines,undisclosed,male
army,undisclosed,undisclosed
army,11364,male
navy,10010,female
navy,11372,male
army,10452,female
army,11717,male
undisclosed,10461,female
navy,11238,male
air_force,undisclosed,undisclosed
army,11205,male
army,11233,male
army,11249,male
marines,10040,male
army,11203,male
army,11205,male
army,11226,male
army,11416,female
army,11354,male
navy,10456,male
army,10033,female
navy,10026,female
marines,11411,male
air_force,11203,male
army,11372,male
army,undisclosed,undisclosed
army,10025,male
marines,10467,male
navy,11234,male
marines,undisclosed,undisclosed
navy,10460,male
army,11212,male
army,11213,male
army,10462,male
army,undisclosed,male
marines,10033,male
navy,10456,male
navy,11433,male
army,10466,male
army,11416,male
air_force,undisclosed,male
army,11203,female
navy,11358,male
marines,11369,male
army,10460,male
undisclosed,11373,female
army,08831,male
army,27520,male
army,11225,male
army,11355,male
army,11234,male
marines,undisclosed,male
army,undisclosed,undisclosed
army,10314,male
navy,10452,male
navy,10032,male
army,07013,male
undisclosed,undisclosed,undisclosed
air_force,91786,male
undisclosed,10459,female
marines,11412,male
army,undisclosed,female
undisclosed,11222,female
army,10466,female
army,11217,male
navy,11364,male
marines,undisclosed,undisclosed
navy,07090,female
army,11205,undisclosed
navy,11207,male
navy,11208,male
air_force,11221,male
army,10462,female
undisclosed,11217,male
army,07208,male
army,10021,undisclosed
army,undisclosed,male
army,10458,male
navy,10029,male
navy,11212,female
army,10458,male
marines,10028,male
coast_guard,77002,male
army,10467,male
marines,undisclosed,undisclosed
army,11226,male
army,undisclosed,male
navy,11208,undisclosed
army,10469,male
air_force,10467,male
marines,11416,male
navy,10031,male
navy,10457,male
undisclosed,10467,female
army,11212,male
marines,11233,male
army,undisclosed,male
navy,undisclosed,male
army,11207,male
air_force,10471,male
army,undisclosed,male
air_force,11221,male
navy,10453,male
army,11228,undisclosed
army,11236,male
undisclosed,10472,male
army,10464,female
army,11433,male
army,10034,male
army,37208,female
navy,undisclosed,undisclosed
marines,11226,male
undisclosed,11375,female
navy,12778,male
army,11143,male
army,undisclosed,undisclosed
army,undisclosed,undisclosed
marines,11235,male
marines,11207,male
navy,11373,female
army,11429,male
navy,11691,female
army,10473,female
army,10460,male
coast_guard,10301,male
army,10037,male
marines,10460,male
army,10459,female
marines,10998,male
undisclosed,11234,female
army,11368,male
army,10029,male
marines,10460,male
army,undisclosed,undisclosed
marines,11501,male
marines,07704,male
undisclosed,undisclosed,undisclosed
marines,10014,male
army,20166,female
marines,11224,male
army,10462,male
army,11710,male
army,11213,female
army,11378,male
marines,10452,female
army,11233,male
army,10301,male
