calendar_year,gross_monthly_income,military_affiliation
2018,1205.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,2750.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,3100.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,2400.0,military_member_or_veteran
2018,2046.0,military_member_or_veteran
2018,8763.0,military_member_or_veteran
2018,1932.0,military_member_or_veteran
2018,3000.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,2131.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,1300.0,military_member_or_veteran
2018,3261.0,military_member_or_veteran
2018,4209.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,3800.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,3100.0,military_member_or_veteran
2018,1500.0,military_member_or_veteran
2018,8333.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,667.0,military_member_or_veteran
2018,4844.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,3047.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,1500.0,military_member_or_veteran
2018,,family_member
2018,3150.0,military_member_or_veteran
2018,4600.0,military_member_or_veteran
2018,3000.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,137.0,military_member_or_veteran
2018,4583.0,military_member_or_veteran
2018,4000.0,military_member_or_veteran
2018,0.0,spouse
2018,300.0,military_member_or_veteran
2018,1200.0,military_member_or_veteran
2018,7000.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,2145.0,military_member_or_veteran
2018,3000.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,7500.0,military_member_or_veteran
2018,1200.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,4996.0,military_member_or_veteran
2018,1740.0,military_member_or_veteran
2018,2000.0,spouse
2018,4500.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,188.0,military_member_or_veteran
2018,10200.0,military_member_or_veteran
2018,91.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,3900.0,military_member_or_veteran
2018,3000.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,1800.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,4300.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,2200.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,5833.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,1500.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,1200.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,900.0,military_member_or_veteran
2018,627.0,military_member_or_veteran
2018,2600.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,1505.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,5800.0,military_member_or_veteran
2018,1920.0,military_member_or_veteran
2018,4000.0,military_member_or_veteran
2018,1200.0,spouse
2018,,military_member_or_veteran
2018,3600.0,military_member_or_veteran
2018,7916.0,military_member_or_veteran
2018,3057.0,military_member_or_veteran
2018,3000.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,3200.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,5900.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,spouse
2018,1783.0,military_member_or_veteran
2018,728.0,spouse
2018,,military_member_or_veteran
2018,937.0,military_member_or_veteran
2018,0.0,family_member
2018,3416.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,1000.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,500.0,military_member_or_veteran
2018,1365.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,1300.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,1442.0,military_member_or_veteran
2018,,undisclosed
2018,5000.0,military_member_or_veteran
2018,1000.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,2030.0,military_member_or_veteran
2018,2998.0,military_member_or_veteran
2018,2900.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,1300.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,2400.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,893.0,military_member_or_veteran
2018,3873.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,2100.0,military_member_or_veteran
2018,1950.0,military_member_or_veteran
2018,822.0,family_member
2018,3106.0,military_member_or_veteran
2018,2400.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,855.0,military_member_or_veteran
2018,1719.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,3200.0,military_member_or_veteran
2018,4300.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,3300.0,military_member_or_veteran
2018,3000.0,military_member_or_veteran
2018,8680.0,military_member_or_veteran
2018,1783.0,military_member_or_veteran
2018,7491.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,1500.0,military_member_or_veteran
2018,3100.0,spouse
2018,1347.0,military_member_or_veteran
2018,2977.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,,military_member_or_veteran
2018,123.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,200.0,military_member_or_veteran
2018,3663.0,military_member_or_veteran
2018,4108.0,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,400.0,military_member_or_veteran
2018,1600.0,military_member_or_veteran
2018,4000.0,military_member_or_veteran
2018,1800.0,military_member_or_veteran
2018,1200.0,military_member_or_veteran
2018,29156.0,military_member_or_veteran
2018,1614.0,spouse
2018,2253.0,military_member_or_veteran
2018,1899.0,military_member_or_veteran
2018,5416.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,0.0,military_member_or_veteran
2018,2600.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,968.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,2300.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,1182.0,military_member_or_veteran
2018,2600.0,military_member_or_veteran
2018,,military_member_or_veteran
2018,3108.0,military_member_or_veteran
2018,1833.0,military_member_or_veteran
2018,,military_member_or_veteran
