of_students_within_grade
9.0
2.1
7.5
5.1
4.2
5.4
4.9
7.3
4.6
8.4
3.8
8.8
2.2
3.1
0.8
9.2
1.4
2.7
2.4
21.7
10.4
3.7
13.5
8.4
6.6
8.5
3.5
4.5
4.6
7.9
9.8
4.5
13.4
10.5
11.4
2.0
6.9
3.2
2.8
10.6
10.6
6.0
7.9
4.6
14.6
2.4
9.1
14.9
14.6
2.5
4.6
2.8
1.3
3.5
4.3
9.9
4.0
2.9
8.2
2.3
5.5
7.9
2.8
9.8
9.2
4.8
7.4
7.1
5.4
10.5
4.3
5.9
5.1
12.7
11.8
5.5
4.9
6.3
7.5
2.9
1.9
12.0
18.4
2.3
3.4
15.2
3.9
9.2
9.5
2.4
3.9
16.4
7.1
7.0
8.7
7.0
10.0
3.9
9.1
5.4
5.3
7.5
1.1
3.7
3.4
3.0
3.8
9.6
13.8
12.9
13.7
2.5
4.1
1.4
1.4
8.0
8.5
3.6
1.3
6.8
3.6
4.8
0.7
3.2
3.6
4.3
9.8
5.2
13.4
2.3
4.8
5.2
19.2
8.9
3.3
14.4
13.7
6.1
14.3
8.5
3.9
8.4
8.8
12.2
20.1
14.0
3.6
5.3
2.4
18.4
2.7
7.3
17.7
7.2
3.6
4.3
7.0
4.8
9.0
3.1
2.7
5.3
2.8
2.1
10.2
6.3
9.9
11.3
13.4
6.9
8.6
3.0
8.2
11.8
11.0
1.0
11.6
4.1
3.4
2.8
7.4
7.2
1.4
20.9
1.9
5.5
3.0
14.0
1.4
7.0
9.2
6.3
17.3
7.6
7.8
16.7
0.8
4.5
15.0
3.1
