number_of_classes
2
3
2
4
1
2
2
6
4
3
3
2
1
1
1
3
2
2
4
6
6
1
4
2
2
2
1
1
1
3
3
6
12
10
13
2
8
1
1
14
9
2
2
1
5
3
5
3
14
1
1
1
2
1
1
3
1
1
2
1
7
2
1
10
10
1
2
2
5
3
6
5
8
3
4
2
6
2
2
2
3
6
4
2
1
4
3
5
3
4
3
4
4
2
9
6
12
1
11
8
4
8
2
1
3
4
1
3
3
13
1
2
1
2
1
9
2
3
1
8
1
1
1
4
1
4
9
10
3
3
1
1
6
2
1
14
15
11
17
9
1
3
8
3
10
9
1
2
4
23
3
7
4
10
1
1
8
4
9
1
4
2
2
3
5
2
2
13
14
2
2
1
2
3
12
2
4
1
1
1
2
9
2
11
2
2
1
3
2
7
2
5
5
2
2
5
1
4
3
1
