local_unrealized_gain_loss,s_and_p_quality_rating,shares_par_value,trade_country_name,minor_industry_name
-1470.0,A-,700000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
224349.21,,721881.92,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
67122.48,,313876.76,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
32487.5,B+,565000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
2966.27,,85650.41,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
21371.39,,79655.37,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
13047.07,,91162.73,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
26565.26,,110159.19,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
109088.76,,447759.36,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
68386.53,,243091.04,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
345976.73,,1040741.52,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
9028.5,A-,390000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
18558.74,,90003.47,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
43187.94,,218468.61,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
-984.36,B+,156000.0,UNITED STATES OF AMERICA (THE),CANADIAN
92609.6,,456190.03,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
148680.15,,836865.47,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
0.0,,-53.77,UNITED STATES OF AMERICA (THE),CASH EQUIVALENT
21931.25,B-,900000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
9831.75,B,150000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
39512.5,BB,850000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
150134.95,,609766.06,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
34839.71,,277921.54,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
13956.63,,109133.26,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
6478.73,,120063.05,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
33057.34,,204774.5,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
16685.0,B-,284000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
337060.42,,1581229.37,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
13554.17,,80421.73,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
38091.22,,133155.16,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
12618.85,,102394.06,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
65407.28,,223548.01,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
37418.33,,134166.65,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
10679.78,,115281.33,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
18713.73,,100840.42,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
38790.5,BBB,1335000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
12544.86,,106286.77,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
