base_unrealized_gain_loss,security_description,major_industry_name,moody_s_quality_rating
13630.16,1%   01 Jan 2041,ASSET BACKED,
28348.51,1%   01 Jun 2040,ASSET BACKED,
19469.36,1%   01 Jan 2042,ASSET BACKED,
120222.64,1%   01 May 2041,ASSET BACKED,
8256.05,1%   01 May 2031,ASSET BACKED,
386772.39,1%   01 Apr 2043,ASSET BACKED,
11319.09,1%   01 Jan 2040,ASSET BACKED,
26390.1,3.6%   14 May 2025,CORPORATE,Baa2
9028.5,4.3%   14 May 2036,CORPORATE,Baa2
38091.22,1%   01 Mar 2032,ASSET BACKED,
90012.38,1%   01 Dec 2031,ASSET BACKED,
-367661.7,8.25%   10 Aug 2018,CORPORATE,Baa1
104268.12,1%   01 Sep 2031,ASSET BACKED,
69443.0,6.4%   15 Dec 2035,CORPORATE,Baa1
36946.3,4.5%   14 May 2035,CORPORATE,Baa2
52782.75,1%   01 Nov 2041,ASSET BACKED,
36657.66,1%   01 Apr 2040,ASSET BACKED,
148680.15,1%   01 Jun 2037,ASSET BACKED,
307871.34,1%   01 Sep 2038,ASSET BACKED,
345976.73,1%   01 Jan 2038,ASSET BACKED,
1519.8,1%   01 Jul 2018,ASSET BACKED,
42051.75,1%   01 Mar 2039,ASSET BACKED,
9831.75,6.5%   01 Mar 2024,CORPORATE,B3
-353401.06,7.75%   01 Oct 2022,CORPORATE,Caa2
9000.0,5.625%   15 Nov 2024,CORPORATE,Caa1
23786.65,1%   01 May 2043,ASSET BACKED,
32366.13,1%   01 May 2030,ASSET BACKED,
61.34,1%   01 Nov 2027,ASSET BACKED,
56000.41,1%   01 Sep 2039,ASSET BACKED,
18841.18,1%   01 Nov 2029,ASSET BACKED,
24247.19,1%   01 Oct 2040,ASSET BACKED,
15163.54,1%   01 May 2027,ASSET BACKED,
21371.39,1%   01 Jul 2039,ASSET BACKED,
18558.74,1%   01 Sep 2035,ASSET BACKED,
178076.32,1%   01 Apr 2038,ASSET BACKED,
28977.5,8.45%   01 Aug 2034,CORPORATE,Baa1
8796.25,5.25%   15 Dec 2024,CORPORATE,B1
197997.49,1%   01 Jan 2043,ASSET BACKED,
103864.79,1%   01 May 2039,ASSET BACKED,
10679.78,1%   01 Nov 2039,ASSET BACKED,
182789.45,1%   01 Sep 2035,ASSET BACKED,
37418.33,1%   01 May 2042,ASSET BACKED,
11375.0,5.75%   15 Dec 2023,CORPORATE,B3
127281.2,1%   01 Mar 2043,ASSET BACKED,
15061.56,1%   01 Jul 2030,ASSET BACKED,
20161.09,1%   01 Dec 2024,ASSET BACKED,
68256.84,5.625%   15 Feb 2023,CORPORATE,B3
12477.3,1%   01 Jun 2043,ASSET BACKED,
8840.0,2.35%   22 Nov 2019,CORPORATE,Baa3
337060.42,1%   01 Jan 2039,ASSET BACKED,
16638.87,1%   01 Jan 2029,ASSET BACKED,
65407.28,1%   01 Jan 2043,ASSET BACKED,
17892.86,6%   01 Apr 2022,YANKEE,B3
41366.29,1%   01 Dec 2039,ASSET BACKED,
5181.19,1%   01 Jul 2039,ASSET BACKED,
-165.3,3.1%   01 Dec 2026,CORPORATE,A2
93299.01,1%   01 Dec 2037,ASSET BACKED,
2118.75,3.75%   30 Nov 2026,CORPORATE,Baa3
3042.13,1%   01 Nov 2025,ASSET BACKED,
4392.5,5.75%   15 Dec 2023,CORPORATE,B3
13570.85,5.875%   15 Oct 2024,CORPORATE,Ba3
15163.15,1%   01 May 2039,ASSET BACKED,
94955.55,1%   01 Jun 2021,ASSET BACKED,
37129.68,1%   01 Nov 2039,ASSET BACKED,
-2026.95,4.25%   15 May 2024,YANKEE,Ba3
79415.37,1%   01 Jul 2039,ASSET BACKED,
158477.31,1%   01 Mar 2040,ASSET BACKED,
184109.15,3.4%   30 Nov 2023,CORPORATE,Baa3
1477.76,1%   01 Dec 2022,ASSET BACKED,
22444.96,1%   01 Oct 2029,ASSET BACKED,
22383.03,1%   01 Apr 2042,ASSET BACKED,
33455.61,1%   01 Aug 2026,ASSET BACKED,
11055.1,1%   01 Apr 2040,ASSET BACKED,
109088.76,1%   01 May 2040,ASSET BACKED,
39930.42,1%   01 Jun 2040,ASSET BACKED,
6750.0,5.625%   15 Nov 2024,CORPORATE,Caa1
12503.6,1%   01 Jan 2041,ASSET BACKED,
22563.74,1%   01 Oct 2041,ASSET BACKED,
24550.36,1%   01 Mar 2042,ASSET BACKED,
16685.0,7%   01 Jul 2024,CORPORATE,Caa1
-415.5,4.5%   01 Dec 2023,CORPORATE,Baa2
27203.72,1%   01 Nov 2040,ASSET BACKED,
89215.58,1%   01 Mar 2040,ASSET BACKED,
69424.83,1%   01 Mar 2042,ASSET BACKED,
18713.73,1%   01 Jun 2040,ASSET BACKED,
18939.59,1%   01 Apr 2037,ASSET BACKED,
19199.22,1%   01 Mar 2043,ASSET BACKED,
28159.61,1%   01 Jul 2021,ASSET BACKED,
150134.95,1%   01 May 2040,ASSET BACKED,
25649.7,1%   01 Jul 2025,ASSET BACKED,
42133.71,5%   01 Apr 2022,CORPORATE,WR
28281.25,6.25%   15 Oct 2021,CORPORATE,Ba3
33057.34,1%   01 Apr 2027,ASSET BACKED,
8283.8,3.95%   01 Feb 2022,YANKEE,Baa3
132572.63,1%   01 Mar 2033,ASSET BACKED,
65462.55,1%   01 Dec 2039,ASSET BACKED,
15844.08,4.875%   15 Jul 2032,CORPORATE,Ba3
67122.48,1%   01 Dec 2039,ASSET BACKED,
1334.02,1%   10 Nov 2023,BANK LOAN,
29325.18,1%   01 Aug 2039,ASSET BACKED,
180120.95,1%   01 Apr 2038,ASSET BACKED,
36712.16,1%   01 Feb 2042,ASSET BACKED,
21550.64,1%   01 Jun 2040,ASSET BACKED,
14729.54,1%   01 Apr 2040,ASSET BACKED,
-946.5,4.25%   15 May 2024,YANKEE,Ba3
29495.94,1%   01 Oct 2021,ASSET BACKED,
68386.53,1%   01 Nov 2040,ASSET BACKED,
31754.11,1%   01 Jul 2037,ASSET BACKED,
6983.09,1%   01 Nov 2029,ASSET BACKED,
39512.5,5.75%   15 Oct 2022,CORPORATE,Ba3
40304.31,1%   01 Apr 2034,ASSET BACKED,
178813.41,1%   01 Nov 2029,ASSET BACKED,
82861.08,1%   01 Oct 2040,ASSET BACKED,
8326.66,1%   01 Nov 2025,ASSET BACKED,
391318.13,1%   01 Jun 2043,ASSET BACKED,
11951.38,1%   01 Dec 2035,ASSET BACKED,
37134.45,4.25%   01 Jul 2020,YANKEE,Baa3
0.0,,CASH EQUIVALENT,
12676.58,1%   01 Apr 2041,ASSET BACKED,
12175.0,5.125%   01 Jul 2022,CORPORATE,B3
-51281.25,4.875%   15 Jul 2032,CORPORATE,Ba3
13956.63,1%   01 Jul 2039,ASSET BACKED,
2966.27,1%   01 May 2043,ASSET BACKED,
11784.07,1%   01 Apr 2040,ASSET BACKED,
54035.0,4.5%   14 May 2035,CORPORATE,Baa2
34839.71,1%   01 Jul 2030,ASSET BACKED,
-57.38,,CASH EQUIVALENT,
54444.06,1%   01 Jan 2042,ASSET BACKED,
4778.82,5.625%   15 Feb 2023,CORPORATE,B3
21371.26,1%   01 Nov 2040,ASSET BACKED,
50232.64,1%   01 May 2042,ASSET BACKED,
84699.22,1%   17 Dec 2039,ASSET BACKED,
-1470.0,2.85%   14 May 2023,CORPORATE,Baa2
6661.7,1%   01 Mar 2039,ASSET BACKED,
46232.5,4.875%   15 Jul 2032,CORPORATE,Ba3
53257.05,1%   01 Jan 2029,ASSET BACKED,
12618.85,1%   01 May 2026,ASSET BACKED,
90453.6,1%   01 Mar 2030,ASSET BACKED,
2539.63,3.875%   15 Sep 2025,CORPORATE,Baa3
8612.5,4.625%   15 Jan 2022,YANKEE,Ba3
22556.92,1%   01 Nov 2036,ASSET BACKED,
12544.86,1%   01 Jul 2040,ASSET BACKED,
76841.4,1%   01 Mar 2043,ASSET BACKED,
60213.31,1%   01 Jan 2023,ASSET BACKED,
41444.77,1%   01 Jul 2033,ASSET BACKED,
14250.0,7%   01 Jul 2024,CORPORATE,Caa1
16173.42,5%   01 Oct 2021,YANKEE,Baa3
220478.5,7.85%   01 Mar 2039,CORPORATE,Baa1
43187.94,1%   01 Jan 2031,ASSET BACKED,
20348.29,1%   01 Oct 2036,ASSET BACKED,
4250.0,7.5%   15 Aug 2022,CORPORATE,Caa1
73731.99,1%   01 Mar 2036,ASSET BACKED,
11106.36,1%   01 May 2040,ASSET BACKED,
13038.0,4.4%   06 Nov 2042,CORPORATE,Baa2
25647.6,3.5%   26 May 2022,YANKEE,Baa3
2568.75,5.125%   15 Mar 2027,CORPORATE,Ba3
67668.59,1%   01 Nov 2041,ASSET BACKED,
26565.26,1%   01 Jan 2040,ASSET BACKED,
204514.56,1%   01 Jun 2043,ASSET BACKED,
2524.56,3%   15 Sep 2022,CORPORATE,Baa1
19352.65,1%   01 May 2039,ASSET BACKED,
38790.5,3.75%   30 Nov 2026,CORPORATE,Baa3
11387.2,2.9%   30 Nov 2021,CORPORATE,Baa3
16036.67,1%   01 Mar 2033,ASSET BACKED,
355.61,4.5%   15 Feb 2021,CORPORATE,Baa1
5226.0,3.6%   14 May 2025,CORPORATE,Baa2
603030.22,1%   01 May 2041,ASSET BACKED,
5595.43,1%   01 Nov 2018,ASSET BACKED,
11924.45,1%   01 Mar 2042,ASSET BACKED,
317302.73,1%   01 May 2043,ASSET BACKED,
1852.67,1%   01 Dec 2021,ASSET BACKED,
-31759.68,1%   25 Jul 2022,BANK LOAN,
350.81,1%   01 Oct 2020,ASSET BACKED,
58323.98,1%   01 May 2038,ASSET BACKED,
73794.73,1%   01 Jan 2042,ASSET BACKED,
21931.25,7%   01 Jul 2024,CORPORATE,Caa1
43383.44,1%   01 Mar 2039,ASSET BACKED,
3368.76,6.9%   01 Mar 2019,CORPORATE,Baa1
40606.39,1%   01 Dec 2042,ASSET BACKED,
109186.17,1%   01 Jun 2026,ASSET BACKED,
562.5,5.125%   15 Mar 2027,CORPORATE,Ba3
30750.0,5.25%   15 Dec 2024,CORPORATE,B1
5975.8,1%   01 Jan 2042,ASSET BACKED,
-984.36,4.25%   15 May 2024,YANKEE,Ba3
224349.21,1%   01 May 2041,ASSET BACKED,
13737.75,1%   01 Mar 2021,ASSET BACKED,
346199.77,1%   01 May 2041,ASSET BACKED,
49908.73,1%   01 May 2035,ASSET BACKED,
13774.23,1%   01 Mar 2042,ASSET BACKED,
82262.17,1%   01 Jun 2043,ASSET BACKED,
32487.5,5.75%   15 Dec 2023,CORPORATE,B3
13554.17,1%   01 Aug 2039,ASSET BACKED,
101642.74,1%   01 Jun 2042,ASSET BACKED,
534600.07,1%   01 May 2031,ASSET BACKED,
92609.6,1%   01 Nov 2041,ASSET BACKED,
13047.07,1%   01 Nov 2036,ASSET BACKED,
14217.97,1%   01 Jul 2039,ASSET BACKED,
308728.25,1%   01 Apr 2042,ASSET BACKED,
36734.42,1%   01 Feb 2040,ASSET BACKED,
6478.73,1%   01 Nov 2026,ASSET BACKED,
