base_market_value,period_end_date,investment_type_name,asset_class,original_face,local_accrued_interest
206168.18,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,187499.97,0.0
143778.82,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2953.75
1191687.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,17250.0
182195.49,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,159999.93,0.0
2119761.65,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,64140.31
351917.68,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,635000.0,0.0
286075.74,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,267800.0,0.0
377553.69,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,362499.99,0.0
3628512.74,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,3263475.99,0.0
284995.1,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,666000.0,0.0
31221.12,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,27134.75,0.0
65863.7,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,56634.99,0.0
301119.6,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,4777.0
698439.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2604.58
946231.13,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,773175.01,0.0
380999.24,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,349999.87,0.0
597487.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,1443.89
88616.68,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,92500.0,0.0
101026.76,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,87999.95,0.0
104209.8,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,109000.04,0.0
136724.45,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,132499.97,0.0
556848.09,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,507499.93,0.0
311475.57,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,531500.0,0.0
1386717.55,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1180166.0,0.0
396903.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2189.42
108562.21,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,105124.95,0.0
261656.55,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,275500.01,0.0
155015.64,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,810.34
548799.63,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,500000.01,0.0
985545.64,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,975000.0,0.0
-53.77,2017-06-30T00:00:00.000,FOREIGN CURRENCY,CASH,0.0,0.0
