local_total_cost_amount,security_name,base_accrued_interest,maturity_date,interest_rate
861177.03,744 BECK STREET,0.0,2035-09-01T00:00:00.000,6.21
1166160.17,"717 719, 739 + 734 COS",0.0,2041-05-01T00:00:00.000,6.74
879377.66,433 441 DEWITT AVENUE,0.0,2043-03-01T00:00:00.000,4.82
70211.37,160 SOUTH SECOND STREET,0.0,2040-04-01T00:00:00.000,5.82
849800.0,AECOM,10318.05,2022-10-15T00:00:00.000,5.75
586454.74,970PROSPECT AVENUE,0.0,2038-04-01T00:00:00.000,6.56
106652.86,923 FULTON STREET,0.0,2037-04-01T00:00:00.000,6.18
300000.0,ADVANCED DISPOSAL SRVCES,2156.25,2024-11-15T00:00:00.000,5.625
290929.15,AECOM,3484.19,2024-10-15T00:00:00.000,5.875
1076868.47,428 436 EAST 117TH STRE,0.0,2029-11-01T00:00:00.000,5.88
795000.0,AERCAP IRELAND CAP/GLOBA,0.0,2020-07-01T00:00:00.000,4.25
109065.41,1098 BUSHWICK AVENUE,0.0,2039-07-01T00:00:00.000,4.88
473285.0,ABBVIE INC,2937.5,2035-05-14T00:00:00.000,4.5
110159.19,549 551 SOUTHERN BOULEV,0.0,2040-01-01T00:00:00.000,6.16
565000.0,ABC SUPPLY CO INC,1443.89,2023-12-15T00:00:00.000,5.75
170459.66,201 EAST 165TH STREET,0.0,2039-03-01T00:00:00.000,6.48
382521.33,563 WEST 159TH STREET,0.0,2021-10-01T00:00:00.000,6.28
526456.03,2732 36 MARION AVENUE,0.0,2039-05-01T00:00:00.000,5.91
1581229.37,150 WEST 111TH STREET,0.0,2039-01-01T00:00:00.000,5.38
836865.49,1212 MARTIN LUTHER KING,0.0,2037-06-01T00:00:00.000,6.26
447759.33,668 EAST 226TH STREET,0.0,2040-05-01T00:00:00.000,6.1
24516.05,412 WILLIS AVENUE,0.0,2021-12-01T00:00:00.000,6.06
387874.5,ABBVIE INC,2189.42,2036-05-14T00:00:00.000,4.3
158462.5,ABC SUPPLY CO INC,393.55,2023-12-15T00:00:00.000,5.75
45452.76,2668 DECATUR AVENUE,0.0,2040-04-01T00:00:00.000,6.27
248066.33,2295 ANDREWS AVENUE,0.0,2042-03-01T00:00:00.000,6.33
227751.76,307 EAST 170TH STREET,0.0,2038-05-01T00:00:00.000,6.19
3025482.52,151 167 ROCHESTER AVEN,0.0,2041-05-01T00:00:00.000,5.41
130483.11,419 SARATOGA AVENUE,0.0,2042-03-01T00:00:00.000,4.45
-53.77,US DOLLAR,0.0,,0.0
457633.23,122 130  WEST 83RD STR,0.0,2030-03-01T00:00:00.000,6.29
3557044.62,277 287 BROOK AVENUE,0.0,2043-06-01T00:00:00.000,4.62
662955.0,AECOM GLOBAL II/URS FOX,8587.5,2022-04-01T00:00:00.000,5.0
703853.68,75 89 WADSWORTH TERRAC,0.0,2042-06-01T00:00:00.000,4.88
225000.0,ADVANCED DISPOSAL SRVCES,1617.19,2024-11-15T00:00:00.000,5.625
140523.99,2185 PACIFIC STREET,0.0,2040-06-01T00:00:00.000,5.45
140640.15,186 EAST 104TH STREET,0.0,2042-12-01T00:00:00.000,6.48
1363781.25,ADT CORP,33718.75,2032-07-15T00:00:00.000,4.875
111797.56,1060 UNIVERSITY AVENUE,0.0,2036-10-01T00:00:00.000,5.75
739371.77,305 ELDERT STREET,0.0,2031-12-01T00:00:00.000,5.74
626419.72,300 PUTNAM AVENUE,0.0,2043-01-01T00:00:00.000,6.72
66579.71,1216 SOUTHERN BLVD.,0.0,2039-05-01T00:00:00.000,6.33
424839.75,17 FORT GEORGE HILL,0.0,2039-12-17T00:00:00.000,5.69
163073.5,340 EAST 146TH STREET,0.0,2024-12-01T00:00:00.000,6.99
53387.95,531 WEST 160TH STREET,0.0,2025-11-01T00:00:00.000,7.42
1815376.06,ACOSTA INC,37393.68,2022-10-01T00:00:00.000,7.75
149768.32,866 BECK STREET,0.0,2036-11-01T00:00:00.000,6.03
91162.73,292 EAST BURNSIDE AVEN,0.0,2036-11-01T00:00:00.000,5.79
75267.39,165 MONTAUK AVENUE,0.0,2040-01-01T00:00:00.000,5.06
223548.01,508 WEST 135TH STREET,0.0,2043-01-01T00:00:00.000,6.48
4941.94,545 WEST 133RD STREET,0.0,2020-10-01T00:00:00.000,6.39
227000.0,ACCO BRANDS CORP,529.67,2024-12-15T00:00:00.000,5.25
299316.01,231 FIFTH AVENUE,0.0,2040-03-01T00:00:00.000,6.82
992782.17,560 WEST 160TH STREET,0.0,2038-09-01T00:00:00.000,6.66
500052.8,361 EAST 138TH STREET,0.0,2036-03-01T00:00:00.000,5.76
141136.84,21ST CENTURY FOX AMERICA,3082.0,2019-03-01T00:00:00.000,6.9
89537.21,653 COURTLANDT AVENUE,0.0,2027-05-01T00:00:00.000,6.6
147783.0,ABBVIE INC,705.0,2025-05-14T00:00:00.000,3.6
124155.92,ADT CORP,3596.67,2032-07-15T00:00:00.000,4.875
189625.7,AEP TRANSMISSION CO LLC,490.83,2026-12-01T00:00:00.000,3.1
179113.25,1084 1086 HOME STREET,0.0,2034-04-01T00:00:00.000,6.57
397445.95,951 HERKIMER STREET,0.0,2039-12-01T00:00:00.000,5.02
433862.65,315 FOSTER AVENUE,0.0,2039-09-01T00:00:00.000,4.9
373686.7,535 EAST FIFTH STREET,0.0,2031-09-01T00:00:00.000,7.97
218468.61,1010 + 1011 RUTLAND ST,0.0,2031-01-01T00:00:00.000,6.23
198248.09,136 WEST 168TH STREET,0.0,2040-02-01T00:00:00.000,5.48
71050.44,551 553 WEST 144TH STRE,0.0,2041-04-01T00:00:00.000,5.37
309073.76,512 WEST 135TH STREET,0.0,2043-06-01T00:00:00.000,3.73
