local_market_value,local_unrealized_gain_loss,local_total_cost_amount,base_total_cost
462908.5,65462.55,397445.95,397445.95
285384.4,1334.02,284050.38,284050.38
829384.15,90012.38,739371.77,739371.77
364202.08,67668.59,296533.49,296533.49
155015.64,-984.36,156000.0,156000.0
136724.45,26565.26,110159.19,110159.19
116697.53,8256.05,108441.48,108441.48
108099.07,11951.38,96147.69,96147.69
1043966.48,182789.45,861177.03,861177.03
153009.0,5226.0,147783.0,147783.0
489863.06,56000.41,433862.65,433862.65
138579.4,15061.56,123517.84,123517.84
97710.35,2539.63,95170.72,95170.72
1445359.31,308728.25,1136631.06,1136631.06
706398.11,109186.17,597211.94,597211.94
108562.21,18558.74,90003.47,90003.47
150562.5,562.5,150000.0,150000.0
805496.42,101642.74,703853.68,703853.68
229468.82,43383.44,186085.38,186085.38
71872.71,11106.36,60766.35,60766.35
630320.82,103864.79,526456.03,526456.03
118831.63,12544.86,106286.77,106286.77
93975.9,13554.17,80421.73,80421.73
343687.5,11375.0,332312.5,332312.5
971231.25,30750.0,940481.25,940481.25
278803.8,69443.0,209360.8,209360.8
123089.89,13956.63,109133.26,109133.26
171246.38,38091.22,133155.16,133155.16
288955.29,65407.28,223548.01,223548.01
31221.12,5975.8,25245.32,25245.32
65863.7,13630.16,52233.54,52233.54
410526.04,82861.08,327664.96,327664.96
573784.79,73731.99,500052.8,500052.8
189460.4,-165.3,189625.7,189625.7
377553.69,50232.64,327321.05,327321.05
186090.26,24247.19,161843.07,161843.07
569120.83,120222.64,448898.19,448898.19
707778.42,16173.42,691605.0,691605.0
356459.7,53257.05,303202.65,303202.65
952875.0,21931.25,930943.75,930943.75
5292.75,350.81,4941.94,4941.94
2119761.65,-367661.7,2487423.35,2487423.35
643330.4,36946.3,606384.1,606384.1
-1112.05,0.0,-1112.05,-1210.97
43241.04,6983.09,36257.95,36257.95
150097.13,18841.18,131255.95,131255.95
343375.0,8612.5,334762.5,334762.5
235796.25,8796.25,227000.0,227000.0
