local_market_value,base_unrealized_gain_loss,direct_group_trust_holding,EUR with base_market_value,USD with base_market_value
832495.32,180120.95,Direct,,832495.32
189460.4,-165.3,Direct,,189460.4
351917.68,60213.31,Direct,,351917.68
410526.04,82861.08,Direct,,410526.04
186090.26,24247.19,Direct,,186090.26
706398.11,109186.17,Direct,,706398.11
84940.91,14729.54,Direct,,84940.91
126541.78,6478.73,Direct,,126541.78
125592.45,18939.59,Direct,,125592.45
1300653.51,307871.34,Direct,,1300653.51
71872.71,11106.36,Direct,,71872.71
1461975.0,-353401.06,Direct,,1461975.0
-53.77,0.0,Direct,,-53.77
32960.05,5181.19,Direct,,32960.05
705088.71,42133.71,Direct,,705088.71
172325.24,22556.92,Direct,,172325.24
342823.05,-2026.95,Direct,,342823.05
83250.0,4250.0,Direct,,83250.0
311475.57,68386.53,Direct,,311475.57
503125.0,46232.5,Direct,,503125.0
116697.53,8256.05,Direct,,116697.53
264687.5,14250.0,Direct,,264687.5
548799.63,92609.6,Direct,,548799.63
288955.29,65407.28,Direct,,288955.29
502827.5,12175.0,Direct,,502827.5
527082.33,73794.73,Direct,,527082.33
82085.36,19469.36,Direct,,82085.36
286075.74,58323.98,Direct,,286075.74
300685.0,16685.0,Direct,,300685.0
119554.15,18713.73,Direct,,119554.15
144505.6,3368.76,Direct,,144505.6
3053168.47,534600.07,Direct,,3053168.47
31221.12,5975.8,Direct,,31221.12
1799821.2,68256.84,Direct,,1799821.2
89762.02,16638.87,Direct,,89762.02
892828.8,25647.6,Direct,,892828.8
1362781.35,38790.5,Direct,,1362781.35
83727.02,12676.58,Direct,,83727.02
353880.96,25649.7,Direct,,353880.96
1287423.64,-31759.68,Direct,,1287423.64
301119.6,355.61,Direct,,301119.6
162398.96,24550.36,Direct,,162398.96
138579.4,15061.56,Direct,,138579.4
462908.5,65462.55,Direct,,462908.5
171246.38,38091.22,Direct,,171246.38
380999.24,67122.48,Direct,,380999.24
115011.38,12618.85,Direct,,115011.38
150097.13,18841.18,Direct,,150097.13
229468.82,43383.44,Direct,,229468.82
3628512.74,603030.22,Direct,,3628512.74
1312500.0,-51281.25,Direct,,1312500.0
832134.45,37134.45,Direct,,832134.45
136724.45,26565.26,Direct,,136724.45
61714.61,8326.66,Direct,,61714.61
81742.86,15163.15,Direct,,81742.86
216563.82,39930.42,Direct,,216563.82
343375.0,8612.5,Direct,,343375.0
56507.86,11055.1,Direct,,56507.86
140000.0,15844.08,Direct,,140000.0
630320.82,103864.79,Direct,,630320.82
1445359.31,308728.25,Direct,,1445359.31
183234.59,20161.09,Direct,,183234.59
150562.5,562.5,Direct,,150562.5
235796.25,8796.25,Direct,,235796.25
309000.0,9000.0,Direct,,309000.0
6638564.8,184109.15,Direct,,6638564.8
231750.0,6750.0,Direct,,231750.0
219417.56,40304.31,Direct,,219417.56
118831.63,12544.86,Direct,,118831.63
99362.25,21550.64,Direct,,99362.25
171584.98,37418.33,Direct,,171584.98
153009.0,5226.0,Direct,,153009.0
343687.5,11375.0,Direct,,343687.5
108099.07,11951.38,Direct,,108099.07
1047820.8,8840.0,Direct,,1047820.8
356459.7,53257.05,Direct,,356459.7
388531.59,89215.58,Direct,,388531.59
597487.5,32487.5,Direct,,597487.5
759901.01,150134.95,Direct,,759901.01
132145.85,20348.29,Direct,,132145.85
319678.98,16036.67,Direct,,319678.98
805496.42,101642.74,Direct,,805496.42
889312.5,39512.5,Direct,,889312.5
643330.4,36946.3,Direct,,643330.4
159359.4,29325.18,Direct,,159359.4
206168.18,36657.66,Direct,,206168.18
488144.08,49908.73,Direct,,488144.08
181246.54,40606.39,Direct,,181246.54
509538.97,84699.22,Direct,,509538.97
1191687.5,17892.86,Direct,,1191687.5
687568.75,2568.75,Direct,,687568.75
1355493.75,28281.25,Direct,,1355493.75
396903.0,9028.5,Direct,,396903.0
237831.95,33057.34,Direct,,237831.95
101026.76,21371.39,Direct,,101026.76
952875.0,21931.25,Direct,,952875.0
104700.75,15163.54,Direct,,104700.75
33163.87,6661.7,Direct,,33163.87
477954.82,104268.12,Direct,,477954.82
278415.15,41444.77,Direct,,278415.15
240285.27,54444.06,Direct,,240285.27
829384.15,90012.38,Direct,,829384.15
104209.8,13047.07,Direct,,104209.8
160125.0,9831.75,Direct,,160125.0
1043966.48,182789.45,Direct,,1043966.48
120895.29,19199.22,Direct,,120895.29
440344.81,93299.01,Direct,,440344.81
495150.25,82262.17,Direct,,495150.25
55152.78,3042.13,Direct,,55152.78
26368.72,1852.67,Direct,,26368.72
149053.5,-946.5,Direct,,149053.5
180735.69,19352.65,Direct,,180735.69
165307.8,36712.16,Direct,,165307.8
198318.41,37129.68,Direct,,198318.41
122444.62,12503.6,Direct,,122444.62
93975.9,13554.17,Direct,,93975.9
65863.7,13630.16,Direct,,65863.7
199026.71,32366.13,Direct,,199026.71
285384.4,1334.02,Direct,,285384.4
102389.81,22383.03,Direct,,102389.81
1914009.27,317302.73,Direct,,1914009.27
1137052.08,94955.55,Direct,,1137052.08
129126.49,11924.45,Direct,,129126.49
74167.62,21371.26,Direct,,74167.62
1155709.8,8283.8,Direct,,1155709.8
135952.38,2524.56,Direct,,135952.38
284995.1,28159.61,Direct,,284995.1
3435716.66,386772.39,Direct,,3435716.66
489863.06,56000.41,Direct,,489863.06
76560.75,2118.75,Direct,,76560.75
824417.21,197997.49,Direct,,824417.21
5292.75,350.81,Direct,,5292.75
108562.21,18558.74,Direct,,108562.21
317491.16,69424.83,Direct,,317491.16
86586.48,11319.09,Direct,,86586.48
123089.89,13956.63,Direct,,123089.89
971231.25,30750.0,Direct,,971231.25
182195.49,41366.29,Direct,,182195.49
1006658.86,127281.2,Direct,,1006658.86
412017.27,29495.94,Direct,,412017.27
23702.77,61.34,Direct,,23702.77
307329.0,13038.0,Direct,,307329.0
88616.68,2966.27,Direct,,88616.68
792951.5,220478.5,Direct,,792951.5
2119761.65,-367661.7,Direct,,2119761.65
569120.83,120222.64,Direct,,569120.83
573784.79,73731.99,Direct,,573784.79
125961.11,10679.78,Direct,,125961.11
919186.29,132572.63,Direct,,919186.29
889829.6,11387.2,Direct,,889829.6
985545.64,148680.15,Direct,,985545.64
107652.72,5595.43,Direct,,107652.72
473636.12,76841.4,Direct,,473636.12
1255681.88,178813.41,Direct,,1255681.88
1234272.6,26390.1,Direct,,1234272.6
957362.83,204514.56,Direct,,957362.83
548086.83,90453.6,Direct,,548086.83
234982.51,36734.42,Direct,,234982.51
224756.75,31754.11,Direct,,224756.75
44527.11,1519.8,Direct,,44527.11
100483.97,11784.07,Direct,,100483.97
252489.17,22563.74,Direct,,252489.17
155015.64,-984.36,Direct,,155015.64
946231.13,224349.21,Direct,,946231.13
261656.55,43187.94,Direct,,261656.55
304500.0,13570.85,Direct,,304500.0
406885.57,79415.37,Direct,,406885.57
1386717.55,345976.73,Direct,,1386717.55
162855.0,4392.5,Direct,,162855.0
179782.5,28977.5,Direct,,179782.5
1918289.79,337060.42,Direct,,1918289.79
143778.82,4778.82,Direct,,143778.82
118209.34,27203.72,Direct,,118209.34
123283.38,14217.97,Direct,,123283.38
98058.3,1477.76,Direct,,98058.3
364202.08,67668.59,Direct,,364202.08
97710.35,2539.63,Direct,,97710.35
698439.0,-1470.0,Direct,,698439.0
556848.09,109088.76,Direct,,556848.09
1512359.94,346199.77,Direct,,1512359.94
312761.25,34839.71,Direct,,312761.25
97796.64,23786.65,Direct,,97796.64
43241.04,6983.09,Direct,,43241.04
74291.7,-415.5,Direct,,74291.7
707778.42,16173.42,Direct,,707778.42
380553.22,33455.61,Direct,,380553.22
161484.45,13737.75,Direct,,161484.45
278803.8,69443.0,Direct,,278803.8
527320.0,54035.0,Direct,,527320.0
179383.55,22444.96,Direct,,179383.55
168872.5,28348.51,Direct,,168872.5
321551.06,12477.3,Direct,,321551.06
-1112.05,-57.38,Direct,-1268.35,
3948362.75,391318.13,Direct,,3948362.75
377553.69,50232.64,Direct,,377553.69
717921.54,158477.31,Direct,,717921.54
212511.41,42051.75,Direct,,212511.41
263166.08,52782.75,Direct,,263166.08
764531.06,178076.32,Direct,,764531.06
144257.34,13774.23,Direct,,144257.34
