survey_language,survey_year,education
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,"Some college, no degree"
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,"High school diploma, GED or equivalent"
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,"Some college, no degree"
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Associate’s degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,"Some college, no degree"
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Associate’s degree
en,2017,Graduate or Professional degree
en,2017,Bachelor’s degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,Graduate or Professional degree
en,2017,
en,2017,
en,2017,Bachelor’s degree
