ethnicity_other,preferred_language_other,ethnicity
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,
,,White
,,Asian
,,White
,,White
,,White
,,White
,,White
,,White
,,White
Caucasian,,Other
,,White
,,Other
,,White
,,White
,,White
,,Other
,,Other
,,White
,,White
,,White
,,
,,
,,White
,,
,,White
,,White
,,White
,,White
,,White
,,White
,,Black or African American
,,Latino/a
,,
,,White
,,Other
,,White
,,White
Latino Caucasian,,Other
,,White
,,White
,,White
,,White
,,White
,,Asian
,,White
,,White
,,Black or African American
,,White
,,White
,Catalan,Latino/a;White
,,White
,,White
,,White
,,White
,,White
,,White
,,Latino/a
,,
,,
,,White
,,White
,,White
,,White
,,
,,White
,,White
,,White
,,Latino/a
,,White
,,White
,,White
,,White
,,White
,,Asian
,,White
,,White
,,White
,,White
,,White
,,White
,,Other
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,Asian
,,White
,,White
,,White
,,White
,American Sign Language,Latino/a
,,White
,,White
,,White
,,Latino/a
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,Asian
,,
,,White
,,White
,,
,,White
,,White
,,White
,,White
,,White
,,White
,,Asian
,,
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,Black or African American
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,
,,Black or African American
,,White
,,White
,,White
,,White
,,White
,,White
,,Asian
,,White
,,White
,,White
,,White
,,Black or African American;White
,,
,,White
,,White
,,White
,,Black or African American;White
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,Latino/a;White
,,White
,,White
,,White
,,White
,,White
,,Asian
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,Latino/a
,,Latino/a
,,White
,,White
,,Latino/a
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,White
,,
,,White
,Portuguese,Latino/a
,,White
