ballot,preferred_language,information
DIGITAL,English,ONLINE
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,CHILD
DIGITAL,English,ONLINE
DIGITAL,English,COUNCIL
DIGITAL,English,COMMUNITY;COUNCIL;NEWS;ONLINE;TEXT
DIGITAL,English,COMMUNITY
DIGITAL,English,COUNCIL
DIGITAL,English,TENANT
DIGITAL,English,ONLINE
DIGITAL,,COUNCIL
DIGITAL,English,MAIL
DIGITAL,English,SCHOOL
DIGITAL,English,COUNCIL
DIGITAL,English,ONLINE
DIGITAL,English,COMMUNITY
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,ONLINE
DIGITAL,English,CHILD
DIGITAL,Polish,SCHOOL
DIGITAL,English,COUNCIL
DIGITAL,English,MAIL
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,MAIL
DIGITAL,English,COUNCIL
DIGITAL,English,ONLINE
DIGITAL,,COUNCIL
DIGITAL,English,NEWS
DIGITAL,English,
DIGITAL,English,COMMUNITY
DIGITAL,English,ONLINE
DIGITAL,English,COUNCIL
DIGITAL,English,SCHOOL
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,SCHOOL
DIGITAL,English,CHILD
DIGITAL,English,TENANT
DIGITAL,English,CHILD;COUNCIL
DIGITAL,English,ONLINE
DIGITAL,English,CHILD;COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,COUNCIL
DIGITAL,English,SITE
DIGITAL,English,COMMUNITY
DIGITAL,English,COUNCIL
DIGITAL,English,CHILD
DIGITAL,English,MAIL
DIGITAL,English,MAIL
DIGITAL,Other,COMMUNITY
DIGITAL,English,COUNCIL
DIGITAL,English,TENANT
DIGITAL,English,COMMUNITY;ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,SCHOOL
DIGITAL,English,
DIGITAL,,COUNCIL
DIGITAL,English,
DIGITAL,English,COMMUNITY
DIGITAL,English,COMMUNITY
DIGITAL,English,MAIL
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,COMMUNITY
DIGITAL,English,SCHOOL
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,ONLINE
DIGITAL,English,CHILD;NEWS
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL;ONLINE
DIGITAL,English,
DIGITAL,English,SCHOOL
DIGITAL,English,CHILD
DIGITAL,English,COMMUNITY
DIGITAL,English,COMMUNITY
DIGITAL,English,TENANT
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,COMMUNITY
DIGITAL,English,MAIL;SITE
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,
DIGITAL,English,COUNCIL
DIGITAL,English,ONLINE;TENANT
DIGITAL,English,CHILD
DIGITAL,Other,ONLINE
DIGITAL,English,COUNCIL
DIGITAL,English,
DIGITAL,English,ONLINE
DIGITAL,English,CHILD
DIGITAL,English,COUNCIL
DIGITAL,English,CHILD
DIGITAL,English,COMMUNITY
DIGITAL,English,ONLINE;SITE
DIGITAL,English,CHILD
DIGITAL,English,COUNCIL
DIGITAL,English,COMMUNITY
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,COUNCIL
DIGITAL,English,MAIL;ONLINE
DIGITAL,English,CHILD
DIGITAL,English,COMMUNITY
DIGITAL,English,COMMUNITY
DIGITAL,English,
DIGITAL,English,CHILD
DIGITAL,English,COUNCIL;ONLINE;TENANT
DIGITAL,English,COUNCIL;SCHOOL
DIGITAL,English,TENANT
DIGITAL,English,COUNCIL
DIGITAL,English,ONLINE
DIGITAL,English,ONLINE
DIGITAL,English,TENANT
DIGITAL,English,ONLINE
DIGITAL,English,SITE
DIGITAL,English,TENANT
DIGITAL,English,COMMUNITY
