city,postcode,bic_number,trade_name,latitude,state
BRONX,10474,FFM-85,,40.805255,NY
NEW YORK,10011,FFM-506406,,40.74433,NY
BRONX,10474,HPP-159,,,NY
BRONX,10474,HPA-46,,40.809671,NY
BRONX,10474,HPM-53,,40.807629,NY
BRONX,10474,HPA-499205,,40.804756,NY
BRONX,10474,HPP-167,,,NY
BRONX,10474,HPP-489049,,,NY
BRONX,10474,HPM-515935,,40.807629,NY
BRONX,10474,HPA-3,,40.817224,NY
RIDGEFIELD,06877,HPA-36,,,CT
PORT WASHINGTON,11050-4629,HPP-488037,,,NY
YORKTOWN HEIGHTS,10598,HPP-505171,,,NY
BRONX,10474,HPP-121,,,NY
POUGHKEEPSIE,12603,HPM-8,,,NY
BRONX,10474,HPP-127,,,NY
BRONX,10474,HPP-169,,40.810477,NY
BRONX,10474,HPM-511879,,40.807629,NY
SCARSDALE,10583,FFM-510293,,,NY
BRONX,10474,HPP-25,,,NY
NEW YORK,10018,FFM-511117,,40.757186,NY
BRONX,10474,HPM-506818,,40.807629,NY
BRONX,10474,HPA-22,,40.810408,NY
BRONX,10474,HPA-50,,40.817112,NY
BRONX,10474,HPA-4,,40.805769,NY
BRONX,10474,HPP-113,,,NY
BRONX,10474,HPA-20,,40.817262,NY
BRONX,10474,HPA-154,,40.810734,NY
BRONX,10474,FFM-110,UNIVERSAL SEAFOOD,40.805255,NY
BRONX,10474,HPP-147,,,NY
BRONX,10474,HPM-501962,,,NY
WEST HEMPSTEAD,11552,FFM-512997,,,NY
BRONX,10474,HPP-56,,,NY
BRONX,10474,HPA-64,,40.815958,NY
BRONX,10474,HPA-76,,40.808587,NY
BRONX,10474,HPP-103,,,NY
BRONX,10474,HPP-485532,,,NY
SAN FRANCISCO,94124,HPP-511195,,,CA
BRONX,10474,HPP-74,,40.811811,NY
OCEAN,07712,FFM-151,,,NJ
BROOKLYN,11220,BMM-1,,40.646985,NY
BRONX,10474,HPA-492766,,40.812727,NY
BRONX,10474,FFM-136,,40.805255,NY
BRONX,10474,HPP-503222,,,NY
BRONX,10474,FFM-87,,40.805255,NY
BRONX,10474,FFM-514656,BR FISH GROUP,40.805255,NY
BRONX,10474,FFM-25,,40.805255,NY
NEW YORK,10014-1406,GMM-487693,,40.739944,NY
BRONX,10474,HPA-12,,40.807232,NY
BRONX,10474,HPA-18,EASTERN FOOD SERVICES,40.809898,NY
BRONX,10474,HPA-514254,,,NY
BRONX,10474,HPP-174,,,NY
BRONX,10474,HPP-490299,,,NY
BRONX,10474,HPP-2,,,NY
BRONX,10474,HPA-498613,,40.815958,NY
HAWORTH,07641,HPA-499813,,,NJ
BRONX,10474,FFM-7,,40.805255,NY
SPARTA,7871,HPM-50,,,NJ
BRONX,10474,HPM-60,,40.807629,NY
BRONX,10474,HPA-511479,,40.810264,NY
ASTORIA,11102,HPP-119,,40.766961,NY
YONKERS,10701,HPA-509444,,,NY
NEW CITY,10956,FFM-131,,,NY
BRONX,10474,HPA-11,,40.811154,NY
BRONX,10474,HPP-92,,,NY
BRONX,10474,HPP-71,,,NY
BRONX,10474,HPM-49,,40.807629,NY
TEANECK,07666,HPM-70,,,NJ
JERICHO,11753,HPP-49,,,NY
BROOKLYN,11206,BMM-511604,,40.70737,NY
MIAMI,33166,HPM-507484,,,FL
BRONX,10474,HPA-69,,40.809073,NY
BRONX,10474,HPP-6,,,NY
BRONX,10474,FFM-507966,,40.805255,NY
CLOSTER,07624,HPP-507508,,,NJ
BRONX,10474,HPA-32,,40.811169,NY
BROOKLYN,11220,BMM-5,,40.646985,NY
JERICHO,11753,HPA-476941,,,NY
BROOKLYN,11239,HPP-485218,,40.647873,NY
BRONX,10474,HPA-2,,40.81529,NY
BRONX,10474,HPA-498877,,40.81205,NY
BROOKLYN,11220,BMM-24,,40.646985,NY
BRONX,10474,HPP-179,,,NY
BRONX,10474,FFM-4,,40.805255,NY
BRONX,10474,HPA-10,,,NY
BRONX,10474,FFM-111,,40.805255,NY
BRONX,10474,HPA-514647,,40.807325,NY
STATEN ISLAND,10307,FFM-97,,40.505058,NY
BRONX,10474,HPP-47,,40.811811,NY
BROOKLYN,11230,HPP-503981,,40.630208,NY
BROOKLYN,11220,BMM-499482,,,NY
BRONX,10474,HPA-63,NYC PRODUCE,40.811186,NY
