bin,created,market,application_type,boro
,2025-12-24T15:30:10.000,Hunts Point Meat Market,Public Wholesale Market,
2006925.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
2088215.0,2025-12-24T15:30:10.000,Hunts Point New Fulton Fish Market,Public Wholesale Market,BRONX
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
2006761.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
3255737.0,2025-12-24T15:30:10.000,Brooklyn Wholesale Meat Market,Public Wholesale Market,BROOKLYN
,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,
3345673.0,2025-12-24T15:30:10.000,Hunts Point Produce Market,Market Business,BROOKLYN
2006573.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
2006659.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
3255737.0,2025-12-24T15:30:10.000,Brooklyn Wholesale Meat Market,Public Wholesale Market,BROOKLYN
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
2088215.0,2025-12-24T15:30:10.000,Hunts Point New Fulton Fish Market,Public Wholesale Market,BRONX
,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,
2088215.0,2025-12-24T15:30:10.000,Hunts Point New Fulton Fish Market,Public Wholesale Market,BRONX
2006969.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
5088407.0,2025-12-24T15:30:10.000,Hunts Point New Fulton Fish Market,Loader,STATEN IS
2000000.0,2025-12-24T15:30:10.000,Hunts Point Produce Market,Trade Association,BRONX
3178891.0,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,BROOKLYN
,2025-12-24T15:30:10.000,Brooklyn Wholesale Meat Market,Public Wholesale Market,
2000000.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
2109483.0,2025-12-24T15:30:10.000,Hunts Point Meat Market,Market Business,BRONX
,2025-12-24T15:30:10.000,Hunts Point Meat Market,Public Wholesale Market,BRONX
2006639.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
2088215.0,2025-12-24T15:30:10.000,Hunts Point New Fulton Fish Market,Public Wholesale Market,BRONX
3255737.0,2025-12-24T15:30:10.000,Brooklyn Wholesale Meat Market,Public Wholesale Market,BROOKLYN
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
2109483.0,2025-12-24T15:30:10.000,Hunts Point Meat Market,Public Wholesale Market,BRONX
2101319.0,2025-12-24T15:30:10.000,Hunts Point Meat Market,Public Wholesale Market,BRONX
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
2097581.0,2025-12-24T15:30:10.000,Adjacent to Hunts Point Market,Public Wholesale Market,BRONX
2109488.0,2025-12-24T15:30:10.000,Hunts Point Produce Market,Union,BRONX
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Public Wholesale Market,
,2025-12-24T15:30:10.000,Hunts Point Produce Market,Market Business,
1089240.0,2025-12-24T15:30:10.000,Gansevoort Meat Market,Public Wholesale Market,MANHATTAN
