total_enrollment,hispanic,ela_level_3_1,ell_korean,grade_5,female,category,ell_chinese_1,ell_russian
1981,925,24.0%,No Data,234,954,Students in temporary housing,No Data,No Data
3043,1023,25.8%,No Data,367,1427,Attend school outside district of residence,No Data,No Data
512,250,s,s,33,230,English Language Learners,38.9%,11
28383,11566,26.3%,No Data,3416,13727,All Students,No Data,No Data
22952,15920,22.3%,No Data,2557,11180,Receive free or reduced price lunch,No Data,No Data
31708,12667,29.4%,No Data,3701,15478,All Students,No Data,No Data
22584,5866,28.6%,No Data,2223,11023,All Students,No Data,No Data
8695,2292,31.6%,No Data,1069,4214,Receive free or reduced price lunch,No Data,No Data
7943,6302,8.1%,No Data,998,2692,Students with Disabilities,No Data,No Data
2167,1635,s,s,242,1031,English Language Learners,0.4%,s
33930,23289,27.9%,No Data,3770,16506,Receive free or reduced price lunch,No Data,No Data
1844,106,27.9%,No Data,236,972,Attend school outside district of residence,No Data,No Data
25096,10710,28.4%,No Data,2951,12227,Receive free or reduced price lunch,No Data,No Data
10905,7701,21.5%,No Data,1241,5212,All Students,No Data,No Data
1068,247,9.7%,No Data,158,372,Students with Disabilities,No Data,No Data
18550,5009,32.4%,No Data,2191,9047,Receive free or reduced price lunch,No Data,No Data
16434,3022,28.5%,No Data,1986,7959,Receive free or reduced price lunch,No Data,No Data
10353,3767,15.7%,No Data,1289,3800,Students with Disabilities,No Data,No Data
16189,10902,22.6%,No Data,1870,7924,Receive free or reduced price lunch,No Data,No Data
1738,1619,s,s,177,788,English Language Learners,s,s
692,108,s,s,81,319,English Language Learners,1.6%,s
15866,2898,26.3%,No Data,1975,7770,Receive free or reduced price lunch,No Data,No Data
3311,2578,22.6%,No Data,391,1642,Students in temporary housing,No Data,No Data
3092,2088,17.0%,No Data,331,1514,Students in temporary housing,No Data,No Data
3166,2741,4.1%,s,367,1427,English Language Learners,0.3%,s
2540,1740,18.1%,No Data,274,1244,Attend school outside district of residence,No Data,No Data
19001,12601,23.9%,No Data,2208,9268,All Students,No Data,No Data
7709,5981,11.3%,No Data,927,2578,Students with Disabilities,No Data,No Data
2781,2003,8.0%,No Data,348,947,Students with Disabilities,No Data,No Data
3625,2612,5.6%,No Data,445,1235,Students with Disabilities,No Data,No Data
3651,708,28.0%,No Data,150,1810,Attend school outside district of residence,No Data,No Data
5493,3931,11.4%,12,487,2451,English Language Learners,1.9%,9
2450,1623,10.6%,No Data,308,886,Students with Disabilities,No Data,No Data
1476,161,14.7%,157,105,653,English Language Learners,50.4%,33
5450,1293,24.6%,No Data,682,2777,Receive free or reduced price lunch,No Data,No Data
24492,16901,22.5%,No Data,2718,11910,All Students,No Data,No Data
8839,7803,5.6%,s,895,4051,English Language Learners,0.2%,29
1896,1248,19.9%,No Data,210,913,Attend school outside district of residence,No Data,No Data
8632,5214,24.5%,No Data,978,4231,All Students,No Data,No Data
2857,597,29.7%,No Data,407,1497,Attend school outside district of residence,No Data,No Data
