total_enrollment,ela_test_takers,ell_french_1,ell_arabic,ell_arabic_1,other_1,district,math_level_2,grade_k,asian,grade_4,ela_l3_l4,ell_other_1,grade_8,asian_1
4183,2436,No Data,No Data,No Data,1.7%,22,595,408,443,548,447,No Data,380,10.6%
1072,559,1.3%,74,6.9%,s,4,127,135,73,116,s,3.0%,84,6.8%
2461,1464,No Data,No Data,No Data,2.7%,26,425,227,878,299,414,No Data,250,35.7%
7484,4322,No Data,No Data,No Data,0.9%,10,1173,825,227,910,1110,No Data,641,3.0%
32347,19921,No Data,No Data,No Data,0.9%,10,5486,3539,1340,3784,6141,No Data,3322,4.1%
1479,855,No Data,No Data,No Data,1.4%,5,198,163,30,199,215,No Data,119,2.0%
3474,2137,No Data,No Data,No Data,3.5%,29,366,272,295,448,214,No Data,382,8.5%
8830,5873,No Data,No Data,No Data,1.8%,26,1049,868,5805,937,3934,No Data,1127,65.7%
2277,1711,No Data,No Data,No Data,1.0%,9,450,110,29,185,555,No Data,457,1.3%
5607,3574,No Data,No Data,No Data,1.3%,11,674,422,205,726,339,No Data,636,3.7%
1592,1124,No Data,No Data,No Data,2.5%,5,269,134,38,176,457,No Data,239,2.4%
161,76,No Data,No Data,No Data,4.3%,31,21,42,26,16,30,No Data,13,16.1%
1800,1217,No Data,No Data,No Data,1.9%,23,195,87,7,211,89,No Data,247,0.4%
1872,1124,No Data,No Data,No Data,2.5%,1,237,154,158,231,258,No Data,224,8.4%
13025,8014,No Data,No Data,No Data,0.5%,6,2366,1249,120,1507,2614,No Data,1541,0.9%
1912,1272,No Data,No Data,No Data,2.0%,5,206,128,13,261,141,No Data,209,0.7%
3537,2080,No Data,No Data,No Data,1.6%,16,521,427,79,443,713,No Data,322,2.2%
1798,1396,No Data,No Data,No Data,1.2%,32,372,96,46,167,664,No Data,323,2.6%
1900,1130,No Data,No Data,No Data,1.2%,22,340,171,237,261,384,No Data,156,12.5%
512,244,s,s,s,s,1,68,69,214,53,s,6.6%,47,41.8%
2781,1826,No Data,No Data,No Data,0.7%,7,340,240,13,338,171,No Data,314,0.5%
13018,7333,No Data,No Data,No Data,1.2%,15,1877,1523,3558,1608,2998,No Data,1077,27.3%
10400,6411,No Data,No Data,No Data,0.9%,7,1705,1119,85,1193,1814,No Data,1086,0.8%
3311,1839,No Data,No Data,No Data,0.7%,24,558,432,424,423,582,No Data,241,12.8%
3899,2331,No Data,No Data,No Data,1.3%,25,593,338,1216,451,511,No Data,436,31.2%
2040,1210,No Data,No Data,No Data,3.8%,29,302,186,310,241,366,No Data,186,15.2%
