hispanic,ell_korean_1,year,ell_bengali_1,math_level_4,grade_1,ell_french,ell_bengali,math_l3_l4_1,ell_urdu,ell_urdu_1,ela_level_4_1,ell_russian_1,ell_spanish_1,math_level_1,grade_2,grade_7
54,No Data,2017-18,No Data,11,22,No Data,No Data,26.7%,No Data,No Data,14.5%,No Data,No Data,34,12,11
664,No Data,2017-18,No Data,45,195,No Data,No Data,18.0%,No Data,No Data,5.5%,No Data,No Data,508,187,136
299,1.2%,2017-18,0.5%,173,336,36,10,46.2%,s,s,2.4%,2.6%,12.8%,256,329,125
630,s,2017-18,2.8%,112,512,s,98,21.1%,345,9.9%,0.6%,21.1%,18.8%,875,554,198
9119,No Data,2017-18,No Data,8740,4214,No Data,No Data,62.0%,No Data,No Data,26.9%,No Data,No Data,3993,4001,3998
349,No Data,2017-18,No Data,39,155,No Data,No Data,15.8%,No Data,No Data,4.3%,No Data,No Data,437,146,135
494,No Data,2017-18,No Data,77,113,No Data,No Data,29.0%,No Data,No Data,9.3%,No Data,No Data,266,145,96
247,No Data,2017-18,No Data,19,95,No Data,No Data,12.7%,No Data,No Data,2.2%,No Data,No Data,462,111,103
827,No Data,2017-18,No Data,281,478,No Data,No Data,31.4%,No Data,No Data,9.9%,No Data,No Data,986,496,320
3931,0.2%,2017-18,10.2%,131,787,s,561,18.1%,115,2.1%,0.9%,0.2%,71.5%,1534,783,384
6524,No Data,2017-18,No Data,888,1211,No Data,No Data,35.8%,No Data,No Data,13.9%,No Data,No Data,2349,1229,1141
2578,No Data,2017-18,No Data,208,421,No Data,No Data,30.4%,No Data,No Data,9.1%,No Data,No Data,754,446,250
16901,No Data,2017-18,No Data,1360,2733,No Data,No Data,26.7%,No Data,No Data,7.9%,No Data,No Data,6655,2826,2659
1580,No Data,2017-18,No Data,56,289,No Data,No Data,9.7%,No Data,No Data,1.5%,No Data,No Data,1569,354,413
1283,No Data,2017-18,No Data,165,238,No Data,No Data,36.2%,No Data,No Data,12.1%,No Data,No Data,410,252,141
5851,No Data,2017-18,No Data,274,950,No Data,No Data,21.0%,No Data,No Data,6.4%,No Data,No Data,2316,927,696
1097,No Data,2017-18,No Data,65,178,No Data,No Data,16.8%,No Data,No Data,5.2%,No Data,No Data,671,197,246
1623,No Data,2017-18,No Data,47,224,No Data,No Data,12.9%,No Data,No Data,2.6%,No Data,No Data,956,257,278
6525,No Data,2017-18,No Data,5907,3015,No Data,No Data,64.7%,No Data,No Data,28.2%,No Data,No Data,2373,2790,2796
108,s,2017-18,0.9%,12,88,20,6,11.6%,s,s,s,s,16.2%,244,82,73
3288,No Data,2017-18,No Data,71,400,No Data,No Data,9.8%,No Data,No Data,1.6%,No Data,No Data,2098,549,560
1887,s,2017-18,8.7%,41,372,64,294,10.6%,87,2.6%,0.5%,s,56.1%,1276,518,311
482,s,2017-18,s,31,84,78,s,19.0%,s,s,s,1.7%,63.1%,285,97,68
679,No Data,2017-18,No Data,72,117,No Data,No Data,30.2%,No Data,No Data,8.3%,No Data,No Data,240,122,89
1833,No Data,2017-18,No Data,847,150,No Data,No Data,58.5%,No Data,No Data,33.4%,No Data,No Data,466,172,693
15027,No Data,2017-18,No Data,4819,2989,No Data,No Data,51.6%,No Data,No Data,24.7%,No Data,No Data,4086,3038,3237
1023,No Data,2017-18,No Data,725,298,No Data,No Data,61.0%,No Data,No Data,39.2%,No Data,No Data,390,356,362
269,s,2017-18,1.6%,s,41,16,6,s,s,s,s,s,70.6%,145,54,51
2834,No Data,2017-18,No Data,85,495,No Data,No Data,8.5%,No Data,No Data,1.6%,No Data,No Data,2571,589,697
10364,No Data,2017-18,No Data,487,1642,No Data,No Data,18.1%,No Data,No Data,5.7%,No Data,No Data,5161,1773,1567
9316,No Data,2017-18,No Data,2160,2700,No Data,No Data,36.0%,No Data,No Data,15.1%,No Data,No Data,5261,2796,2482
200,No Data,2017-18,No Data,24,102,No Data,No Data,21.0%,No Data,No Data,7.4%,No Data,No Data,252,124,66
835,No Data,2017-18,No Data,48,159,No Data,No Data,23.5%,No Data,No Data,7.0%,No Data,No Data,299,140,86
653,No Data,2017-18,No Data,64,161,No Data,No Data,31.3%,No Data,No Data,7.1%,No Data,No Data,245,179,72
2404,s,2017-18,8.7%,77,530,s,326,16.5%,107,2.9%,0.6%,0.5%,64.6%,1084,518,322
219,s,2017-18,7.0%,9,73,32,35,14.3%,s,s,s,s,43.9%,148,85,30
6302,No Data,2017-18,No Data,91,795,No Data,No Data,8.0%,No Data,No Data,1.2%,No Data,No Data,3560,900,897
708,No Data,2017-18,No Data,1291,71,No Data,No Data,65.4%,No Data,No Data,38.2%,No Data,No Data,484,95,959
7215,No Data,2017-18,No Data,903,1677,No Data,No Data,25.5%,No Data,No Data,9.1%,No Data,No Data,4460,1750,1684
3022,No Data,2017-18,No Data,1938,1922,No Data,No Data,41.5%,No Data,No Data,15.9%,No Data,No Data,3077,1968,1585
11566,No Data,2017-18,No Data,2028,3076,No Data,No Data,31.0%,No Data,No Data,11.8%,No Data,No Data,7179,3234,3083
7803,s,2017-18,2.7%,68,1134,66,241,7.8%,31,0.4%,0.4%,0.3%,88.4%,3586,1109,820
1395,No Data,2017-18,No Data,2348,855,No Data,No Data,69.4%,No Data,No Data,32.1%,No Data,No Data,638,890,1098
5214,No Data,2017-18,No Data,797,918,No Data,No Data,33.7%,No Data,No Data,15.3%,No Data,No Data,2044,978,972
330,No Data,2017-18,No Data,365,157,No Data,No Data,47.1%,No Data,No Data,21.6%,No Data,No Data,396,159,268
11070,No Data,2017-18,No Data,552,1751,No Data,No Data,18.6%,No Data,No Data,6.0%,No Data,No Data,5488,1889,1705
250,s,2017-18,1.6%,26,64,s,8,28.0%,s,s,s,2.1%,48.6%,127,70,40
418,No Data,2017-18,No Data,19,123,No Data,No Data,7.1%,No Data,No Data,1.1%,No Data,No Data,889,169,257
1500,No Data,2017-18,No Data,121,408,No Data,No Data,21.5%,No Data,No Data,8.1%,No Data,No Data,960,398,320
1619,s,2017-18,0.3%,17,207,s,6,9.0%,s,s,s,s,93.4%,682,257,186
1635,s,2017-18,11.9%,28,261,8,257,9.0%,s,s,s,s,75.8%,880,290,212
2292,No Data,2017-18,No Data,1811,842,No Data,No Data,58.2%,No Data,No Data,25.3%,No Data,No Data,1145,865,1054
2654,No Data,2017-18,No Data,477,541,No Data,No Data,36.2%,No Data,No Data,13.7%,No Data,No Data,1114,512,512
907,s,2017-18,1.5%,8,144,14,16,12.0%,s,s,s,s,84.7%,366,161,74
9676,No Data,2017-18,No Data,1368,2493,No Data,No Data,28.2%,No Data,No Data,10.3%,No Data,No Data,6077,2646,2451
1572,No Data,2017-18,No Data,88,277,No Data,No Data,20.2%,No Data,No Data,6.0%,No Data,No Data,699,284,206
338,No Data,2017-18,No Data,133,100,No Data,No Data,45.2%,No Data,No Data,21.7%,No Data,No Data,191,83,150
433,No Data,2017-18,No Data,110,239,No Data,No Data,25.6%,No Data,No Data,9.7%,No Data,No Data,565,272,197
1167,s,2017-18,0.9%,221,637,s,42,27.0%,386,8.5%,1.0%,20.3%,25.7%,1052,633,398
23289,No Data,2017-18,No Data,3796,3860,No Data,No Data,41.1%,No Data,No Data,15.8%,No Data,No Data,6443,3976,3580
8541,0.1%,2017-18,3.7%,182,1618,s,409,15.5%,47,0.4%,0.5%,0.3%,77.3%,3360,1735,739
7832,No Data,2017-18,No Data,6367,3273,No Data,No Data,58.9%,No Data,No Data,23.1%,No Data,No Data,3526,3163,3275
3774,No Data,2017-18,No Data,2599,1388,No Data,No Data,55.7%,No Data,No Data,34.2%,No Data,No Data,1825,1442,1464
106,No Data,2017-18,No Data,219,161,No Data,No Data,37.3%,No Data,No Data,17.5%,No Data,No Data,443,191,220
1180,3.9%,2017-18,1.1%,430,973,s,60,44.1%,112,2.0%,1.5%,0.7%,20.9%,729,827,359
169,No Data,2017-18,No Data,32,100,No Data,No Data,25.0%,No Data,No Data,8.3%,No Data,No Data,213,101,50
740,No Data,2017-18,No Data,218,420,No Data,No Data,29.9%,No Data,No Data,8.6%,No Data,No Data,894,431,287
970,No Data,2017-18,No Data,60,173,No Data,No Data,24.2%,No Data,No Data,6.4%,No Data,No Data,391,176,138
2421,No Data,2017-18,No Data,243,604,No Data,No Data,21.4%,No Data,No Data,4.2%,No Data,No Data,1706,605,565
602,s,2017-18,0.8%,10,91,35,7,6.5%,s,s,s,s,71.2%,383,113,88
161,10.6%,2017-18,3.6%,159,228,s,53,47.4%,71,4.8%,1.8%,2.2%,11.0%,162,211,116
1586,No Data,2017-18,No Data,288,683,No Data,No Data,20.8%,No Data,No Data,7.3%,No Data,No Data,2086,714,878
1756,s,2017-18,0.5%,68,465,12,17,16.5%,109,3.4%,0.5%,5.1%,56.6%,918,493,212
5349,s,2017-18,1.2%,78,710,110,75,10.4%,s,s,0.3%,s,88.1%,2338,792,606
546,No Data,2017-18,No Data,60,257,No Data,No Data,13.6%,No Data,No Data,3.6%,No Data,No Data,1009,281,305
773,No Data,2017-18,No Data,862,221,No Data,No Data,67.5%,No Data,No Data,34.6%,No Data,No Data,304,235,533
1420,No Data,2017-18,No Data,156,162,No Data,No Data,24.5%,No Data,No Data,9.2%,No Data,No Data,785,158,427
976,No Data,2017-18,No Data,57,164,No Data,No Data,22.6%,No Data,No Data,6.6%,No Data,No Data,389,170,124
2609,No Data,2017-18,No Data,152,577,No Data,No Data,16.2%,No Data,No Data,2.2%,No Data,No Data,2009,645,657
426,No Data,2017-18,No Data,385,142,No Data,No Data,59.8%,No Data,No Data,27.2%,No Data,No Data,213,139,323
25023,No Data,2017-18,No Data,1621,3710,No Data,No Data,24.7%,No Data,No Data,8.4%,No Data,No Data,9306,3679,3407
171,No Data,2017-18,No Data,24,182,No Data,No Data,8.7%,No Data,No Data,0.9%,No Data,No Data,870,186,226
1244,No Data,2017-18,No Data,537,282,No Data,No Data,45.3%,No Data,No Data,27.3%,No Data,No Data,668,296,529
1881,s,2017-18,0.4%,48,255,35,9,13.2%,s,s,0.5%,s,89.1%,807,283,212
445,No Data,2017-18,No Data,204,148,No Data,No Data,48.4%,No Data,No Data,16.6%,No Data,No Data,224,159,135
2367,No Data,2017-18,No Data,230,473,No Data,No Data,23.4%,No Data,No Data,6.2%,No Data,No Data,1219,573,467
663,No Data,2017-18,No Data,766,1047,No Data,No Data,30.8%,No Data,No Data,12.3%,No Data,No Data,2567,1074,1113
2898,No Data,2017-18,No Data,1026,1800,No Data,No Data,30.3%,No Data,No Data,12.5%,No Data,No Data,3643,1846,1611
1140,No Data,2017-18,No Data,84,155,No Data,No Data,22.6%,No Data,No Data,8.2%,No Data,No Data,516,156,178
5256,No Data,2017-18,No Data,462,802,No Data,No Data,29.2%,No Data,No Data,10.2%,No Data,No Data,1989,842,817
1075,s,2017-18,0.6%,22,174,12,8,14.4%,s,s,s,s,78.0%,448,169,116
94,No Data,2017-18,No Data,50,126,No Data,No Data,20.1%,No Data,No Data,6.7%,No Data,No Data,326,142,91
12601,No Data,2017-18,No Data,1469,2063,No Data,No Data,31.0%,No Data,No Data,10.9%,No Data,No Data,4870,2183,2160
829,No Data,2017-18,No Data,20,188,No Data,No Data,8.9%,No Data,No Data,1.7%,No Data,No Data,918,214,229
26849,No Data,2017-18,No Data,5391,4852,No Data,No Data,44.5%,No Data,No Data,18.5%,No Data,No Data,7303,4904,4446
3624,No Data,2017-18,No Data,3307,2688,No Data,No Data,47.6%,No Data,No Data,20.0%,No Data,No Data,3617,2779,2130
572,No Data,2017-18,No Data,49,113,No Data,No Data,21.7%,No Data,No Data,8.1%,No Data,No Data,362,139,123
548,No Data,2017-18,No Data,94,204,No Data,No Data,28.4%,No Data,No Data,11.4%,No Data,No Data,409,223,166
11831,No Data,2017-18,No Data,5613,4610,No Data,No Data,47.4%,No Data,No Data,22.4%,No Data,No Data,6705,4662,4229
1215,No Data,2017-18,No Data,464,438,No Data,No Data,39.9%,No Data,No Data,12.0%,No Data,No Data,901,503,508
2065,No Data,2017-18,No Data,855,1165,No Data,No Data,32.9%,No Data,No Data,12.8%,No Data,No Data,2664,1146,1302
131,s,2017-18,5.2%,6,26,7,12,20.9%,s,s,s,s,57.8%,64,27,15
2612,No Data,2017-18,No Data,32,341,No Data,No Data,6.1%,No Data,No Data,0.9%,No Data,No Data,1876,402,434
1506,No Data,2017-18,No Data,236,648,No Data,No Data,19.9%,No Data,No Data,6.6%,No Data,No Data,1961,674,770
633,No Data,2017-18,No Data,175,234,No Data,No Data,33.5%,No Data,No Data,5.5%,No Data,No Data,516,286,259
1740,No Data,2017-18,No Data,79,244,No Data,No Data,16.0%,No Data,No Data,6.2%,No Data,No Data,957,237,335
2447,s,2017-18,2.1%,616,1510,s,215,33.8%,313,3.1%,1.2%,4.3%,24.5%,1888,1470,718
7701,No Data,2017-18,No Data,542,1209,No Data,No Data,23.8%,No Data,No Data,7.2%,No Data,No Data,3328,1295,1217
2720,No Data,2017-18,No Data,230,656,No Data,No Data,19.9%,No Data,No Data,7.2%,No Data,No Data,2078,691,654
420,No Data,2017-18,No Data,128,242,No Data,No Data,29.3%,No Data,No Data,10.5%,No Data,No Data,479,250,156
523,No Data,2017-18,No Data,208,173,No Data,No Data,50.7%,No Data,No Data,15.1%,No Data,No Data,215,170,125
1468,s,2017-18,13.5%,91,412,s,435,19.5%,79,2.4%,0.7%,7.5%,45.5%,920,481,240
2788,No Data,2017-18,No Data,391,579,No Data,No Data,29.4%,No Data,No Data,12.4%,No Data,No Data,1585,611,741
2310,No Data,2017-18,No Data,1072,1377,No Data,No Data,34.0%,No Data,No Data,14.3%,No Data,No Data,3056,1328,1561
11913,No Data,2017-18,No Data,834,1463,No Data,No Data,29.5%,No Data,No Data,8.4%,No Data,No Data,3238,1482,1414
4558,No Data,2017-18,No Data,453,757,No Data,No Data,28.5%,No Data,No Data,11.2%,No Data,No Data,1856,786,780
3834,No Data,2017-18,No Data,77,469,No Data,No Data,9.4%,No Data,No Data,1.0%,No Data,No Data,2365,603,648
4331,s,2017-18,s,61,528,13,s,10.5%,s,s,s,0.1%,95.6%,1766,547,438
876,No Data,2017-18,No Data,102,224,No Data,No Data,27.5%,No Data,No Data,8.6%,No Data,No Data,508,221,181
473,No Data,2017-18,No Data,44,179,No Data,No Data,13.5%,No Data,No Data,2.7%,No Data,No Data,715,218,174
2003,No Data,2017-18,No Data,55,246,No Data,No Data,9.9%,No Data,No Data,1.4%,No Data,No Data,1296,304,357
1655,No Data,2017-18,No Data,169,354,No Data,No Data,20.1%,No Data,No Data,3.8%,No Data,No Data,1352,433,573
292,No Data,2017-18,No Data,95,106,No Data,No Data,23.3%,No Data,No Data,10.1%,No Data,No Data,546,104,350
3532,No Data,2017-18,No Data,1474,2283,No Data,No Data,31.6%,No Data,No Data,13.6%,No Data,No Data,4707,2375,2206
5009,No Data,2017-18,No Data,4010,2134,No Data,No Data,62.6%,No Data,No Data,25.0%,No Data,No Data,1857,1996,1961
1304,No Data,2017-18,No Data,1307,189,No Data,No Data,57.4%,No Data,No Data,28.2%,No Data,No Data,767,243,1025
1227,No Data,2017-18,No Data,513,312,No Data,No Data,52.1%,No Data,No Data,25.9%,No Data,No Data,498,384,497
977,No Data,2017-18,No Data,153,463,No Data,No Data,18.6%,No Data,No Data,3.7%,No Data,No Data,1356,530,398
6566,No Data,2017-18,No Data,3454,2827,No Data,No Data,49.3%,No Data,No Data,22.4%,No Data,No Data,3594,2820,2533
8737,No Data,2017-18,No Data,3777,3123,No Data,No Data,56.3%,No Data,No Data,25.6%,No Data,No Data,2657,3051,1981
272,No Data,2017-18,No Data,476,142,No Data,No Data,67.7%,No Data,No Data,36.8%,No Data,No Data,143,141,261
1589,No Data,2017-18,No Data,56,225,No Data,No Data,13.6%,No Data,No Data,3.1%,No Data,No Data,934,271,291
1106,No Data,2017-18,No Data,162,231,No Data,No Data,24.6%,No Data,No Data,8.3%,No Data,No Data,865,278,308
6407,No Data,2017-18,No Data,565,758,No Data,No Data,30.0%,No Data,No Data,11.6%,No Data,No Data,2184,856,1078
7370,No Data,2017-18,No Data,510,1162,No Data,No Data,23.5%,No Data,No Data,7.0%,No Data,No Data,3216,1243,1154
2088,No Data,2017-18,No Data,78,374,No Data,No Data,14.5%,No Data,No Data,4.5%,No Data,No Data,1137,405,283
501,No Data,2017-18,No Data,293,312,No Data,No Data,34.6%,No Data,No Data,17.5%,No Data,No Data,829,297,559
1810,No Data,2017-18,No Data,116,318,No Data,No Data,21.6%,No Data,No Data,5.5%,No Data,No Data,841,349,277
10902,No Data,2017-18,No Data,1097,1771,No Data,No Data,28.5%,No Data,No Data,9.4%,No Data,No Data,4378,1879,1809
5942,No Data,2017-18,No Data,487,709,No Data,No Data,28.9%,No Data,No Data,10.3%,No Data,No Data,2027,793,957
664,No Data,2017-18,No Data,28,342,No Data,No Data,8.0%,No Data,No Data,1.2%,No Data,No Data,1488,383,394
15920,No Data,2017-18,No Data,1218,2579,No Data,No Data,26.2%,No Data,No Data,7.5%,No Data,No Data,6288,2665,2466
12289,No Data,2017-18,No Data,3035,2062,No Data,No Data,46.3%,No Data,No Data,20.1%,No Data,No Data,3523,2209,2471
172,No Data,2017-18,No Data,68,135,No Data,No Data,25.0%,No Data,No Data,10.1%,No Data,No Data,335,136,175
892,s,2017-18,18.8%,25,304,38,377,12.4%,92,4.6%,0.7%,s,45.6%,588,280,163
925,No Data,2017-18,No Data,246,240,No Data,No Data,43.9%,No Data,No Data,13.4%,No Data,No Data,361,258,142
1792,No Data,2017-18,No Data,159,160,No Data,No Data,26.6%,No Data,No Data,9.7%,No Data,No Data,780,217,379
5981,No Data,2017-18,No Data,205,787,No Data,No Data,14.3%,No Data,No Data,1.9%,No Data,No Data,2891,891,850
27760,No Data,2017-18,No Data,2212,4230,No Data,No Data,27.4%,No Data,No Data,9.9%,No Data,No Data,9990,4191,3825
6585,No Data,2017-18,No Data,749,1505,No Data,No Data,24.1%,No Data,No Data,8.4%,No Data,No Data,4146,1575,1549
5866,No Data,2017-18,No Data,4834,2187,No Data,No Data,56.1%,No Data,No Data,28.0%,No Data,No Data,3161,2212,3053
1539,No Data,2017-18,No Data,202,425,No Data,No Data,26.7%,No Data,No Data,5.1%,No Data,No Data,1034,446,437
1106,No Data,2017-18,No Data,106,294,No Data,No Data,21.2%,No Data,No Data,6.4%,No Data,No Data,720,292,219
1447,No Data,2017-18,No Data,108,408,No Data,No Data,16.5%,No Data,No Data,2.7%,No Data,No Data,1328,467,461
470,No Data,2017-18,No Data,273,133,No Data,No Data,47.2%,No Data,No Data,25.5%,No Data,No Data,353,165,341
2331,s,2017-18,3.8%,135,703,61,171,23.4%,33,0.7%,0.7%,1.1%,52.6%,1011,729,160
13236,No Data,2017-18,No Data,1174,1730,No Data,No Data,33.2%,No Data,No Data,11.0%,No Data,No Data,3479,1763,1583
2890,No Data,2017-18,No Data,59,338,No Data,No Data,11.7%,No Data,No Data,1.9%,No Data,No Data,1226,408,351
2853,No Data,2017-18,No Data,131,429,No Data,No Data,16.2%,No Data,No Data,3.3%,No Data,No Data,1591,504,502
3787,No Data,2017-18,No Data,219,714,No Data,No Data,22.3%,No Data,No Data,5.0%,No Data,No Data,1569,698,514
1375,No Data,2017-18,No Data,26,131,No Data,No Data,8.8%,No Data,No Data,1.4%,No Data,No Data,777,174,233
2313,No Data,2017-18,No Data,116,353,No Data,No Data,23.8%,No Data,No Data,5.8%,No Data,No Data,673,324,206
1900,No Data,2017-18,No Data,262,285,No Data,No Data,34.9%,No Data,No Data,14.3%,No Data,No Data,704,291,404
710,s,2017-18,2.2%,42,183,23,35,15.1%,s,s,1.5%,s,44.8%,540,203,151
1676,No Data,2017-18,No Data,255,196,No Data,No Data,38.6%,No Data,No Data,15.9%,No Data,No Data,542,187,469
2741,s,2017-18,3.2%,23,366,65,100,6.6%,s,s,0.7%,s,87.0%,1437,412,256
597,No Data,2017-18,No Data,264,316,No Data,No Data,36.4%,No Data,No Data,16.0%,No Data,No Data,598,348,253
5097,No Data,2017-18,No Data,2869,1709,No Data,No Data,50.0%,No Data,No Data,22.1%,No Data,No Data,2731,1712,2192
1293,No Data,2017-18,No Data,276,644,No Data,No Data,25.9%,No Data,No Data,9.8%,No Data,No Data,1450,640,487
116,No Data,2017-18,No Data,95,37,No Data,No Data,55.9%,No Data,No Data,26.4%,No Data,No Data,55,35,69
10710,No Data,2017-18,No Data,2280,2710,No Data,No Data,37.8%,No Data,No Data,14.5%,No Data,No Data,4963,2733,2859
822,No Data,2017-18,No Data,92,226,No Data,No Data,25.4%,No Data,No Data,9.6%,No Data,No Data,465,227,164
2962,No Data,2017-18,No Data,360,728,No Data,No Data,22.6%,No Data,No Data,10.0%,No Data,No Data,2246,753,785
3284,No Data,2017-18,No Data,1215,846,No Data,No Data,49.2%,No Data,No Data,26.3%,No Data,No Data,1264,854,798
5017,No Data,2017-18,No Data,1748,1899,No Data,No Data,42.0%,No Data,No Data,16.9%,No Data,No Data,2933,1952,1730
2081,s,2017-18,6.7%,39,295,35,181,11.6%,8,0.3%,0.4%,s,77.2%,1069,346,305
495,No Data,2017-18,No Data,68,109,No Data,No Data,24.3%,No Data,No Data,8.6%,No Data,No Data,327,118,119
2428,No Data,2017-18,No Data,4932,1745,No Data,No Data,74.3%,No Data,No Data,38.0%,No Data,No Data,903,1861,1924
1754,No Data,2017-18,No Data,832,1126,No Data,No Data,39.1%,No Data,No Data,17.6%,No Data,No Data,1668,1076,691
406,No Data,2017-18,No Data,90,225,No Data,No Data,23.0%,No Data,No Data,8.4%,No Data,No Data,574,258,202
1540,No Data,2017-18,No Data,463,264,No Data,No Data,45.3%,No Data,No Data,25.5%,No Data,No Data,561,324,375
6903,No Data,2017-18,No Data,1391,1564,No Data,No Data,41.6%,No Data,No Data,13.2%,No Data,No Data,2263,1643,1121
576,No Data,2017-18,No Data,537,836,No Data,No Data,28.3%,No Data,No Data,10.8%,No Data,No Data,2114,851,880
12667,No Data,2017-18,No Data,3342,3401,No Data,No Data,41.1%,No Data,No Data,17.0%,No Data,No Data,5771,3403,3602
1248,No Data,2017-18,No Data,128,148,No Data,No Data,25.4%,No Data,No Data,9.7%,No Data,No Data,613,202,299
1113,No Data,2017-18,No Data,191,113,No Data,No Data,37.0%,No Data,No Data,19.3%,No Data,No Data,463,125,323
678,No Data,2017-18,No Data,82,98,No Data,No Data,26.0%,No Data,No Data,11.2%,No Data,No Data,400,131,176
4066,No Data,2017-18,No Data,7068,2961,No Data,No Data,74.7%,No Data,No Data,41.3%,No Data,No Data,1539,2873,2580
192,No Data,2017-18,No Data,91,143,No Data,No Data,34.4%,No Data,No Data,11.6%,No Data,No Data,289,118,84
3767,No Data,2017-18,No Data,286,1118,No Data,No Data,16.3%,No Data,No Data,3.7%,No Data,No Data,3581,1262,1073
1949,No Data,2017-18,No Data,151,170,No Data,No Data,29.6%,No Data,No Data,9.6%,No Data,No Data,584,182,316
667,No Data,2017-18,No Data,153,131,No Data,No Data,30.9%,No Data,No Data,18.9%,No Data,No Data,441,149,217
