male,hispanic_1,grade_6,math_level_1_1,math_level_3,white,math_level_2_1,grade_3,ell_haitian_creole_1,math_level_3_1,white_1,math_test_takers,black
1296,0.685,317,0.566,191,28,0.274,274,No Data,11.3%,1.1%,1691,685
696,0.231,109,0.689,66,16,0.185,164,No Data,9.8%,1.5%,671,782
611,0.16,80,0.414,149,23,0.242,165,No Data,21.3%,1.9%,698,950
16452,0.774,3456,0.474,3227,939,0.279,3814,No Data,16.4%,2.9%,19640,4740
3155,0.208,404,0.291,676,173,0.269,646,s,26.9%,3.0%,2509,9
2666,0.395,485,0.466,391,784,0.267,416,No Data,17.6%,20.1%,2220,311
1627,0.38,480,0.31,440,633,0.238,328,No Data,20.4%,19.4%,2158,1060
11561,0.26,3113,0.215,3399,8198,0.223,2287,No Data,23.2%,36.3%,14672,1828
1616,0.336,313,0.222,346,777,0.168,342,No Data,19.7%,25.5%,1757,344
879,0.619,322,0.349,299,53,0.281,150,No Data,22.6%,2.9%,1325,565
3563,0.232,863,0.493,594,102,0.299,766,No Data,14.0%,1.5%,4231,4956
17424,0.686,3483,0.31,4728,3231,0.279,3940,No Data,22.8%,9.5%,20756,547
3763,0.505,664,0.725,215,339,0.19,627,No Data,6.1%,6.0%,3545,2155
2810,0.689,548,0.512,465,85,0.264,684,No Data,15.2%,1.5%,3062,1533
9733,0.663,2112,0.404,2266,1179,0.286,2210,No Data,18.8%,6.2%,12046,3818
3230,0.24,784,0.509,530,98,0.293,714,No Data,13.7%,1.6%,3856,4490
1112,0.445,143,0.646,88,101,0.23,254,11.3%,9.7%,5.0%,910,359
591,0.503,129,0.509,105,49,0.274,132,No Data,14.8%,4.3%,711,484
1732,0.215,281,0.619,162,46,0.245,303,No Data,9.9%,1.8%,1631,1866
1203,0.747,314,0.452,299,32,0.282,217,No Data,17.3%,1.3%,1725,526
1101,0.809,210,0.727,68,20,0.185,189,No Data,6.4%,1.2%,1069,280
783,0.749,143,0.528,137,11,0.246,194,No Data,14.0%,0.7%,977,343
5693,0.706,1073,0.494,1063,174,0.268,1290,No Data,15.8%,1.6%,6743,2842
955,0.663,219,0.351,258,66,0.287,270,No Data,22.1%,3.4%,1168,217
1843,0.556,327,0.668,161,645,0.227,435,s,8.4%,19.0%,1911,218
921,0.245,270,0.288,305,100,0.239,144,No Data,24.9%,5.2%,1224,815
943,0.474,201,0.458,203,87,0.267,224,No Data,18.3%,4.7%,1109,644
2061,0.202,307,0.426,447,111,0.26,583,No Data,19.3%,2.7%,2315,2995
8265,0.673,1814,0.428,1815,820,0.287,1917,No Data,17.7%,5.1%,10231,3338
2168,0.474,411,0.714,157,38,0.19,428,No Data,7.1%,1.1%,2199,1572
1309,0.668,260,0.324,390,210,0.29,188,No Data,23.3%,8.4%,1673,120
5533,0.594,1194,0.368,1394,2050,0.274,1213,No Data,21.8%,18.6%,6383,1852
820,0.449,143,0.59,110,28,0.23,181,No Data,12.8%,1.9%,861,737
7028,0.475,1528,0.481,1329,275,0.278,1525,No Data,15.4%,2.0%,8626,5591
3871,0.681,902,0.425,905,670,0.282,854,No Data,19.4%,8.7%,4677,1477
5251,0.793,914,0.726,303,236,0.193,916,No Data,6.2%,3.0%,4901,1217
21802,0.632,4314,0.283,6073,5924,0.272,4947,No Data,23.6%,14.0%,25768,723
771,0.659,133,0.476,139,21,0.281,197,No Data,16.9%,1.4%,821,430
12435,0.269,2588,0.268,3149,4156,0.239,2784,No Data,23.5%,17.1%,13407,5107
2116,0.894,347,0.656,159,110,0.227,384,No Data,8.5%,3.4%,1869,198
16230,0.399,3542,0.311,4284,3397,0.278,3575,No Data,23.1%,10.7%,18543,6676
1246,0.09,210,0.726,80,42,0.187,261,No Data,6.7%,2.2%,1198,1660
