ela_test_takers,male,ell_chinese,math_level_4_1,ell_haitian_creole,ela_level_3,math_l3_l4,black_1,ell_other,ela_level_1_1,ell_spanish,other,male_1,female_1,ela_level_1,ela_level_2,ela_l3_l4_1,ela_level_4,ela_level_2_1
1210,1050,No Data,7.9%,No Data,264,262,59.4%,No Data,0.355,No Data,77,0.515,0.485,430,414,30.2%,102,0.342
1460,1760,425,4.4%,s,154,256,1.2%,315,0.548,1794,20,0.555,0.445,800,499,11.0%,7,0.342
416,417,22,6.5%,s,s,90,11.6%,114,0.584,475,s,0.554,0.446,243,119,s,s,0.286
108,135,6,5.2%,s,s,24,s,7,0.574,134,s,0.582,0.418,62,33,s,s,0.306
4509,3552,No Data,10.8%,No Data,1059,1199,25.4%,No Data,0.298,No Data,132,0.507,0.493,1344,1600,34.7%,506,0.355
876,652,No Data,9.6%,No Data,196,222,32.7%,No Data,0.322,No Data,19,0.513,0.487,282,300,33.6%,98,0.342
1300,872,No Data,17.1%,No Data,363,478,91.1%,No Data,0.232,No Data,24,0.473,0.527,302,407,45.5%,228,0.313
2845,2557,No Data,17.1%,No Data,759,1008,18.6%,No Data,0.259,No Data,93,0.535,0.465,738,958,40.4%,390,0.337
1364,1207,No Data,7.7%,No Data,274,290,45.1%,No Data,0.407,No Data,42,0.508,0.492,555,448,26.5%,87,0.328
1464,1677,No Data,12.4%,No Data,333,473,8.2%,No Data,0.324,No Data,66,0.681,0.319,475,575,28.3%,81,0.393
1217,1167,No Data,1.6%,No Data,76,83,73.3%,No Data,0.657,No Data,35,0.648,0.352,800,328,7.3%,13,0.27
1653,1732,No Data,3.7%,No Data,202,222,73.3%,No Data,0.498,No Data,58,0.681,0.319,823,569,15.8%,59,0.344
1124,1256,No Data,6.0%,No Data,200,184,20.2%,No Data,0.436,No Data,47,0.671,0.329,490,376,23.0%,58,0.335
3783,2349,No Data,35.4%,No Data,1077,2119,7.9%,No Data,0.174,No Data,42,0.508,0.492,658,983,56.6%,1065,0.26
1542,1564,No Data,3.1%,No Data,163,192,20.8%,No Data,0.551,No Data,25,0.638,0.362,850,489,13.2%,40,0.317
4378,3981,No Data,28.9%,No Data,1208,2067,13.9%,No Data,0.188,No Data,308,0.531,0.469,825,1195,53.9%,1150,0.273
4912,5131,No Data,4.2%,No Data,556,698,2.2%,No Data,0.527,No Data,44,0.666,0.334,2588,1677,13.2%,91,0.341
1826,1834,No Data,3.0%,No Data,146,180,25.7%,No Data,0.617,No Data,20,0.659,0.341,1126,529,9.4%,25,0.29
545,550,No Data,13.0%,No Data,156,167,18.1%,No Data,0.279,No Data,9,0.546,0.454,152,192,36.9%,45,0.352
3191,1841,No Data,41.1%,No Data,894,2051,6.8%,No Data,0.127,No Data,102,0.504,0.496,406,671,66.2%,1220,0.21
486,486,s,1.9%,s,s,34,15.0%,76,0.607,602,9,0.574,0.426,295,160,s,s,0.329
4838,3871,No Data,9.9%,No Data,1184,1367,19.1%,No Data,0.303,No Data,80,0.502,0.498,1468,1694,34.6%,492,0.35
1174,863,No Data,42.6%,No Data,399,757,17.6%,No Data,0.105,No Data,66,0.523,0.477,123,220,70.8%,432,0.187
2553,2629,No Data,6.7%,No Data,389,506,13.7%,No Data,0.467,No Data,42,0.647,0.353,1192,876,19.0%,96,0.343
1139,1191,s,3.9%,s,80,162,7.1%,105,0.631,1889,9,0.562,0.438,719,334,7.6%,6,0.293
2030,1479,No Data,13.7%,No Data,579,666,20.2%,No Data,0.248,No Data,59,0.487,0.513,503,657,42.9%,291,0.324
8305,6593,No Data,13.2%,No Data,2295,2757,73.5%,No Data,0.252,No Data,290,0.511,0.489,2089,2737,41.9%,1184,0.33
6693,5533,No Data,13.9%,No Data,1819,2282,16.8%,No Data,0.258,No Data,169,0.503,0.497,1725,2220,41.1%,929,0.332
11505,9503,No Data,36.1%,No Data,3726,6955,4.5%,No Data,0.166,No Data,172,0.512,0.488,1906,2997,57.4%,2876,0.26
1777,1739,8,1.2%,s,72,126,5.7%,119,0.705,2756,24,0.549,0.451,1252,441,4.7%,12,0.248
4816,4321,No Data,17.6%,No Data,1398,1851,52.2%,No Data,0.232,No Data,362,0.498,0.502,1116,1456,46.6%,846,0.302
14744,12435,No Data,25.8%,No Data,4263,6603,21.0%,No Data,0.206,No Data,1447,0.51,0.49,3035,4136,51.4%,3310,0.281
4976,3929,No Data,10.7%,No Data,1222,1418,86.3%,No Data,0.297,No Data,105,0.503,0.497,1480,1737,35.3%,537,0.349
4395,3563,No Data,6.8%,No Data,833,882,72.5%,No Data,0.372,No Data,126,0.521,0.479,1634,1605,26.3%,323,0.365
1212,1246,No Data,2.0%,No Data,85,104,87.0%,No Data,0.594,No Data,22,0.653,0.347,720,396,7.9%,11,0.327
1749,1843,16,2.1%,s,99,202,6.4%,298,0.658,1905,36,0.543,0.457,1150,492,6.1%,8,0.281
2757,2881,No Data,4.9%,No Data,343,434,11.0%,No Data,0.486,No Data,53,0.667,0.333,1339,985,15.7%,90,0.357
6411,5426,No Data,7.9%,No Data,1363,1514,25.9%,No Data,0.361,No Data,89,0.522,0.478,2312,2285,28.3%,451,0.356
817,733,No Data,25.1%,No Data,202,421,7.9%,No Data,0.294,No Data,19,0.524,0.476,240,252,39.8%,123,0.308
1109,1101,No Data,2.4%,No Data,85,94,16.5%,No Data,0.669,No Data,14,0.648,0.352,742,267,9.0%,15,0.241
1415,921,No Data,22.3%,No Data,381,578,42.5%,No Data,0.21,No Data,112,0.48,0.52,297,376,52.4%,361,0.266
6973,5537,No Data,12.5%,No Data,1900,2247,73.3%,No Data,0.266,No Data,232,0.511,0.489,1858,2323,40.0%,892,0.333
