block_number,petitioner_name,borough_code
16,WFP TOWER D CO. L.P.,1
5,4 NYP VENTURES LLC,1
11,74 Broad Owners LP,1
9,"ONE STATE STREET, LLC",1
8,AI IV LLC,1
11,BSD 80 Broad LLC,1
8,New York Plaza Residentia,1
10,"Broad Street Plaza, LLC",1
13,"Bowling Green Associates,",1
10,6 Stone Street CC LLC,1
16,DEMATTEIS BATTERY PARK AS,1
8,NEW YORK PLAZA RESIDENTIA,1
7,66 BLUE PEARL RETAIL LLC,1
16,70 BATTERY PARK LLC,1
4,ONE NY PLAZA CO. LLC,1
5,4 NYP VENTURES LLC,1
13,"Bowling Green Associates,",1
4,ONE NY PLAZA CO. LLC,1
5,125 Acquisition LLC,1
11,BEAVER STREET COMMONS LLC,1
10,"BROAD STREET PLAZA, LLC",1
7,Fashion Managment Corp.,1
2,10 SOUTH STREET LLC,1
15,BATTERY COMMERCIAL ASSOCI,1
15,NEW 19 WEST LLC,1
10,ONE WHITEHALL L.P.,1
11,15 STONE LLC,1
2,10 South Street LLC,1
16,"BPC ASSOCIATES, L.P.",1
7,66 PEARL STREET HOLDING L,1
11,PREMIER EMERALD LLC,1
13,25 BROADWAY OFFICE PROPER,1
5,4 NYP VENTURES LLC,1
15,WEST EDEN LLC,1
16,BPC 12 ASSOCIATES L.L.C.,1
7,"66 PEARL, LLC",1
11,VERVELIS INC.,1
5,Sullivan & Cromwell LLP,1
5,Sullivan & Cromwell LLP,1
15,Ocean Prime LLC,1
8,New York Plaza Residentia,1
5,125 Acquisition LLC,1
13,"BOWLING GREEN ASSOCIATES,",1
16,"MARINA TOWERS ASSOCIATES,",1
13,"ONE BROADWAY OWNER, LLC",1
10,"BROAD FINANCIAL CENTER, L",1
7,66 Blue Pearl Retail LLC,1
8,AI IV LLC,1
2,"10 SSA LANDLORD, LLC",1
5,Sullivan & Cromwell LLP,1
8,New York Plaza Residentia,1
15,WEST EDEN LLC,1
15,OCEAN PRIME LLC,1
7,66 BLUE PEARL RETAIL LLC,1
8,New York Plaza Residentia,1
16,"MARINA TOWERS ASSOCIATES,",1
5,SULLIVAN & CROMWELL LLP,1
8,NEW YORK PLAZA RESIDENTIA,1
16,WFP TOWER B CO. L.P.,1
7,MAYIM MANAGEMENT LLC,1
16,BANK OF AMERICA,1
15,Safon Owner LLC,1
7,"66 PEARL, LLC",1
16,CREP RIVER TERRACE HOLDIN,1
11,"Winta Asset Management, L",1
16,"MARINA TOWERS ASSOCIATES,",1
15,BATTERY COMMERCIAL ASSOCI,1
10,"BROAD STREET PLAZA, LLC",1
8,NEW YORK PLAZA RESIDENTIA,1
9,"ONE STATE STREET, LLC",1
11,74 Broad Owners LP,1
9,The State - Whitehall Com,1
5,SULLIVAN & CROMWELL LLP,1
13,"BOWLING GREEN ASSOCIATES,",1
5,SULLIVAN & CROMWELL LLP,1
13,"ONE BROADWAY OWNER, LLC",1
7,66 PEARL STREET HOLDING L,1
11,70 BROAD LLC,1
5,125 Acquisition LLC,1
16,WFP Tower B Co. L.P.,1
11,BSD 80 BROAD LLC,1
7,Mayim Management LLC,1
15,OCEAN PRIME LLC,1
16,WFP Tower D Co. L.P.,1
11,15 STONE LLC,1
5,125 ACQUISITION LLC,1
10,ONE WHITEHALL L.P.,1
8,NEW YORK PLAZA RESIDENTIA,1
7,PH Water Street LLC,1
16,"BPC ASSOCIATES, L.P.",1
7,MAYIM MANAGEMENT LLC,1
7,66 BLUE PEARL RETAIL LLC,1
5,Sullivan & Cromwell LLP,1
10,"Broad Financial Center, L",1
16,22 RIVER TERRACE L.L.C.,1
5,SULLIVAN & CROMWELL LLP,1
