lot_number
1001
1002
39
14
29
23
16
1001
15
1007
1003
1001
1003
11
1
1002
10
21
16
1002
190
28
100
1003
14
1002
28
1101
20
1001
120
125
1007
1007
10
125
1002
14
23
14
29
17
1003
1101
100
1101
1003
1003
140
23
1001
1002
5
23
27
140
23
1003
14
1002
1002
11
15
20
1003
21
1002
2
100
1007
23
1001
22
28
180
28
29
21
150
10
17
1
51
21
1001
16
5
32
15
1001
1001
20
1001
10
5
1001
1001
10
16
31
2
1002
1101
23
1001
2
200
1001
29
27
10
22
20
1002
11
1007
1002
1001
1001
1001
5
100
1
14
1001
51
2
1007
1002
22
1001
1001
1001
100
1002
1001
125
28
125
1003
1002
190
15
100
1002
16
1002
1
17
29
1002
5
1002
1
1002
15
1003
125
21
28
1001
150
1001
1001
23
1002
27
200
28
1001
1007
14
190
1002
15
23
1001
150
1003
1001
22
15
1002
1002
150
125
1003
1003
17
16
10
21
27
1101
1003
20
120
120
1001
1002
