attorney_identifier
6.0
135.0
400.0
2.0
400.0
376.0
15.0
135.0
15.0
6.0
135.0
18.0
15.0
246.0
504.0
15.0
504.0
135.0
15.0
514.0
135.0
321.0
135.0
6.0
18.0
135.0
321.0
18.0
18.0
6.0
6.0
15.0
6.0
6.0
504.0
15.0
135.0
2.0
18.0
385.0
400.0
14.0
15.0
18.0
135.0
18.0
6.0
6.0
135.0
18.0
6.0
135.0
518.0
376.0
375.0
135.0
376.0
135.0
2.0
6.0
135.0
246.0
400.0
5.0
135.0
135.0
15.0
246.0
135.0
6.0
376.0
15.0
491.0
321.0
491.0
321.0
400.0
135.0
15.0
504.0
14.0
375.0
491.0
135.0
135.0
15.0
518.0
230.0
15.0
135.0
18.0
18.0
15.0
504.0
14.0
15.0
6.0
115.0
15.0
14.0
246.0
135.0
18.0
376.0
18.0
135.0
135.0
14.0
400.0
375.0
504.0
491.0
18.0
514.0
246.0
6.0
6.0
135.0
135.0
6.0
518.0
135.0
246.0
18.0
18.0
491.0
135.0
6.0
135.0
491.0
15.0
18.0
135.0
135.0
6.0
135.0
15.0
321.0
387.0
135.0
514.0
321.0
18.0
135.0
15.0
15.0
135.0
375.0
14.0
135.0
6.0
518.0
6.0
246.0
14.0
18.0
6.0
15.0
135.0
321.0
15.0
15.0
18.0
6.0
376.0
135.0
5.0
135.0
321.0
18.0
6.0
18.0
135.0
6.0
18.0
376.0
18.0
15.0
6.0
135.0
491.0
18.0
514.0
6.0
15.0
387.0
6.0
15.0
395.0
15.0
135.0
135.0
18.0
18.0
15.0
18.0
6.0
6.0
15.0
14.0
