condominium_high_lot_number,notice_of_issuance_code,petition_year
0,0,2018
0,10,2017
0,0,2020
0,0,2020
0,0,2021
0,0,2020
0,0,2018
0,500,2016
0,0,2021
1007,10,2017
1003,510,2005
1002,500,2016
0,0,2018
0,0,2021
0,0,2019
0,0,2019
0,0,2020
0,10,2019
0,0,2021
0,0,2019
0,510,2005
0,0,2017
0,510,2016
0,0,2021
0,10,2021
0,10,2021
0,0,2021
1102,0,2020
0,0,2019
0,0,2017
0,0,2018
0,0,2017
1007,10,2018
0,510,2016
0,0,2019
0,0,2018
0,0,2020
0,0,2021
0,0,2020
0,0,2018
0,0,2022
0,0,2020
0,0,2019
1101,0,2017
0,510,2012
1102,0,2018
0,0,2020
0,0,2019
0,0,2021
0,0,2021
0,0,2020
0,0,2022
0,0,2022
0,0,2018
0,0,2021
0,0,2022
0,0,2019
0,500,2016
0,0,2022
1002,0,2022
0,10,2018
0,0,2022
0,0,2021
0,0,2021
0,10,2021
0,0,2018
0,0,2018
0,0,2022
0,0,2019
1026,10,2019
0,510,2010
1052,0,2022
0,0,2019
0,0,2018
0,0,2022
0,0,2020
0,500,2016
0,10,2020
0,500,2016
0,0,2018
0,0,2022
0,0,2022
0,0,2018
0,0,2021
0,0,2022
0,0,2020
0,0,2020
0,0,2022
0,0,2022
0,0,2017
1001,0,2018
0,0,2018
1052,0,2018
0,0,2021
0,0,2021
1052,0,2017
0,0,2022
0,0,2018
0,500,2016
0,0,2020
0,0,2021
0,10,2022
1101,500,2016
0,0,2017
1002,0,2018
0,0,2020
0,0,2019
1001,500,2016
0,0,2019
0,0,2022
0,0,2022
0,0,2020
0,510,2012
0,0,2020
0,0,2020
1026,0,2022
1002,0,2020
0,0,2022
0,0,2021
0,0,2021
0,0,2019
0,0,2018
0,0,2022
0,10,2022
1001,0,2020
0,0,2017
0,500,2016
1026,0,2021
0,0,2021
0,0,2021
0,0,2018
1001,0,2019
0,0,2020
0,0,2017
1002,10,2018
0,0,2018
0,500,2016
0,500,2016
0,10,2010
0,0,2022
0,0,2021
0,500,2016
0,0,2021
0,0,2020
0,0,2020
0,0,2019
0,510,2016
0,0,2021
0,0,2021
0,0,2022
1002,10,2017
0,0,2018
1007,510,2016
0,0,2020
1002,0,2017
0,500,2016
0,0,2022
0,0,2022
0,0,2017
0,0,2022
0,500,2016
0,0,2022
1002,0,2019
0,0,2019
0,510,2016
0,10,2019
0,0,2021
0,0,2017
0,0,2019
1001,0,2017
1026,0,2020
0,0,2020
0,510,2010
1002,10,2019
0,10,2020
0,510,2012
1002,0,2017
0,0,2018
0,0,2018
0,0,2019
0,0,2022
0,10,2019
0,0,2022
1002,0,2021
0,0,2017
0,510,2012
0,0,2017
0,0,2020
0,0,2016
0,0,2017
0,0,2022
0,500,2016
0,510,2005
1102,0,2019
0,0,2017
0,510,2010
0,0,2017
0,500,2016
0,0,2017
1002,500,2016
