year,multidrug_resistance_cases,sputum_smear_positive_cases
1910,,
1900,,
1994,183.0,1280.0
1998,38.0,611.0
2015,5.0,240.0
2006,23.0,354.0
2005,24.0,378.0
2021,9.0,239.0
2010,11.0,265.0
1997,57.0,708.0
2000,24.0,516.0
1950,,
2002,29.0,436.0
1999,31.0,571.0
2014,10.0,243.0
1975,,
2013,7.0,258.0
2017,15.0,261.0
2020,6.0,212.0
1972,,
1979,,
1971,,
2004,19.0,395.0
2019,12.0,254.0
1993,287.0,1529.0
2016,11.0,225.0
2003,22.0,428.0
1989,,
1984,,
2012,19.0,271.0
1987,,
1930,,
1940,,
1983,,
1988,,
2022,8.0,241.0
1920,,
1985,,
2008,11.0,339.0
1990,,
2007,9.0,379.0
1992,437.0,1855.0
1980,,
1960,,
1970,,
1974,,
1982,,
1981,,
1996,84.0,873.0
1978,,
1986,,
1995,114.0,1001.0
1977,,
1991,385.0,1826.0
2011,16.0,264.0
1973,,
2009,9.0,281.0
2018,13.0,230.0
2001,24.0,454.0
1976,,
