number_of_tb_cases,rate_per_100_000,culture_positive_cases,sputum_smear_positive_rate
1036,12.9,793.0,4.9
3653,49.9,3462.0,24.9
2022,25.6,,
705,8.6,511.0,3.2
2535,35.8,2404.0,
1071,13.4,819.0,5.4
2941,40.2,2433.0,17.5
2197,31.1,2156.0,
2151,27.2,,
445,5.3,366.0,2.5
1530,19.4,,
534,6.1,459.0,2.7
1514,21.4,,
2013,27.5,1693.0,11.9
1307,16.6,,
757,9.5,539.0,3.5
1582,22.4,,
608,7.4,504.0,3.2
7717,97.8,,
1583,22.4,,
650,8.0,473.0,3.2
947,11.8,705.0,4.4
1573,22.2,1485.0,
1811,25.6,1756.0,
575,7.0,444.0,2.9
2572,32.6,,
886,11.1,685.0,4.2
983,12.3,745.0,4.7
684,8.4,501.0,3.2
1705,23.3,1383.0,9.7
559,6.8,461.0,3.1
1311,16.4,1043.0,6.4
11997,349.0,,
909,11.4,707.0,4.7
2408,32.9,1996.0,13.7
1132,14.1,865.0,5.3
1603,22.7,,
1436,19.6,1124.0,7.8
1232,15.4,938.0,5.7
2275,28.8,,
3506,47.9,3384.0,
32065,672.7,,
2281,32.3,2205.0,
2590,32.8,,
2101,26.6,,
3151,43.0,2784.0,20.9
553,6.8,421.0,2.8
9005,120.8,,
556,6.8,447.0,2.8
1528,20.9,1232.0,8.3
11821,170.6,,
582,7.1,454.0,3.0
2151,27.2,,
3755,51.3,3401.0,25.3
14035,249.7,,
2166,30.6,2129.0,
529,6.2,441.0,2.8
4699,60.4,,
1605,20.3,,
652,8.0,495.0,3.3
