year,number_of_tb_cases
1930,11821
1996,2013
2011,684
1990,3506
2001,1232
2013,650
1979,1530
1960,4699
2003,1132
2012,652
2018,553
1920,14035
1994,2941
1976,2151
1997,1705
2021,529
1940,9005
1999,1436
1975,2151
1985,1811
1972,2275
1983,1603
2019,559
1974,2022
1984,1573
1993,3151
2016,556
1910,32065
2017,608
1987,2166
2009,757
2004,1036
1950,7717
1998,1528
2015,575
2007,909
1981,1582
2002,1071
2008,886
1978,1307
1988,2281
1991,3653
1971,2572
2000,1311
2010,705
1973,2101
1977,1605
1989,2535
1995,2408
1900,11997
2022,534
1982,1583
2006,947
1992,3755
2020,445
2005,983
1970,2590
1986,2197
1980,1514
2014,582
