critical,targetmmr,acceptedvalue,geo,description,reporting_period,frequency
No,,,No,,School Year,
No,,647.0,No,,Fiscal Year,
Yes,,,No,"The number of newly hired people who identified themselves as Black divided by the sum of all new hires in the mayoral agencies during the reporting period, represented as a percentage. The mayoral agencies included are the Offices of the Mayor, ACS, BIC, BSA, CCHR, CCRB, COIB, DCP, DCAS, DCLA, DCWP, DDC, DEP, DFTA, DOB, DOC, DOF, DOHMH, DOI, DOP, DORIS, DOT, DPR, DSNY, DVS, DYCD, FDNY, FISA, HPD, HRA, LAW, LPC, MOCS, NYCEM, NYCOA, NYCTC, NYPD, OATA, OATH, OLR, OMB, OPA, OTI, SBS, and TLC. Does not include DOE or public authorities and corporations.",Fiscal Year,PMMR/MMR
No,,,Yes,,Fiscal Year,
No,,45.0,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,19.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,8.2,0.7,No,,Fiscal Year,
No,,19.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,13.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,"The number of fires occurring outside of buildings, such as car, rubbish and brush fires.",Fiscal Year,Monthly
No,,14.0,Yes,,Fiscal Year,
No,,12.0,Yes,,Fiscal Year,
No,,,No,"Ratio of participants of construction capacity-building (CCB) programs during the reporting period that are Minority-owned to the total number of participants during the reporting period. CCB programs include, but are not limited to, ConstructNYC and Waterfront Pathways. Participants include firms that have completed a CCB cohort during the reporting period and firms that completed a cohort previously who have re-certified their prequalification during the reporting period.",Fiscal Year,Annually
No,,,No,,Fiscal Year,
No,,,Yes,The total number of asbestos complaints received during the reporting period.,Fiscal Year,Annually
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,5.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,19.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,15.0,Yes,,Fiscal Year,
No,,,Yes,"The number of deaths from unintentional drug overdose. Deaths due to use of, or accidental poisoning by, psychoactive substances include deaths with an underlying or multiple cause code for the following listed on death certificates: X40, X41, X42, X43, F111, F141, F191, or F199. Homicides, suicides, and undetermined deaths were excluded. Data is by calendar year. The MMR reports data from the previous calendar year (i.e. FY23 = CY22) and represents provisional data from January to December.",Calendar Year,Annually
No,,720.0,No,,Fiscal Year,
No,,,Yes,The total number of air quality complaints received during the reporting period.,Fiscal Year,Annually
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,No,The number of electric bicyclist operators killed as a result of traffic crashes during the reporting period. Subset of motorized two-wheeler category.,Fiscal Year,PMMR/MMR
No,,32.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,13.0,Yes,,Fiscal Year,
No,,360.0,No,,Fiscal Year,
No,,18.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,"Number of rapes involving family members who are either related by blood, related by marriage (in-laws), married, have children in common, formerly married to one another (separated or divorced), or live in a family-type arrangement, as well as people who are not related by blood or marriage and who are or have been in an intimate relationship, regardless of whether such persons have lived together at any time.",Fiscal Year,PMMR/MMR
No,,21.0,Yes,,Fiscal Year,
No,,355.3,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,1169.0,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,24.0,Yes,,Fiscal Year,
No,,14.0,Yes,,Fiscal Year,
No,,,Yes,Number of incidents of grand larceny auto corresponding to New York State Penal Law.,Fiscal Year,Monthly
No,,15.0,Yes,,Fiscal Year,
Yes,25040.0,,No,,Fiscal Year,
No,,,Yes,"The average dispatch and travel time for response to critical crimes in progress (such as shots fired, robbery, assault with a weapon). Response time is measured from the time the NYPD dispatcher receives the assignment to the time the officers arrive on the scene.",Fiscal Year,PMMR/MMR
No,,,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,15.0,Yes,,Fiscal Year,
No,,,No,,School Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,18000.0,,No,,Fiscal Year,
No,23800.0,,No,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,17.0,Yes,,Fiscal Year,
No,,7.0,Yes,,Fiscal Year,
No,,1968.0,No,"The number of summonses issued during the reporting period for parking and health code violations including summonses returnable to the Parking Violations Bureau, the Environmental Control Board, Criminal Court, and Traffic Court.",Fiscal Year,Monthly
Yes,7.0,,No,"The number of new schools constructed as part of the City’s elementary, intermediate and high schools. SCA measures new schools from October to September to capture projects completed for the start of the school year.",Fiscal Year,Annually
No,,96.0,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,"As of the end of the reporting period, the total number of persons enrolled inMedicaid administered by HRA who also receive cash assistance or SSI, and Medicaid without cash assistance (Medicaid-only) administered by HRA. A person can apply for Medicaid administered by HRA if he or she is over 65 years of age or older, need Medicaid because of a disability or blindness, get Medicare and are not a parent or caretaker of minor children or are a former foster case young adult under 26 years of age.",Fiscal Year,Annually
No,,15.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
Yes,80.0,85.0,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,Average curbside household refuse tons collected by each truck working an eight-hour shift.,Fiscal Year,Monthly
No,,,Yes,,Fiscal Year,
No,,,No,,School Year,
No,,,Yes,,Fiscal Year,
No,,873.0,No,,Fiscal Year,
No,,47.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,No,The average number of foster care students provided yellow school bus service.,School Year,Annually
No,,,Yes,Number of incidents of felony assault corresponding to New York State Penal Law.,Fiscal Year,Monthly
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,50.0,,No,The unduplicated number of young adults who resided at DYCD-funded sites contracted to provide Transitional Independent Living (TIL) Support Programs,Fiscal Year,Quarterly
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,1356.0,No,,Fiscal Year,
No,,7.0,Yes,,Fiscal Year,
No,0.0,,No,The total number of Early Head Start Infant/Toddler vacant seats in given school year as of June 30th.,School Year,PMMR/MMR
No,,26.0,Yes,,Fiscal Year,
No,50.0,,No,"The number of bicycle lane miles (Class I protected paths, II on-street lanes, and III shared lanes) installed during the reporting period.",Fiscal Year,PMMR/MMR
No,,,Yes,,Fiscal Year,
Yes,31300.0,29039.0,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,"The number of mediated complaints that have been closed based on the date the mediator enters an outcome. Mediations can be closed in several ways – agreement between the consumer and vendor is reached, a referral to DCWP’s General Counsel Division (GCD), referrals to other City agencies, and referrals to external entities such as New York State agencies.",Fiscal Year,Annually
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,17.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,26.0,Yes,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,146.0,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,16.0,Yes,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,No,,Calendar Year,
No,,,Yes,,Fiscal Year,
No,,24.0,Yes,,Fiscal Year,
No,,,Yes,"The number of deaths from unintentional drug overdose. Deaths due to use of, or accidental poisoning by, psychoactive substances include deaths with an underlying or multiple cause code for the following listed on death certificates: X40, X41, X42, X43, F111, F141, F191, or F199. Homicides, suicides, and undetermined deaths were excluded. Data is by calendar year. The MMR reports data from the previous calendar year (i.e. FY23 = CY22) and represents provisional data from January to December.",Calendar Year,Annually
No,,,Yes,,Fiscal Year,
No,,5.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,14.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
Yes,,,No,,Fiscal Year,
Yes,,,No,,School Year,
Yes,,,No,"The total number of pedestrian, traditional bicyclist, electric bicyclist, and motor vehicle occupant deaths resulting from traffic crashes. Data reflects crash-related fatalities during the reporting period. Data is typically collected 30 days after the close of the reporting period.",Fiscal Year,PMMR/MMR
No,,,Yes,,Fiscal Year,
No,7000.0,,No,The total number of in-house work orders completed by the DCAS Trade Shops during the reporting period.,Fiscal Year,PMMR/MMR
No,,,No,"Total number of employees of businesses participating in a construction capacity-building (CCB) program cohorts during the reporting period. CCB programs include, but are not limited to, ConstructNYC and Waterfront Pathways.",Fiscal Year,Annually
No,,,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,8.0,Yes,,Fiscal Year,
No,,25.0,Yes,,Fiscal Year,
No,,,Yes,Number of incidents of murder and non-negligent manslaughter corresponding to New York State Penal Law.,Fiscal Year,Monthly
Yes,23.5,,No,,School Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,14.0,Yes,,Fiscal Year,
No,4.0,1.0,No,,Fiscal Year,
No,,26.0,Yes,,Fiscal Year,
No,,19.0,Yes,,Fiscal Year,
No,,8.0,Yes,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,4.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,"As of the end of the reporting period, the number of eligible persons receiving federally supported Supplemental Nutrition Assistance Program Benefits, including both cash assistance recipients and non-PA recipients. The calculation includes persons who receive SNAP benefits at residential treatment centers and recipients of Supplemental Security Income (SSI) who receive SNAP benefits.",Fiscal Year,Annually
No,,29.0,Yes,,Fiscal Year,
No,,,Yes,"The number of deaths from unintentional drug overdose. Deaths due to use of, or accidental poisoning by, psychoactive substances include deaths with an underlying or multiple cause code for the following listed on death certificates: X40, X41, X42, X43, F111, F141, F191, or F199. Homicides, suicides, and undetermined deaths were excluded. Data is by calendar year. The MMR reports data from the previous calendar year (i.e. FY23 = CY22) and represents provisional data from January to December.",Calendar Year,Annually
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,12.0,Yes,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,14.0,Yes,,Fiscal Year,
No,,,Yes,"The percent of small parks (six acres or less) and playgrounds with acceptable cleanliness based on the acceptability of litter, broken glass, graffiti, and weeds or ice (depending on the season) at a site.  A park will fail for cleanliness if two of the four cleanliness features are  unacceptable or if conditions for one feature are egregious based on the Parks Inspection Program’s standards.",Fiscal Year,Annually
No,,12.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,50405.0,No,,School Year,
No,,,Yes,"As of the end of the reporting period, the number of eligible persons receiving federally supported Supplemental Nutrition Assistance Program Benefits, including both cash assistance recipients and non-PA recipients. The calculation includes persons who receive SNAP benefits at residential treatment centers and recipients of Supplemental Security Income (SSI) who receive SNAP benefits.",Fiscal Year,Annually
Yes,,1110.0,No,The number of work permit applications received for review by LPC’s Preservation Department.,Fiscal Year,Monthly
No,,16.0,Yes,,Fiscal Year,
No,,19.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,19040.0,,No,,Fiscal Year,
No,,19.0,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,85.0,68.9,No,,Fiscal Year,
No,,,No,,Fiscal Year,
No,,,Yes,,Fiscal Year,
No,,,Yes,,Fiscal Year,
