agency_name,geotype,id,createdon,multiplication_factor,acceptedvalueytd,source
New York City School Construction Authority,,3928,2007-08-14T14:43:00.000,1,,
Department of Consumer and Worker Protection,,14922,2023-01-19T11:28:00.000,1,4393.0,
Department of Citywide Administrative Services,,10259,2013-01-09T16:35:00.000,1,,DCAS Citywide Equity & Inclusion and DCAS Human Capital
Department of Sanitation,CB,8110,2009-08-13T11:12:00.000,1,,
Fire Department of New York,,10281,2013-01-16T17:08:00.000,1,47.0,
Administration for Children's Services,CB,7855,2009-08-13T11:04:00.000,1,,
Administration for Children's Services,CB,7884,2009-08-13T11:04:00.000,1,,
Administration for Children's Services,CB,7835,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,8090,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,1526,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,1559,2007-04-10T17:02:00.000,1,17.0,
Department of Sanitation,CB,8115,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,8071,2009-08-13T11:12:00.000,1,21.6,
Department of Design and Construction,,2081,2007-04-26T18:00:00.000,1,8.4,
Department of Sanitation,CB,1493,2007-04-10T17:02:00.000,1,19.0,
Administration for Children's Services,CB,7828,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,7066,2007-04-10T17:02:00.000,1,,
Administration for Children's Services,CB,7873,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,1470,2007-04-10T17:02:00.000,1,13.0,
Department of Sanitation,CB,8095,2009-08-13T11:12:00.000,1,,
Administration for Children's Services,CB,7836,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,7060,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,8084,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,8066,2009-08-13T11:12:00.000,1,41.8,
Department of Sanitation,CB,8094,2009-08-13T11:12:00.000,1,,
Fire Department of New York,CB,7377,2007-05-22T17:08:00.000,1,,Fire Computer Aided Dispatch (CAD) System
Department of Sanitation,CB,1549,2007-04-10T17:02:00.000,1,13.0,
Department of Sanitation,CB,1538,2007-04-10T17:02:00.000,1,12.0,
Economic Development Corporation,,15862,2025-07-30T12:58:00.000,1,,M/W/DBE
New York City Police Department,,10204,2012-12-27T11:10:00.000,1,,
Department of Environmental Protection,CB,7011,2007-03-28T19:32:00.000,1,,Bureau of Environmental Compliance
Administration for Children's Services,CB,7837,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,8106,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,1548,2007-04-10T17:02:00.000,1,5.0,
Department of Sanitation,CB,1465,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,8066,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,7069,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,1475,2007-04-10T17:02:00.000,1,15.0,
Administration for Children's Services,CB,7843,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,1476,2007-04-10T17:02:00.000,1,15.0,
Department of Health and Mental Hygiene,CB,5210,2007-07-25T20:07:00.000,1,,Bureau of Vital Statistics; Office of the Chief Medical Examiner
Office of Technology and Innovation,,9015,2010-07-30T14:30:00.000,1,720.0,
Department of Environmental Protection,CB,6961,2007-03-28T19:32:00.000,1,,Bureau of Environmental Compliance
Department of Sanitation,CB,7107,2007-04-10T17:02:00.000,1,,
Administration for Children's Services,CB,7852,2009-08-13T11:04:00.000,1,,
Department of Consumer and Worker Protection,,14923,2023-01-19T11:31:00.000,1,,
Vision Zero,,15710,2024-08-23T11:15:00.000,1,,DOT
Department of Sanitation,CB,1502,2007-04-10T17:02:00.000,1,33.0,
Department of Sanitation,CB,8064,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,1532,2007-04-10T17:02:00.000,1,15.0,
Office of Technology and Innovation,,9000,2010-07-30T14:23:00.000,1,360.0,
Department of Sanitation,CB,1559,2007-04-10T17:02:00.000,1,17.0,
Department of Sanitation,CB,8082,2009-08-13T11:12:00.000,1,,
New York City Police Department,PP,9761,2007-09-04T18:41:00.000,1,,NYPD Office of Management Analysis and Planning / Domestic Violence Unit
Department of Sanitation,CB,1499,2007-04-10T17:02:00.000,1,21.0,
Human Resources Administration,,10683,2015-01-08T10:48:00.000,1,355.3,
Department of Sanitation,CB,8119,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,8107,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,8083,2009-08-13T11:12:00.000,1,,
Economic Development Corporation,,15114,2023-08-09T12:11:00.000,1,,
Administration for Children's Services,CB,7870,2009-08-13T11:04:00.000,1,129.0,
Department of Sanitation,CB,7069,2007-04-10T17:02:00.000,1,,
Department of Citywide Administrative Services,,10859,2016-06-16T16:03:00.000,1,1169.0,
Administration for Children's Services,CB,7875,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,1472,2007-04-10T17:02:00.000,1,25.0,
Department of Sanitation,CB,1496,2007-04-10T17:02:00.000,1,15.0,
New York City Police Department,PP,4992,2008-03-03T17:26:00.000,1,,NYPD Office of Management Analysis and Planning
Department of Sanitation,CB,1498,2007-04-10T17:02:00.000,1,15.0,
Department of Education,,10357,2013-05-28T16:56:00.000,1,,
New York City Police Department,PP,6808,2007-09-04T18:41:00.000,1,,Office of Technology and Innovation
Department of Education,,10364,2013-05-28T17:07:00.000,1,,
Department of Sanitation,CB,7116,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,1511,2007-04-10T17:02:00.000,1,16.0,
Department of Education,,4382,2008-01-28T13:02:00.000,1,,
Administration for Children's Services,CB,7872,2009-08-13T11:04:00.000,1,,
Administration for Children's Services,CB,7853,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,8075,2009-08-13T11:12:00.000,1,,
Housing Preservation and Development,,10613,2014-06-19T16:07:00.000,1,,
Department of Education,,10358,2013-05-28T16:58:00.000,1,,
Taxi and Limousine Commission,,10630,2014-07-22T16:57:00.000,1,,
Administration for Children's Services,CB,7832,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,1545,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,1490,2007-04-10T17:02:00.000,1,19.0,
Department of Sanitation,CB,1453,2007-04-10T17:02:00.000,1,7.0,
Department of Parks and Recreation,,1769,2007-04-11T18:32:00.000,1,1968.0,Urban Park Service/Parks Enforcement Patrol
New York City School Construction Authority,,15028,2023-07-19T16:02:00.000,1,,SCA Finance Department
Department for the Aging,,8932,2010-07-30T12:46:00.000,1,98.0,
Department of Sanitation,CB,7088,2007-04-10T17:02:00.000,1,,
Administration for Children's Services,CB,7837,2009-08-13T11:04:00.000,1,534.0,
Human Resources Administration,CB,7692,2007-09-28T17:32:00.000,1000,,WMS report WINR0521 and HealthStat Report
Department of Sanitation,CB,1538,2007-04-10T17:02:00.000,1,14.0,
Department of Sanitation,CB,7092,2007-04-10T17:02:00.000,1,,
Administration for Children's Services,CB,7885,2009-08-13T11:04:00.000,1,,
New York City School Construction Authority,,3933,2007-08-14T14:43:00.000,1,85.0,
Department of Sanitation,CB,8101,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,1205,2007-04-10T17:02:00.000,1,,Operations Management Division
Administration for Children's Services,CB,7859,2009-08-13T11:04:00.000,1,,
Department of Education,,10810,2015-12-09T17:11:00.000,1,,
Department of Sanitation,CB,7118,2007-04-10T17:02:00.000,1,,
Department of Consumer and Worker Protection,,14920,2023-01-19T11:22:00.000,1,6203.0,
Department of Sanitation,CB,1516,2007-04-10T17:02:00.000,1,51.0,
Department of Sanitation,CB,7110,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,8106,2009-08-13T11:12:00.000,1,,
Department of Education,,15676,2024-08-08T11:46:00.000,1,,Office of Student Transportation
New York City Police Department,PP,4737,2008-03-03T17:26:00.000,1,,NYPD Office of Management Analysis and Planning
Administration for Children's Services,CB,7846,2009-08-13T11:04:00.000,1,,
Administration for Children's Services,CB,7842,2009-08-13T11:04:00.000,1,,
Deparment of Youth and Community Development,,13586,2022-08-01T09:47:00.000,1,,DYCD Runaway and Homeless Youth Services
Department of Sanitation,CB,7082,2007-04-10T17:02:00.000,1,,
Administration for Children's Services,CB,7880,2009-08-13T11:04:00.000,1,488.0,
Department of Sanitation,CB,8105,2009-08-13T11:12:00.000,1,50.5,
Department of Consumer and Worker Protection,,14920,2023-01-19T11:22:00.000,1,,
Department of Probation,,15092,2023-08-08T16:17:00.000,1,,
Department of Sanitation,CB,7116,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,8081,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,7060,2007-04-10T17:02:00.000,1,,
Administration for Children's Services,CB,7879,2009-08-13T11:04:00.000,1,,
Deparment of Youth and Community Development,,2813,2007-05-22T18:21:00.000,1,1356.0,
Department of Sanitation,CB,1453,2007-04-10T17:02:00.000,1,7.0,
Department of Education,,15743,2024-08-27T16:45:00.000,1,,Division of Early Childhood Education
