desireddirection,agency
None,SCA
None,DCWP
None,DCAS
Up,DSNY
Up,FDNY
None,ACS
None,ACS
None,ACS
Up,DSNY
Up,DSNY
Up,DSNY
Up,DSNY
Up,DSNY
None,DDC
Up,DSNY
None,ACS
Down,DSNY
None,ACS
Up,DSNY
Up,DSNY
None,ACS
Down,DSNY
Up,DSNY
Up,DSNY
Up,DSNY
Down,FDNY
Up,DSNY
Up,DSNY
None,EDC
None,NYPD
None,DEP
None,ACS
Up,DSNY
Up,DSNY
Up,DSNY
Up,DSNY
Down,DSNY
Up,DSNY
None,ACS
Up,DSNY
Down,DOHMH
None,OTI
None,DEP
Down,DSNY
None,ACS
None,DCWP
Down,VZ
Up,DSNY
Up,DSNY
Up,DSNY
None,OTI
Up,DSNY
Up,DSNY
Down,NYPD
Up,DSNY
None,HRA
Up,DSNY
Up,DSNY
Up,DSNY
Up,EDC
None,ACS
Down,DSNY
Up,DCAS
None,ACS
Up,DSNY
Up,DSNY
Down,NYPD
Up,DSNY
Up,DOE
Down,NYPD
None,DOE
Down,DSNY
Up,DSNY
None,DOE
None,ACS
None,ACS
Up,DSNY
None,HPD
Up,DOE
Up,TLC
None,ACS
Up,DSNY
Up,DSNY
Up,DSNY
None,DPR
None,SCA
None,DFTA
Down,DSNY
None,ACS
None,HRA
Up,DSNY
Down,DSNY
None,ACS
Up,SCA
Up,DSNY
None,DSNY
None,ACS
None,DOE
Down,DSNY
None,DCWP
Up,DSNY
Down,DSNY
Up,DSNY
None,DOE
Down,NYPD
None,ACS
None,ACS
Up,DYCD
Down,DSNY
None,ACS
Up,DSNY
None,DCWP
None,DOP
Down,DSNY
Up,DSNY
Down,DSNY
None,ACS
None,DYCD
Up,DSNY
Up,DOE
Up,DSNY
Up,NNY
Down,DSNY
Up,DOE
Down,DSNY
Up,CCHR
None,DOC
Down,DSNY
None,DCWP
Up,DSNY
Up,DSNY
Up,DSNY
Up,DSNY
Up,DSNY
Up,CARE
Down,DPR
Up,DSNY
None,DYCD
Up,DSNY
None,OTI
Up,DCWP
Up,DSNY
Up,DSNY
Down,DOHMH
Up,DSNY
Up,DSNY
None,ACS
Up,DSNY
Up,DSNY
Up,NYCHH
Down,DOE
Down,DOT
None,ACS
Up,DCAS
None,EDC
Up,CARE
Up,DSNY
Up,DSNY
Up,DSNY
Down,NYPD
Up,DOE
Down,DSNY
None,ACS
None,ACS
None,ACS
Up,DSNY
None,DDC
Up,DSNY
Up,DSNY
Up,DSNY
Up,CARE
Up,DSNY
Up,DSNY
None,HRA
Up,DSNY
Down,DOHMH
Down,DSNY
Up,DSNY
Up,DSNY
None,DSNY
Down,DSNY
Down,DSNY
Up,DSNY
Up,DPR
Up,DSNY
Down,DSNY
None,DOE
None,HRA
None,LPC
Up,DSNY
Up,DSNY
Up,DSNY
Up,CARE
Up,DSNY
None,ACS
None,ACS
Up,DOE
None,DCWP
None,ACS
Up,DSNY
