fiscalyear,indicator,parentid,targetmmr2
2020,(Retired) Average new school construction cost per square foot – Early childhood ($),3928,
2023,(Retired) Sites issued summonses – Tobacco program inspection summonses,14922,
2026,New hires — Black (%),10259,
2019,(Retired) Curbside and Containerized Recycled Tons Per Day - Queens 6,6640,
2019,(Retired) Witnessed cardiac arrest patients revived (%),10281,
2020,(Retired) Substantiated Child Abuse and/or Neglected Reports - Brooklyn 5,6635,
2022,(Retired) Substantiated Child Abuse and/or Neglected Reports - Staten Island 2,6635,
2017,(Retired) Substantiated Child Abuse and/or Neglected Reports - Manhattan 9,6635,
2024,(Retired) Curbside and Containerized Recycled Tons Per Day - Brooklyn 4,6640,
2024,(Retired) Curbside and containerized mixed paper recycled tons per day - Bronx 06,1508,
2020,(Retired) Curbside and containerized mixed paper recycled tons per day - Queens 02,1508,
2022,(Retired) Curbside and Containerized Recycled Tons Per Day - Queens 11,6640,
2020,(Retired) Curbside and Containerized Recycled Tons Per Day - Manhattan 9,6640,
2017,(Retired) Sewers constructed (miles),2081,4.0
2023,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Queens 03",1448,
2016,(Retired) Substantiated Child Abuse and/or Neglected Reports - Manhattan 2,6635,
2016,(Retired) Tons per day disposed - Manhattan 7,1594,
2018,(Retired) Substantiated Child Abuse and/or Neglected Reports - Queens 5,6635,
2017,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Bronx 10",1448,
2024,(Retired) Curbside and Containerized Recycled Tons Per Day - Brooklyn 9,6640,
2018,(Retired) Substantiated Child Abuse and/or Neglected Reports - Manhattan 10,6635,
2022,(Retired) Tons per day disposed - Manhattan 1,1594,
2022,(Retired) Curbside and Containerized Recycled Tons Per Day - Bronx 10,6640,
2020,(Retired) Curbside and Containerized Recycled Tons Per Day - Manhattan 4,6640,
2018,(Retired) Curbside and Containerized Recycled Tons Per Day - Brooklyn 8,6640,
2026,Nonstructural Fires - Bronx 11,2502,
2019,(Retired) Curbside and containerized mixed paper recycled tons per day -Brooklyn 17,1508,
2020,(Retired) Curbside and containerized mixed paper recycled tons per day - Brooklyn 08,1508,
2021,M/WBE construction capacity building programs cohort participant ethnicity - Black (%),15862,
2019,(Retired)Graffiti summonses,10204,
2026,Asbestos complaints received - Manhattan 11,919,
2023,(Retired) Substantiated Child Abuse and/or Neglected Reports - Manhattan 11,6635,
2022,(Retired) Curbside and Containerized Recycled Tons Per Day - Queens 2,6640,
2017,(Retired) Curbside and containerized mixed paper recycled tons per day - Brooklyn 16,1508,
2025,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Bronx 05",1448,
2021,(Retired) Curbside and Containerized Recycled Tons Per Day - Manhattan 4,6640,
2017,(Retired) Tons per day disposed - Manhattan 10,1594,
2020,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Brooklyn 03",1448,
2025,(Retired) Substantiated Child Abuse and/or Neglected Reports - Bronx 5,6635,
2020,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Brooklyn 04",1448,
2026,Deaths from unintentional drug overdose (CY) - Manhattan 4,3640,
2018,(Retired) SLA - Cable Complaint - Miscellaneous - Expected Time to Action,9015,
2026,Air quality complaints received - Bronx 8,918,
2022,(Retired) Tons per day disposed - Queens 6,1594,
2021,(Retired) Substantiated Child Abuse and/or Neglected Reports - Brooklyn 2,6635,
2017,(Retired) Sites issued summonses – Referred inspection summonses,14923,
2026,Motorized two-wheel vehicle fatalities — Electric bicycle,15710,
2020,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Queens 12",1448,
2022,(Retired) Curbside and Containerized Recycled Tons Per Day - Manhattan 2,6640,
2017,(Retired) Curbside and containerized mixed paper recycled tons per day - Bronx 12,1508,
2019,(Retired) SLA - Cable Complaint - Cable TV Video Service - Expected Time to Action,9000,
2024,(Retired) Curbside and containerized mixed paper recycled tons per day - Queens 02,1508,
2022,(Retired) Curbside and Containerized Recycled Tons Per Day - Bronx 8,6640,
2026,Crime related to domestic violence - Rape * - 46th Precinct,3963,
2020,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Queens 09",1448,
2022,(Retired) Cash Assistance — Persons receiving recurring Assistance (000),10683,
2021,(Retired) Curbside and Containerized Recycled Tons Per Day - Staten Island 1,6640,
2022,(Retired) Curbside and Containerized Recycled Tons Per Day - Queens 3,6640,
2021,(Retired) Curbside and Containerized Recycled Tons Per Day - Bronx 9,6640,
2020,(Retired) Square feet of new building space initiated,15114,
2022,(Retired) Substantiated Child Abuse and/or Neglected Reports - Queens 2,6635,
2020,(Retired) Tons per day disposed - Manhattan 10,1594,
2021,(Retired) Cumulative Energy Efficiency Reports completed,10859,
2023,(Retired) Substantiated Child Abuse and/or Neglected Reports - Queens 7,6635,
2022,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Bronx 12",1448,
2022,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Queens 06",1448,
2026,Grand larceny auto - 50th Precinct,3950,
2019,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Queens 08",1448,
2023,(Retired) Average Extended Day Year and Head Start enrollment,10357,25040.0
2026,Average Response Time to crimes in progress - Critical (minutes) - 5th Precinct,3979,
2019,(Retired) Extended Day Year and Head Start – Fiscal year spending per child based on average enrollment in Contract Family Child Care,10364,
2021,(Retired) Tons per day disposed - Staten Island 1,1594,
2016,(Retired) Curbside and containerized mixed paper recycled tons per day - Manhattan 03,1508,
2017,(Retired) Special education enrollment – Non-Public Schools (Pre-School),4382,
2024,(Retired) Substantiated Child Abuse and/or Neglected Reports - Queens 4,6635,
2022,(Retired) Substantiated Child Abuse and/or Neglected Reports - Brooklyn 3,6635,
2016,(Retired) Curbside and Containerized Recycled Tons Per Day - Bronx 1,6640,
2023,RETIRED DUPLICATE Total affordable housing starts (units),10613,20000.0
2020,(Retired) Extended Day Year and Head Start – Average center-based enrollment,10358,23800.0
2017,(Retired) Active Boro Taxis that are accessible,10630,
2019,(Retired) Substantiated Child Abuse and/or Neglected Reports - Manhattan 6,6635,
2024,(Retired) Curbside and containerized mixed paper recycled tons per day - Brooklyn 13,1508,
2016,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Brooklyn 18",1448,
2021,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Manhattan 05",1448,
2026,Summons issued (PEP) (Grand Total),1769,
2026,New schools constructed,15028,7.0
2019,(Retired) SLA – Elder abuse (% of SRs from meeting time to action),8932,
2023,(Retired) Tons per day disposed - Brooklyn 5,1594,
2019,(Retired) Substantiated Child Abuse and/or Neglected Reports - Manhattan 11,6635,
2026,Public Health Insurance enrollees (000) - Queens 1,4187,
2021,(Retired) Curbside and containerized mixed paper recycled tons per day - Brooklyn 08,1508,
2019,(Retired) Tons per day disposed - Brooklyn 9,1594,
2016,(Retired) Substantiated Child Abuse and/or Neglected Reports - Staten Island 3,6635,
2018,(Retired) Capital improvement projects constructed within budget (%),3933,80.0
2016,(Retired) Curbside and Containerized Recycled Tons Per Day - Brooklyn 15,6640,
2026,Refuse tons per truckshift - Manhattan 11,1194,
2024,(Retired) Substantiated Child Abuse and/or Neglected Reports - Brooklyn 9,6635,
2017,(Retired) Student enrollment as of October 31 in full day pre-kindergarten (000),10810,
2020,(Retired) Tons per day disposed - Staten Island 3,1594,
2023,(Retired) Sites issued summonses – Total,14920,
2020,(Retired) Curbside and containerized mixed paper recycled tons per day - Manhattan 08,1508,
2021,(Retired) Tons per day disposed - Queens 9,1594,
2022,(Retired) Curbside and Containerized Recycled Tons Per Day - Queens 2,6640,
2026,Average number of foster care students provided yellow school bus service,15676,
2026,Felonious assault - 10th Precinct,3947,
2024,(Retired) Substantiated Child Abuse and/or Neglected Reports - Bronx 8,6635,
2019,(Retired) Substantiated Child Abuse and/or Neglected Reports - Bronx 4,6635,
2026,Homeless young adults served – Transitional Independent Living (TIL) Support Programs,13586,50.0
2024,(Retired) Tons per day disposed - Bronx 11,1594,
2021,(Retired) Substantiated Child Abuse and/or Neglected Reports - Queens 12,6635,
2020,(Retired) Curbside and Containerized Recycled Tons Per Day - Queens 1,6640,
2017,(Retired) Sites issued summonses – Total,14920,
2018,(Retired) Youth on adjustment connected to restorative practices,15092,
2022,(Retired) Tons per day disposed - Staten Island 1,1594,
2023,(Retired) Curbside and Containerized Recycled Tons Per Day - Bronx 7,6640,
2017,(Retired) Tons per day disposed - Manhattan 1,1594,
2017,(Retired) Substantiated Child Abuse and/or Neglected Reports - Queens 11,6635,
2016,(Retired) Agency assessments completed for the prior fiscal year,2813,
2022,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Manhattan 05",1448,
2026,Infant/Toddler unfilled seats – Early Head Start,15743,0.0
2020,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Brooklyn 18",1448,
2026,Bicycle lane miles installed,15463,50.0
2023,(Retired) Tons per day disposed - Brooklyn 4,1594,
2019,(Retired) Average Extended Day Year and Head Start enrollment,10357,31300.0
2018,(Retired) Tons per day disposed - Bronx 8,1594,
2023,(Retired) Website downloads,15447,
2022,(Retired) Individual in custody health clinic visits,2404,
2020,(Retired) Tons per day disposed - Manhattan 5,1594,
2026,Mediated complaints resolved - Queens 2,3428,
2023,(Retired) Curbside and Containerized Recycled Tons Per Day - Manhattan 12,6640,
2024,(Retired) Curbside and containerized mixed paper recycled tons per day - Brooklyn 12,1508,
2020,(Retired) Curbside and containerized mixed paper recycled tons per day - Brooklyn 03,1508,
2021,(Retired) Curbside and Containerized Recycled Tons Per Day - Manhattan 6,6640,
2020,(Retired) Curbside and containerized mixed paper recycled tons per day - Brooklyn 12,1508,
2016,Average Extended Day Year and Head Start contract enrollment,15199,
2022,(Retired) Major felonies reported on Parks' properties (excludes Central Park) — Crimes against property,10848,
2021,(Retired) Curbside and Containerized Recycled Tons Per Day - Queens 9,6640,
2022,(Retired) Agency assessments completed for the prior fiscal year,2813,
2018,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Brooklyn 17",1448,
2022,(Retired) SLA - Cable Complaint - Cable TV Video Service - Expected Time to Action,9000,
2019,(Retired) Clients achieving long-term financial goals (%),13687,
2022,(Retired) Curbside and Containerized Recycled Tons Per Day - Bronx 9,6640,
2017,(Retired) Curbside and containerized mixed paper recycled tons per day - Brooklyn 06,1508,
2026,Deaths from unintentional drug overdose (CY) - Brooklyn 16,3640,
2025,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Manhattan 06",1448,
2023,(Retired) Curbside and containerized mixed paper recycled tons per day - Bronx 02,1508,
2016,(Retired) Substantiated Child Abuse and/or Neglected Reports - Brooklyn 4,6635,
2016,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Queens 08",1448,
2025,(Retired) Curbside and Containerized Recycled Tons Per Day - Bronx 7,6640,
2016,(Retired) Patients enrolled in care in the 1st trimester of pregnancy,12322,
2024,(Retired) Average class size – Grade 3,3897,
2026,Total traffic fatalities,2928,
2017,(Retired) Substantiated Child Abuse and/or Neglected Reports - Brooklyn 5,6635,
2026,Completed in-house trade shop work orders,13731,7000.0
2017,"M/WBE construction capacity building programs total award value to cohort participants ($000,000)",15859,
2016,Extended Day Year and Head Start—Average center-based enrollment,15201,
2024,(Retired) Curbside and Containerized Recycled Tons Per Day - Bronx 10,6640,
2016,(Retired) Curbside and containerized mixed paper recycled tons per day - Bronx 05,1508,
2022,(Retired) Curbside and containerized mixed paper recycled tons per day - Manhattan 04,1508,
2026,Murder and non-negligent manslaughter - 34th Precinct,3944,
2024,(Retired) Students with disabilities scoring below standards progressing into a higher level – English Language Arts (%),3853,28.5
2021,(Retired) Tons per day disposed - Manhattan 3,1594,
2019,(Retired) Substantiated Child Abuse and/or Neglected Reports - Brooklyn 5,6635,
2019,(Retired) Substantiated Child Abuse and/or Neglected Reports - Bronx 10,6635,
2018,(Retired) Substantiated Child Abuse and/or Neglected Reports - Bronx 9,6635,
2024,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Manhattan 06",1448,
2016,(Retired) Sewers constructed (miles),2081,8.2
2023,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Staten Island 03",1448,
2018,(Retired) Curbside and containerized mixed paper recycled tons per day - Manhattan 02,1508,
2019,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Bronx 06",1448,
2019,Average Extended Day Year and Head Start contract enrollment,15199,
2016,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Bronx 02",1448,
2019,(Retired) Curbside and Containerized Recycled Tons Per Day - Manhattan 6,6640,
2026,Persons receiving SNAP benefits (000) - Brooklyn 6,4107,
2021,(Retired) Curbside and containerized mixed paper recycled tons per day - Queens 05,1508,
2026,Deaths from unintentional drug overdose (CY) - Queens 7,3640,
