the_geom,rampid,stname1,:@computed_region_f5dn_yrer,ramp_running_slope_total,geocyclora,ponding,ramp_left_flare,ramp_width,dws_conditions,obstacles_ramp,curb_reveal,lnd_length,cornerid,lnd_cross_slope
"{'type': 'Point', 'coordinates': [-73.83361497941952, 40.836620963566745]}",11395,EAST TREMONT AVENUE,43,8.3,2018-05-26T00:00:00.000,No,55.6,58.9,Good Condition,None,1.2,60.0,1018943,-2.6
"{'type': 'Point', 'coordinates': [-73.97956120013767, 40.68672450991439]}",22330,LAFAYETTE AVENUE,68,4.9,2018-04-17T00:00:00.000,No,57.2,60.1,Missing,None,0.9,60.0,1107852,-1.4
"{'type': 'Point', 'coordinates': [-74.09803557748529, 40.59031144343696]}",10275,GARRETSON AVENUE,30,4.8,2018-04-07T00:00:00.000,No,47.8,43.2,Missing,None,0.5,60.0,1151889,6.5
"{'type': 'Point', 'coordinates': [-73.79667094631569, 40.73285826065728]}",27478,173 STREET,25,3.9,2018-09-07T00:00:00.000,Yes,51.5,48.6,Missing,None,0.4,60.0,1067950,0.1
"{'type': 'Point', 'coordinates': [-73.98844121309249, 40.746699531465005]}",7747,WEST 30 STREET,11,999.0,2018-05-01T00:00:00.000,No,35.8,114.6,Good Condition,None,999.0,999.0,1184668,999.0
"{'type': 'Point', 'coordinates': [-74.01003541800405, 40.63490101588262]}",25541,8 AVENUE,2,3.4,2018-04-20T00:00:00.000,Yes,69.1,59.5,Good Condition,None,0.3,60.0,1129095,-0.9
"{'type': 'Point', 'coordinates': [-73.89718748103968, 40.83794631113792]}",340375,CROTONA AVENUE,34,5.5,2019-10-19T00:00:00.000,No,60.0,60.0,Good Condition,None,999.0,48.0,1370422,2.2
"{'type': 'Point', 'coordinates': [-73.98293652929418, 40.610258136265415]}",29734,AVENUE O,1,1.6,2018-05-21T00:00:00.000,No,61.9,48.6,Missing,None,0.6,60.0,1135423,-2.4
"{'type': 'Point', 'coordinates': [-73.88739358770209, 40.821089569213534]}",440,GARRISON AVENUE,8,9.0,2018-03-27T00:00:00.000,No,45.6,63.0,Defective,None,0.6,60.0,1005519,2.1
"{'type': 'Point', 'coordinates': [-74.00532466805923, 40.719845874677475]}",26798,AVENUE OF THE AMERICAS,56,6.0,2018-05-28T00:00:00.000,No,56.6,53.7,Missing,None,0.5,60.0,1171054,-4.0
"{'type': 'Point', 'coordinates': [-73.90272790161471, 40.85666115505845]}",31505,EAST 182 STREET,6,6.7,2018-04-12T00:00:00.000,No,52.6,40.7,Missing,None,0.4,60.0,1170236,-4.3
"{'type': 'Point', 'coordinates': [-73.9883520547057, 40.7467994372694]}",33729,WEST 30 STREET,11,12.8,2018-08-16T00:00:00.000,No,63.6,40.8,Good Condition,None,0.7,60.0,1089295,4.1
"{'type': 'Point', 'coordinates': [-73.89778916689967, 40.821104143160866]}",326,ROGERS PLACE,8,6.1,2018-03-20T00:00:00.000,Yes,43.8,61.0,Good Condition,None,0.5,60.0,1006154,1.1
"{'type': 'Point', 'coordinates': [-73.92877310266833, 40.62804329348513]}",4711,AVENUE J,5,4.1,2018-05-06T00:00:00.000,No,49.3,52.5,Missing,None,0.5,60.0,1123520,1.4
"{'type': 'Point', 'coordinates': [-73.98843102557883, 40.57843322774256]}",29796,NEPTUNE AVENUE,21,6.7,2018-05-26T00:00:00.000,No,59.8,59.5,Good Condition,None,0.5,60.0,1134048,0.8
"{'type': 'Point', 'coordinates': [-74.17272807510528, 40.545567756563635]}",19024,RYE AVENUE,15,6.2,2018-05-02T00:00:00.000,No,38.8,43.8,Good Condition,None,1.2,57.5,1156961,-1.7
"{'type': 'Point', 'coordinates': [-73.80558169693681, 40.68944084803937]}",35925,REMINGTON STREET,41,6.9,2018-04-26T00:00:00.000,No,48.4,39.9,Missing,None,0.9,50.0,1051385,-2.1
"{'type': 'Point', 'coordinates': [-74.02146301838647, 40.644625232271956]}",24427,2 AVENUE,9,5.7,2018-09-26T00:00:00.000,No,64.8,40.0,Missing,None,0.7,60.0,1128128,0.7
"{'type': 'Point', 'coordinates': [-73.9679035104278, 40.75551315162458]}",9712,2 AVENUE,71,9.5,2018-04-13T00:00:00.000,No,56.4,52.1,Good Condition,None,0.4,60.0,1090177,-5.0
"{'type': 'Point', 'coordinates': [-73.95282458274772, 40.746836190972026]}",27741,VERNON BOULEVARD,53,8.5,2018-03-28T00:00:00.000,Yes,54.0,43.2,Missing,None,0.5,60.0,1037794,0.7
"{'type': 'Point', 'coordinates': [-73.88847577972989, 40.823176419778505]}",1366,ALDUS STREET,8,4.8,2018-03-20T00:00:00.000,No,58.3,47.3,Good Condition,None,0.5,60.0,1005606,0.0
"{'type': 'Point', 'coordinates': [-74.00721626428971, 40.72725236062257]}",23826,CHARLTON STREET,57,9.1,2018-05-28T00:00:00.000,Yes,65.8,58.9,Good Condition,None,1.3,60.0,1084522,3.1
"{'type': 'Point', 'coordinates': [-73.85522850876636, 40.733677082353005]}",22091,63 AVENUE,40,0.0,2018-05-06T00:00:00.000,No,55.0,48.7,Good Condition,None,0.6,60.0,1026301,0.3
"{'type': 'Point', 'coordinates': [-73.72643325236685, 40.75623129688125]}",14003,63 AVENUE,26,3.4,2018-05-26T00:00:00.000,No,64.0,46.3,Missing,None,0.8,34.2,1074231,1.4
"{'type': 'Point', 'coordinates': [-73.89808140986311, 40.70832287681029]}",23114,FRESH POND ROAD,54,6.8,2018-05-09T00:00:00.000,Yes,55.3,48.4,Missing,None,1.1,60.0,1030371,1.1
