the_geom,:@computed_region_yeji_bk3q,:@computed_region_efsh_h5xi,ramp_cross_slope,stname2,ramp_onstr,ramp_length
"{'type': 'Point', 'coordinates': [-73.79365646335734, 40.78409257160423]}",3,14195.0,1.7,16 AVENUE,200 STREET,-14.6
"{'type': 'Point', 'coordinates': [-73.88828466661711, 40.848935465179345]}",5,10935.0,-0.3,EAST 181 STREET,EAST 181 STREET,-7.7
"{'type': 'Point', 'coordinates': [-73.85758584571485, 40.85269140606204]}",5,11270.0,-0.9,NEILL AVENUE,NEILL AVENUE,-10.2
"{'type': 'Point', 'coordinates': [-73.91834973044902, 40.849381395597966]}",5,10931.0,6.9,WEST 176 STREET,WEST 176 STREET,-16.5
"{'type': 'Point', 'coordinates': [-73.91543047846446, 40.82652390299358]}",5,10929.0,3.5,EAST 163 STREET,EAST 163 STREET,-18.9
"{'type': 'Point', 'coordinates': [-73.97541214887916, 40.63332715336431]}",2,17620.0,3.4,EAST 3 STREET,AVENUE F,-3.3
"{'type': 'Point', 'coordinates': [-74.00030416342337, 40.640815901978826]}",2,17621.0,0.5,48 STREET,48 STREET,-8.9
"{'type': 'Point', 'coordinates': [-73.89916531109822, 40.67003648109681]}",2,17214.0,-0.4,BELMONT AVENUE,BELMONT AVENUE,-9.7
"{'type': 'Point', 'coordinates': [-74.00026821561924, 40.57305766796406]}",2,18184.0,-1.7,WEST 35 STREET,WEST 35 STREET,-11.5
"{'type': 'Point', 'coordinates': [-73.92980604823144, 40.815202531916434]}",5,10929.0,4.4,EAST 140 STREET,WALTON AVENUE,-25.1
"{'type': 'Point', 'coordinates': [-74.14944723005519, 40.538438472563584]}",1,10695.0,-3.2,WILLIAM AVENUE,WILLIAM AVENUE,-12.2
"{'type': 'Point', 'coordinates': [-73.8835975134888, 40.81047811446876]}",5,12343.0,-0.8,LONGFELLOW AVENUE,LONGFELLOW AVENUE,-6.6
"{'type': 'Point', 'coordinates': [-73.81117164115597, 40.786434135846456]}",3,14192.0,-1.8,150 PLACE,150 PLACE,-20.2
"{'type': 'Point', 'coordinates': [-73.99423193493325, 40.72270572221968]}",4,12075.0,-1.1,PRINCE STREET,PRINCE STREET,-14.8
"{'type': 'Point', 'coordinates': [-73.84922505922667, 40.847079564878115]}",5,11270.0,-1.8,PIERCE AVENUE,WILLIAMSBRIDGE ROAD,-15.5
"{'type': 'Point', 'coordinates': [-73.9906273515825, 40.57846100376659]}",2,18184.0,-0.7,WEST 23 STREET,NEPTUNE AVENUE,-10.2
"{'type': 'Point', 'coordinates': [-73.9663951025081, 40.60963658407752]}",2,13513.0,-2.1,EAST 7 STREET,AVENUE P,-26.5
