the_geom,:@computed_region_yeji_bk3q,:@computed_region_efsh_h5xi,ramp_cross_slope,stname2,ramp_onstr,ramp_length
"{'type': 'Point', 'coordinates': [-73.83810434551235, 40.68414514072443]}",3,24013.0,1.4,104 STREET,104 STREET,-16.2
"{'type': 'Point', 'coordinates': [-73.83426708253529, 40.84006022686274]}",5,11270.0,1.1,MAYFLOWER AVENUE,DUDLEY AVENUE,-6.1
"{'type': 'Point', 'coordinates': [-73.71566536126316, 40.743793011780525]}",3,16098.0,1.3,80 AVENUE,"255 STREET, 80 AVENUE",-13.0
"{'type': 'Point', 'coordinates': [-73.98319769123962, 40.60556766309706]}",2,18183.0,1.8,KINGS HIGHWAY,KINGS HIGHWAY,-11.7
"{'type': 'Point', 'coordinates': [-73.97235313120561, 40.69612768367128]}",2,17212.0,0.3,PARK AVENUE,"BROOKLYN QUEENS EXPRESSWAY, PARK AVENUE",-8.7
"{'type': 'Point', 'coordinates': [-73.83361497941952, 40.836620963566745]}",5,11270.0,-1.5,WATERBURY AVENUE,WATERBURY AVENUE,-10.6
"{'type': 'Point', 'coordinates': [-73.98293652929418, 40.610258136265415]}",2,16867.0,-0.9,WEST 9 STREET,AVENUE O,-9.5
"{'type': 'Point', 'coordinates': [-74.00782214968648, 40.62326014755]}",2,13511.0,-3.0,72 STREET,12 AVENUE,-10.4
"{'type': 'Point', 'coordinates': [-73.90079597472273, 40.82020905502502]}",5,10937.0,-6.0,EAST 161 STREET,WESTCHESTER AVENUE,-23.6
"{'type': 'Point', 'coordinates': [-73.89778916689967, 40.821104143160866]}",5,10937.0,0.0,EAST 163 STREET,"ROGERS PLACE, EAST 163 STREET",-12.9
"{'type': 'Point', 'coordinates': [-73.80696172479101, 40.69396671943881]}",3,24670.0,-2.2,LIBERTY AVENUE,PRINCETON STREET,-8.4
"{'type': 'Point', 'coordinates': [-73.72643325236685, 40.75623129688125]}",3,14197.0,1.0,252 STREET,"63 AVENUE, 252 STREET",1.1
"{'type': 'Point', 'coordinates': [-74.15032282138301, 40.56883236113826]}",1,10693.0,-6.5,ARTHUR KILL ROAD,ARTHUR KILL ROAD,-23.0
"{'type': 'Point', 'coordinates': [-73.82565607840667, 40.68136167018874]}",3,24015.0,0.2,109 AVENUE,115 STREET,-9.8
"{'type': 'Point', 'coordinates': [-74.1690147128804, 40.546803904570986]}",1,10699.0,-2.5,PETRUS AVENUE,PETRUS AVENUE,-7.5
"{'type': 'Point', 'coordinates': [-73.72043608362696, 40.73152464101086]}",3,24335.0,1.1,COMMONWEALTH BOULEVARD,86 AVENUE,-5.7
"{'type': 'Point', 'coordinates': [-73.83016007229124, 40.84223523091036]}",5,11270.0,-4.0,CROSBY AVENUE,ZULETTE AVENUE,-21.0
"{'type': 'Point', 'coordinates': [-73.71075095643037, 40.73883470786023]}",3,16098.0,2.6,83 AVENUE,"258 STREET, 83 AVENUE",-9.2
"{'type': 'Point', 'coordinates': [-73.99460505810536, 40.70005683416911]}",2,16865.0,10.3,CRANBERRY STREET,CRANBERRY STREET,-4.6
"{'type': 'Point', 'coordinates': [-73.85972048958703, 40.828594302006174]}",5,11610.0,-1.4,WATSON AVENUE,"VIRGINIA AVENUE, WATSON AVENUE",-12.8
"{'type': 'Point', 'coordinates': [-74.00721626428971, 40.72725236062257]}",4,12076.0,1.5,HUDSON STREET,"CHARLTON STREET, HUDSON STREET",-8.8
"{'type': 'Point', 'coordinates': [-73.85201410129137, 40.84832827521538]}",5,11270.0,-0.1,HAIGHT AVENUE,HAIGHT AVENUE,-23.6
"{'type': 'Point', 'coordinates': [-73.80539988890199, 40.74992259487699]}",3,14507.0,1.0,162 STREET,OAK AVENUE,-7.6
"{'type': 'Point', 'coordinates': [-73.98223686596562, 40.751462209195005]}",4,12078.0,-0.2,EAST 39 STREET,5 AVENUE,-10.3
"{'type': 'Point', 'coordinates': [-73.79139810904663, 40.78068758162575]}",3,14195.0,-3.5,19 AVENUE,19 AVENUE,-11.7
"{'type': 'Point', 'coordinates': [-73.89808140986311, 40.70832287681029]}",3,15310.0,-0.8,PALMETTO STREET,PALMETTO STREET,-10.1
"{'type': 'Point', 'coordinates': [-73.8418322522077, 40.8634886755487]}",5,11607.0,1.2,FIELDING STREET,FIELDING STREET,-11.1
"{'type': 'Point', 'coordinates': [-73.98843102557883, 40.57843322774256]}",2,18184.0,1.5,WEST 21 STREET,WEST 21 STREET,-9.1
"{'type': 'Point', 'coordinates': [-73.96208260231225, 40.64453751696153]}",2,13510.0,-2.5,EAST 18 STREET,EAST 18 STREET,-13.0
"{'type': 'Point', 'coordinates': [-74.03410532323126, 40.637391216116505]}",2,17216.0,-0.1,NARROWS AVENUE,NARROWS AVENUE,-12.9
"{'type': 'Point', 'coordinates': [-73.94235155305591, 40.82206409732176]}",4,12427.0,-1.5,FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,-16.4
"{'type': 'Point', 'coordinates': [-73.97826092023038, 40.78810740492007]}",4,12421.0,-3.7,WEST END AVENUE,WEST 85 STREET,-9.7
"{'type': 'Point', 'coordinates': [-73.98746109583917, 40.77041911401286]}",4,12420.0,-1.5,WEST 59 STREET,WEST 59 STREET,-10.6
"{'type': 'Point', 'coordinates': [-73.99425182471396, 40.60490407058762]}",2,17616.0,2.3,21 AVENUE,21 AVENUE,-10.5
"{'type': 'Point', 'coordinates': [-73.92855876525232, 40.80986383366244]}",5,10932.0,-5.8,3 AVENUE,EAST 136 STREET,-15.7
"{'type': 'Point', 'coordinates': [-73.82541996789466, 40.813455178467805]}",5,11274.0,4.2,HARDING AVENUE,ROBINSON AVENUE,-11.5
"{'type': 'Point', 'coordinates': [-73.80558169693681, 40.68944084803937]}",3,24670.0,-1.1,SHORE AVENUE,SHORE AVENUE,-8.2
"{'type': 'Point', 'coordinates': [-74.14013910678375, 40.5717068593747]}",1,10693.0,-3.9,CENTER STREET,MC KINLEY AVENUE,-27.2
"{'type': 'Point', 'coordinates': [-73.96734182359447, 40.792882197031915]}",4,12422.0,1.1,COLUMBUS AVENUE,WEST 96 STREET,-7.3
"{'type': 'Point', 'coordinates': [-73.7786760065906, 40.732261847160295]}",3,14508.0,0.6,75 AVENUE,75 AVENUE,-6.6
"{'type': 'Point', 'coordinates': [-73.89254772448174, 40.673749093565235]}",2,17214.0,-4.0,BRADFORD STREET,GLENMORE AVENUE,-10.1
"{'type': 'Point', 'coordinates': [-73.89718748103968, 40.83794631113792]}",5,,4.3,,Crotona Ave,3.3
"{'type': 'Point', 'coordinates': [-73.88739358770209, 40.821089569213534]}",5,12343.0,1.4,BRYANT AVENUE,BRYANT AVENUE,-8.3
"{'type': 'Point', 'coordinates': [-73.92019818241712, 40.80282712496286]}",5,10932.0,-1.0,EAST 132 STREET,EAST 132 STREET,-9.6
"{'type': 'Point', 'coordinates': [-73.87919332017613, 40.75845603576972]}",3,14511.0,0.9,89 STREET,89 STREET,-7.3
"{'type': 'Point', 'coordinates': [-74.1702098055069, 40.553117918941815]}",1,10699.0,-0.8,SCRANTON AVENUE,SCRANTON AVENUE,-14.6
"{'type': 'Point', 'coordinates': [-74.1751393280539, 40.5467909724189]}",1,10699.0,-2.3,RYE AVENUE,ANNADALE ROAD,-8.4
"{'type': 'Point', 'coordinates': [-73.9873778016142, 40.595370826633264]}",2,17616.0,-0.3,BAY 41 STREET,BAY 41 STREET,-12.4
"{'type': 'Point', 'coordinates': [-73.97855952818594, 40.613002547634395]}",2,16867.0,-1.2,23 AVENUE,23 AVENUE,-7.6
"{'type': 'Point', 'coordinates': [-73.81596783780527, 40.70237201240049]}",3,24670.0,5.0,JAMAICA AVENUE,VAN WYCK EXPRESSWAY,2.9
"{'type': 'Point', 'coordinates': [-73.87538288423026, 40.71566238893246]}",3,15309.0,-0.8,JUNIPER VALLEY ROAD,"78 STREET, JUNIPER VALLEY ROAD",-8.5
"{'type': 'Point', 'coordinates': [-73.89210941519066, 40.81280120765694]}",5,12343.0,2.3,WORTHEN STREET,WORTHEN STREET,-7.5
"{'type': 'Point', 'coordinates': [-73.93111573084282, 40.77149645146103]}",3,16859.0,-5.1,12 STREET,30 AVENUE,-16.7
"{'type': 'Point', 'coordinates': [-74.13843147775472, 40.569433589159054]}",1,10693.0,-1.6,BARBARA STREET,BARBARA STREET,-7.9
