fy,nonhispanic_latino_male_asian,function_description,nonhispanic_latino_female_4,total,nonhispanic_latino_male_2
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,4,
2021,36.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,6.0,476,2.0
2021,7.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,67,1.0
2021,6.0,FIRE PROTECTION,2.0,74,
2021,2.0,POLICE PROTECTION,,70,
2021,3.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,33,
2021,17.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,9.0,565,1.0
2021,,POLICE PROTECTION,,1,
2021,9.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,9.0,535,3.0
2021,9.0,POLICE PROTECTION,8.0,702,
2021,4.0,PUBLIC WELFARE,1.0,27,
2021,25.0,PUBLIC WELFARE,3.0,401,
2021,,"NATURAL RESOURCES, PARKS AND RECREATION",,1,
2021,5.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,50,
2021,47.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,13.0,666,
2021,,POLICE PROTECTION,1.0,74,1.0
2021,1.0,PUBLIC WELFARE,,15,
2021,14.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3.0,212,2.0
2021,1.0,"NATURAL RESOURCES, PARKS AND RECREATION",,18,1.0
2021,33.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2.0,262,3.0
2021,,FIRE PROTECTION,,1,
2021,2.0,POLICE PROTECTION,,9,
2021,,POLICE PROTECTION,,1,
2021,50.0,POLICE PROTECTION,7.0,2331,4.0
2021,16.0,PUBLIC WELFARE,12.0,825,
2021,3.0,FIRE PROTECTION,,133,2.0
2021,150.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,37.0,2142,1.0
2021,,FIRE PROTECTION,,11,
2021,3.0,POLICE PROTECTION,,28,
2021,76.0,FIRE PROTECTION,,1550,13.0
2021,1426.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,173.0,18848,120.0
2021,,POLICE PROTECTION,,6,
2021,,PUBLIC WELFARE,,51,1.0
2021,,POLICE PROTECTION,,11,
2021,151.0,POLICE PROTECTION,4.0,1575,6.0
2021,57.0,POLICE PROTECTION,13.0,2488,6.0
2021,1.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1.0,30,
2021,60.0,FIRE PROTECTION,4.0,799,1.0
2021,59.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,16.0,1292,7.0
2021,20.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1.0,213,
2021,1.0,"NATURAL RESOURCES, PARKS AND RECREATION",,144,1.0
2021,61.0,FIRE PROTECTION,1.0,1075,11.0
2021,106.0,FIRE PROTECTION,,5869,27.0
2021,,POLICE PROTECTION,,11,
2021,,FIRE PROTECTION,,13,
2021,4.0,FIRE PROTECTION,1.0,24,
2021,,FIRE PROTECTION,,4,
2021,,PUBLIC WELFARE,,4,
2021,5.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2.0,159,1.0
2021,378.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,37.0,4690,23.0
2021,20.0,PUBLIC WELFARE,3.0,236,2.0
2021,23.0,FIRE PROTECTION,1.0,376,2.0
2021,,POLICE PROTECTION,,22,
2021,,FIRE PROTECTION,,3,
2021,31.0,PUBLIC WELFARE,2.0,519,4.0
2021,72.0,FIRE PROTECTION,2.0,442,5.0
2021,13.0,"NATURAL RESOURCES, PARKS AND RECREATION",2.0,258,2.0
2021,187.0,PUBLIC WELFARE,53.0,4717,13.0
2021,3.0,PUBLIC WELFARE,1.0,249,2.0
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,7,
2021,4.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,5.0,141,
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,2,
2021,2.0,PUBLIC WELFARE,1.0,136,
2021,31.0,FIRE PROTECTION,,337,5.0
2021,6.0,PUBLIC WELFARE,1.0,47,0.0
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,49,
2021,56.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,15.0,1411,10.0
2021,15.0,"NATURAL RESOURCES, PARKS AND RECREATION",2.0,257,
2021,68.0,"NATURAL RESOURCES, PARKS AND RECREATION",3.0,634,5.0
2021,8.0,POLICE PROTECTION,1.0,91,3.0
2021,9.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,7.0,293,3.0
2021,2.0,PUBLIC WELFARE,1.0,84,
2021,,"NATURAL RESOURCES, PARKS AND RECREATION",,3,
2021,2.0,PUBLIC WELFARE,,27,1.0
2021,36.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,5.0,438,6.0
2021,1.0,PUBLIC WELFARE,1.0,65,
2021,45.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,6.0,392,1.0
2021,,FIRE PROTECTION,,6,
2021,49.0,POLICE PROTECTION,,476,2.0
2021,18.0,PUBLIC WELFARE,8.0,449,3.0
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,10,
2021,10.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,217,
2021,,FIRE PROTECTION,3.0,25,1.0
2021,14.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,4.0,542,
2021,6.0,PUBLIC WELFARE,,128,3.0
2021,9.0,FIRE PROTECTION,,46,
2021,,"NATURAL RESOURCES, PARKS AND RECREATION",,5,
2021,9.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,475,1.0
2021,1.0,FIRE PROTECTION,,6,
2021,297.0,POLICE PROTECTION,5.0,2817,3.0
2021,1.0,PUBLIC WELFARE,,12,
2021,86.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,9.0,842,6.0
2021,,PUBLIC WELFARE,,1,
2021,,PUBLIC WELFARE,,2,
2021,2.0,FIRE PROTECTION,,43,1.0
2021,13.0,POLICE PROTECTION,8.0,310,3.0
2021,48.0,FIRE PROTECTION,5.0,1328,28.0
2021,29.0,FIRE PROTECTION,2.0,444,8.0
2021,5.0,PUBLIC WELFARE,2.0,76,1.0
2021,13.0,PUBLIC WELFARE,10.0,727,1.0
2021,3.0,FIRE PROTECTION,1.0,138,
2021,,FIRE PROTECTION,,3,
2021,4.0,PUBLIC WELFARE,,20,
2021,2.0,FIRE PROTECTION,4.0,212,1.0
2021,184.0,POLICE PROTECTION,14.0,2115,14.0
2021,16.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,294,5.0
2021,555.0,POLICE PROTECTION,8.0,6798,25.0
2021,1.0,POLICE PROTECTION,,11,
2021,1307.0,POLICE PROTECTION,21.0,18546,42.0
2021,3.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,38,
2021,11.0,FIRE PROTECTION,,77,
2021,6.0,POLICE PROTECTION,1.0,49,1.0
2021,58.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,6.0,313,5.0
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,0,
2021,,POLICE PROTECTION,,1,
2021,,POLICE PROTECTION,,14,
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,36,
2021,,PUBLIC WELFARE,,21,1.0
2021,44.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,7.0,636,
2021,6.0,POLICE PROTECTION,5.0,109,2.0
