nonhispanic_latino_female_3,nonhispanic_latino_male_black,salary_band,hispanic_latino_male,nonhispanic_latino_female_2,job_category
,,25.0-32.9,1.0,,ADMIN SUPPORT
1.0,38.0,70.0 PLUS,39.0,1.0,PARA-PROF
,8.0,,2.0,1.0,TECHNICIANS
,6.0,70.0 PLUS,3.0,,ADMIN SUPPORT
,18.0,43.0-54.9,17.0,,SERV/MAINT
,2.0,,1.0,2.0,PROTECT/SRVCS
1.0,39.0,55.0-69.9,20.0,,ADMIN SUPPORT
,,,1.0,,SERV/MAINT
1.0,109.0,33.0-42.9,68.0,,PARA-PROF
10.0,22.0,55.0-69.9,8.0,,ADMIN SUPPORT
,4.0,,2.0,,PROFESSIONALS
2.0,64.0,33.0-42.9,12.0,,PROFESSIONALS
,,43.0-54.9,,,OFFICIAL/ADM
,15.0,70.0 PLUS,16.0,,SERV/MAINT
2.0,59.0,,63.0,50.0,PARA-PROF
,6.0,43.0-54.9,5.0,,TECHNICIANS
,1.0,,1.0,,ADMIN SUPPORT
,18.0,70.0 PLUS,22.0,,TECHNICIANS
,2.0,33.0-42.9,11.0,,PROTECT/SRVCS
,64.0,43.0-54.9,58.0,,PROTECT/SRVCS
,,25.0-32.9,,,TECHNICIANS
,1.0,33.0-42.9,,,PARA-PROF
,,25.0-32.9,,,PROTECT/SRVCS
10.0,60.0,,88.0,3.0,PROTECT/SRVCS
2.0,82.0,55.0-69.9,28.0,,ADMIN SUPPORT
,14.0,,29.0,,PROTECT/SRVCS
5.0,209.0,,207.0,147.0,TOTAL NEW HIRES
,5.0,55.0-69.9,3.0,,SERV/MAINT
,4.0,,7.0,,SKILLED CRAFT
,251.0,55.0-69.9,325.0,,PROTECT/SRVCS
28.0,1974.0,,1582.0,8.0,TOTAL FULL TIME
,2.0,70.0 PLUS,1.0,,PARA-PROF
,31.0,70.0 PLUS,7.0,,SERV/MAINT
,3.0,55.0-69.9,1.0,,SERV/MAINT
,132.0,,387.0,1.0,PROTECT/SRVCS
11.0,68.0,,103.0,3.0,TOTAL OTHER THAN F-T
,3.0,25.0-32.9,7.0,,PARA-PROF
,115.0,55.0-69.9,156.0,,TECHNICIANS
7.0,130.0,,85.0,2.0,TOTAL OTHER THAN F-T
,44.0,55.0-69.9,47.0,,PROTECT/SRVCS
,45.0,43.0-54.9,22.0,,PROFESSIONALS
,152.0,43.0-54.9,222.0,,PROTECT/SRVCS
,511.0,70.0 PLUS,829.0,,PROTECT/SRVCS
,5.0,,1.0,,SERV/MAINT
,2.0,70.0 PLUS,6.0,,SERV/MAINT
,5.0,43.0-54.9,5.0,,SKILLED CRAFT
,2.0,,2.0,,SERV/MAINT
,,,,,ADMIN SUPPORT
1.0,15.0,55.0-69.9,15.0,,OFFICIAL/ADM
3.0,247.0,70.0 PLUS,260.0,2.0,OFFICIAL/ADM
1.0,49.0,43.0-54.9,15.0,,TECHNICIANS
,31.0,70.0 PLUS,67.0,,TECHNICIANS
,,,1.0,,TECHNICIANS
,1.0,55.0-69.9,1.0,,SKILLED CRAFT
2.0,189.0,,61.0,,PROFESSIONALS
,32.0,70.0 PLUS,24.0,,PROFESSIONALS
,48.0,43.0-54.9,68.0,,PROTECT/SRVCS
24.0,760.0,43.0-54.9,210.0,1.0,PROFESSIONALS
,73.0,55.0-69.9,51.0,,PROTECT/SRVCS
,,,5.0,,SERV/MAINT
,20.0,,8.0,8.0,TECHNICIANS
,,43.0-54.9,,,OFFICIAL/ADM
,32.0,70.0 PLUS,5.0,,TECHNICIANS
,41.0,70.0 PLUS,61.0,,SKILLED CRAFT
0.0,5.0,,3.0,0.0,TOTAL OTHER THAN F-T
,7.0,,3.0,,OFFICIAL/ADM
5.0,141.0,43.0-54.9,165.0,,PARA-PROF
,22.0,70.0 PLUS,18.0,,OFFICIAL/ADM
2.0,60.0,70.0 PLUS,44.0,2.0,PROFESSIONALS
,8.0,,8.0,,PROFESSIONALS
4.0,52.0,,29.0,,ADMIN SUPPORT
,40.0,55.0-69.9,10.0,,SERV/MAINT
,,70.0 PLUS,,,TECHNICIANS
,8.0,,5.0,,PROTECT/SRVCS
,45.0,55.0-69.9,22.0,,TECHNICIANS
,37.0,33.0-42.9,11.0,,SERV/MAINT
,34.0,,52.0,33.0,PROFESSIONALS
,1.0,70.0 PLUS,,,PARA-PROF
,57.0,70.0 PLUS,64.0,,SKILLED CRAFT
3.0,69.0,43.0-54.9,38.0,,PARA-PROF
,2.0,,1.0,,SKILLED CRAFT
,31.0,70.0 PLUS,44.0,,PROTECT/SRVCS
,,55.0-69.9,2.0,,PARA-PROF
,31.0,,20.0,,PROFESSIONALS
,29.0,70.0 PLUS,14.0,,SKILLED CRAFT
,4.0,,3.0,,PROFESSIONALS
,,70.0 PLUS,1.0,,PROTECT/SRVCS
1.0,177.0,33.0-42.9,84.0,,SERV/MAINT
,1.0,55.0-69.9,,,OFFICIAL/ADM
4.0,281.0,55.0-69.9,577.0,,PROTECT/SRVCS
,,25.0-32.9,2.0,,ADMIN SUPPORT
2.0,99.0,55.0-69.9,64.0,1.0,PROFESSIONALS
,,,,,SKILLED CRAFT
,,,,,OFFICIAL/ADM
,3.0,,,,PROFESSIONALS
1.0,22.0,,16.0,,ADMIN SUPPORT
,113.0,33.0-42.9,289.0,1.0,TECHNICIANS
0.0,40.0,,94.0,0.0,TOTAL NEW HIRES
1.0,15.0,,10.0,,PARA-PROF
1.0,76.0,33.0-42.9,24.0,1.0,ADMIN SUPPORT
,11.0,43.0-54.9,15.0,,ADMIN SUPPORT
,1.0,33.0-42.9,1.0,,PARA-PROF
,4.0,33.0-42.9,,,TECHNICIANS
3.0,14.0,55.0-69.9,18.0,,ADMIN SUPPORT
1.0,175.0,,431.0,1.0,TOTAL NEW HIRES
,33.0,70.0 PLUS,52.0,,SKILLED CRAFT
12.0,623.0,70.0 PLUS,1233.0,1.0,OFFICIAL/ADM
,,,,,ADMIN SUPPORT
31.0,2017.0,70.0 PLUS,4134.0,2.0,PROTECT/SRVCS
,10.0,55.0-69.9,11.0,,SKILLED CRAFT
,4.0,55.0-69.9,8.0,1.0,PROFESSIONALS
,1.0,,5.0,,PARA-PROF
,43.0,43.0-54.9,26.0,,PROFESSIONALS
,,,,,PROTECT/SRVCS
,,,,,OFFICIAL/ADM
,,55.0-69.9,1.0,,PARA-PROF
1.0,6.0,25.0-32.9,12.0,,SERV/MAINT
,11.0,25.0-32.9,1.0,,PARA-PROF
,49.0,,46.0,45.0,OFFICIAL/ADM
1.0,7.0,,9.0,,PARA-PROF
,23.0,43.0-54.9,12.0,,SERV/MAINT
,5.0,43.0-54.9,1.0,,SERV/MAINT
,29.0,55.0-69.9,26.0,,PROFESSIONALS
