nonhispanic_latino_female_1,hispanci_latino_female,nonhispanic_latino_female,non_hispanic_latino_male,nonhispanic_latino_male_nhopi
,2.0,1.0,,
80.0,65.0,88.0,86.0,
3.0,11.0,16.0,5.0,1.0
1.0,6.0,9.0,30.0,
1.0,6.0,11.0,8.0,
4.0,4.0,3.0,14.0,
37.0,101.0,231.0,33.0,
,,,,
138.0,88.0,46.0,47.0,
31.0,99.0,416.0,14.0,
1.0,4.0,5.0,5.0,
20.0,54.0,192.0,11.0,
,,,1.0,
,1.0,1.0,12.0,
73.0,81.0,164.0,108.0,
1.0,10.0,39.0,8.0,
1.0,,9.0,,
27.0,16.0,39.0,55.0,1.0
,2.0,,1.0,
39.0,11.0,10.0,36.0,
,,,1.0,
,2.0,3.0,,
,1.0,,,
174.0,705.0,687.0,64.0,1.0
32.0,113.0,491.0,17.0,
,2.0,,81.0,
273.0,214.0,418.0,450.0,0.0
,,,3.0,
,,,13.0,
1.0,6.0,18.0,838.0,2.0
1294.0,1897.0,3207.0,3879.0,12.0
,,2.0,,
,,3.0,9.0,
,1.0,2.0,4.0,
29.0,180.0,80.0,491.0,2.0
191.0,736.0,714.0,94.0,1.0
8.0,7.0,2.0,,
10.0,82.0,48.0,261.0,
71.0,104.0,204.0,267.0,1.0
20.0,15.0,8.0,55.0,
3.0,10.0,22.0,25.0,
4.0,16.0,22.0,565.0,
,13.0,12.0,4334.0,1.0
,2.0,,,
,,,5.0,
,,1.0,6.0,1.0
,,,,
,,2.0,,
24.0,19.0,43.0,26.0,
410.0,311.0,1225.0,1451.0,1.0
16.0,27.0,74.0,15.0,
4.0,22.0,30.0,156.0,
,1.0,2.0,15.0,
,,,1.0,
15.0,49.0,116.0,15.0,
37.0,22.0,53.0,98.0,
6.0,25.0,24.0,41.0,1.0
187.0,709.0,2092.0,140.0,1.0
,16.0,42.0,54.0,
1.0,,,1.0,
36.0,20.0,16.0,20.0,
,,1.0,1.0,
2.0,19.0,56.0,11.0,
1.0,,2.0,195.0,
2.0,4.0,16.0,5.0,0.0
,2.0,8.0,18.0,
283.0,280.0,239.0,142.0,2.0
13.0,15.0,22.0,98.0,
36.0,33.0,46.0,198.0,
6.0,2.0,5.0,19.0,
10.0,36.0,79.0,30.0,
,6.0,23.0,2.0,
,1.0,1.0,1.0,
,3.0,8.0,,
72.0,35.0,84.0,93.0,
,3.0,10.0,2.0,
33.0,30.0,64.0,87.0,
,,2.0,1.0,
,,1.0,299.0,
20.0,94.0,173.0,10.0,
,,,7.0,
12.0,12.0,6.0,98.0,1.0
1.0,4.0,8.0,1.0,
26.0,22.0,58.0,160.0,
,1.0,1.0,73.0,
3.0,1.0,5.0,8.0,
,,,3.0,
6.0,92.0,76.0,21.0,
,2.0,2.0,,
47.0,246.0,207.0,968.0,1.0
,3.0,5.0,1.0,
136.0,74.0,115.0,127.0,1.0
,,,1.0,
,,1.0,,
,,,24.0,
17.0,84.0,125.0,11.0,
8.0,83.0,71.0,588.0,1.0
10.0,22.0,13.0,190.0,0.0
2.0,9.0,26.0,2.0,
37.0,120.0,389.0,16.0,
3.0,21.0,45.0,17.0,1.0
1.0,,,,
1.0,2.0,7.0,,
2.0,27.0,49.0,72.0,
59.0,282.0,223.0,552.0,2.0
,,1.0,186.0,
46.0,354.0,359.0,3213.0,4.0
4.0,5.0,1.0,,
112.0,1345.0,967.0,7557.0,10.0
,,1.0,13.0,
4.0,4.0,14.0,16.0,
6.0,10.0,6.0,7.0,
39.0,16.0,30.0,49.0,
,,,,
,,,1.0,
,2.0,6.0,4.0,
1.0,5.0,8.0,1.0,
,,7.0,1.0,
73.0,45.0,135.0,182.0,
13.0,24.0,24.0,9.0,
,5.0,9.0,10.0,
,,2.0,4.0,
27.0,24.0,37.0,63.0,
39.0,104.0,260.0,31.0,
1.0,2.0,7.0,4.0,
,14.0,11.0,1.0,
819.0,2781.0,9072.0,1233.0,6.0
474.0,227.0,739.0,1038.0,4.0
1.0,2.0,4.0,,
10.0,6.0,3.0,5.0,
,,,8.0,
3.0,14.0,33.0,,
5.0,61.0,81.0,16.0,
,12.0,27.0,22.0,
7.0,68.0,224.0,34.0,
,,1.0,,
2.0,21.0,73.0,,
852.0,4559.0,7054.0,14921.0,29.0
57.0,130.0,483.0,22.0,
,,,,
17.0,66.0,163.0,23.0,0.0
49.0,128.0,382.0,155.0,
,,2.0,19.0,
,1.0,5.0,2.0,
10.0,5.0,14.0,2341.0,
,3.0,8.0,2.0,
1.0,,2.0,,
,,4.0,,
,,,,
53.0,34.0,36.0,31.0,
2.0,18.0,7.0,87.0,
47.0,126.0,387.0,58.0,1.0
190.0,1064.0,2035.0,1538.0,6.0
55.0,270.0,546.0,27.0,
226.0,360.0,1439.0,423.0,3.0
176.0,633.0,1002.0,858.0,5.0
66.0,41.0,93.0,238.0,
1.0,3.0,2.0,9.0,
,,1.0,,
0.0,0.0,0.0,24.0,0.0
10.0,6.0,1.0,2.0,
,1.0,,5.0,
,1.0,,,
6.0,48.0,87.0,13.0,1.0
,2.0,5.0,3.0,
5.0,1.0,1.0,7.0,
,,,7.0,
,,,1.0,
,,,,
,,5.0,5.0,
11.0,19.0,26.0,38.0,
,,,12.0,
3.0,4.0,1.0,2.0,
,,5.0,,
1.0,2.0,6.0,4.0,
,,1.0,13.0,
1.0,1.0,2.0,1.0,
,,,,
130.0,635.0,2215.0,136.0,
2.0,27.0,115.0,8.0,
1.0,,,,
,15.0,93.0,14.0,
,5.0,10.0,5.0,
1.0,,1.0,1.0,
20.0,144.0,326.0,23.0,1.0
3.0,39.0,93.0,8.0,
86.0,346.0,1093.0,39.0,1.0
2.0,10.0,10.0,20.0,1.0
14.0,65.0,131.0,15.0,
31.0,33.0,41.0,53.0,
,2.0,10.0,2.0,
,,,2.0,
,4.0,11.0,10.0,
12.0,198.0,186.0,489.0,
1.0,3.0,31.0,1.0,
,,,2.0,1.0
159.0,140.0,129.0,96.0,
152.0,64.0,102.0,83.0,1.0
101.0,516.0,607.0,10027.0,6.0
1.0,1.0,4.0,1.0,
