func_code,employment_status,non_hispanic_latino_female
1,1. FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
1,2. OTHER THAN FULL-TIME EMPLOYEES,12.0
5,1. FULL-TIME EMPLOYEES,11.0
4,1. FULL-TIME EMPLOYEES,7.0
1,3. NEW HIRES DURING FISCAL YEAR,
1,1. FULL-TIME EMPLOYEES,76.0
4,2. OTHER THAN FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,85.0
3,2. OTHER THAN FULL-TIME EMPLOYEES,1.0
3,1. FULL-TIME EMPLOYEES,18.0
6,1. FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
1,3. NEW HIRES DURING FISCAL YEAR,5.0
4,1. FULL-TIME EMPLOYEES,3.0
3,2. OTHER THAN FULL-TIME EMPLOYEES,2.0
1,1. FULL-TIME EMPLOYEES,
6,1. FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
5,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,1.0
4,1. FULL-TIME EMPLOYEES,
4,2. OTHER THAN FULL-TIME EMPLOYEES,477.0
3,1. FULL-TIME EMPLOYEES,32.0
5,3. NEW HIRES DURING FISCAL YEAR,1.0
1,3. NEW HIRES DURING FISCAL YEAR,27.0
5,1. FULL-TIME EMPLOYEES,
4,3. NEW HIRES DURING FISCAL YEAR,
5,1. FULL-TIME EMPLOYEES,16.0
1,1. FULL-TIME EMPLOYEES,3225.0
4,1. FULL-TIME EMPLOYEES,1.0
3,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,
4,3. NEW HIRES DURING FISCAL YEAR,111.0
4,2. OTHER THAN FULL-TIME EMPLOYEES,490.0
1,1. FULL-TIME EMPLOYEES,
5,1. FULL-TIME EMPLOYEES,60.0
1,2. OTHER THAN FULL-TIME EMPLOYEES,335.0
1,1. FULL-TIME EMPLOYEES,
6,1. FULL-TIME EMPLOYEES,15.0
5,1. FULL-TIME EMPLOYEES,17.0
5,1. FULL-TIME EMPLOYEES,20.0
4,3. NEW HIRES DURING FISCAL YEAR,3.0
5,1. FULL-TIME EMPLOYEES,
5,1. FULL-TIME EMPLOYEES,
5,3. NEW HIRES DURING FISCAL YEAR,
3,3. NEW HIRES DURING FISCAL YEAR,2.0
1,1. FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,14.0
5,1. FULL-TIME EMPLOYEES,40.0
4,2. OTHER THAN FULL-TIME EMPLOYEES,3.0
5,1. FULL-TIME EMPLOYEES,
3,3. NEW HIRES DURING FISCAL YEAR,34.0
5,1. FULL-TIME EMPLOYEES,96.0
6,1. FULL-TIME EMPLOYEES,28.0
3,1. FULL-TIME EMPLOYEES,335.0
3,1. FULL-TIME EMPLOYEES,7.0
1,3. NEW HIRES DURING FISCAL YEAR,
1,3. NEW HIRES DURING FISCAL YEAR,3.0
1,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,8.0
5,1. FULL-TIME EMPLOYEES,1.0
3,2. OTHER THAN FULL-TIME EMPLOYEES,5.0
1,2. OTHER THAN FULL-TIME EMPLOYEES,11.0
1,1. FULL-TIME EMPLOYEES,
6,1. FULL-TIME EMPLOYEES,51.0
6,1. FULL-TIME EMPLOYEES,134.0
4,3. NEW HIRES DURING FISCAL YEAR,31.0
1,2. OTHER THAN FULL-TIME EMPLOYEES,34.0
3,1. FULL-TIME EMPLOYEES,
6,1. FULL-TIME EMPLOYEES,
3,3. NEW HIRES DURING FISCAL YEAR,
1,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,
1,3. NEW HIRES DURING FISCAL YEAR,7.0
5,1. FULL-TIME EMPLOYEES,2.0
4,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,13.0
1,3. NEW HIRES DURING FISCAL YEAR,
1,1. FULL-TIME EMPLOYEES,
5,1. FULL-TIME EMPLOYEES,5.0
1,2. OTHER THAN FULL-TIME EMPLOYEES,204.0
3,1. FULL-TIME EMPLOYEES,1.0
5,3. NEW HIRES DURING FISCAL YEAR,13.0
6,1. FULL-TIME EMPLOYEES,1.0
1,1. FULL-TIME EMPLOYEES,5.0
5,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,177.0
3,1. FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
3,3. NEW HIRES DURING FISCAL YEAR,
3,2. OTHER THAN FULL-TIME EMPLOYEES,1.0
5,2. OTHER THAN FULL-TIME EMPLOYEES,13.0
4,3. NEW HIRES DURING FISCAL YEAR,10.0
5,1. FULL-TIME EMPLOYEES,91.0
5,3. NEW HIRES DURING FISCAL YEAR,34.0
