math_level_3_1,math_l3_l4_1,ell_french,grade_6,ell_korean_1,male_1,ela_l3_l4,black,ela_test_takers,ela_level_1,school_name,black_1,ell_french_1,white_1,math_level_1_1,category,ela_level_3,hispanic,ell_urdu_1,ell_urdu,asian_1,year
34.0%,s,,,,56.6%,s,8,52,s,P.S. 142 Amalia Castro,8.1%,,s,35.8%,Attend school outside district of residence,18,88,,,s,2017-18
20.6%,33.6%,,,,49.0%,39,50,103,23,P.S. 051 Elias Howe,20.6%,,s,39.3%,Receive free or reduced price lunch,28,126,,,15.6%,2017-18
27.9%,59.0%,,,,57.9%,33,30,63,10,P.S. 019 Asher Levy,22.6%,,9.0%,27.9%,Attend school outside district of residence,23,79,,,s,2017-18
s,s,,,,58.1%,s,s,s,s,Earth School,s,,s,s,Students in temporary housing,s,36,,,s,2017-18
s,s,,,,60.9%,s,s,10,s,The Children's Workshop School,s,,26.1%,s,Students in temporary housing,s,15,,,s,2017-18
s,s,,,,35.7%,s,12,10,s,P.S. 051 Elias Howe,42.9%,,s,s,Attend school outside district of residence,s,14,,,s,2017-18
31.3%,s,,,,51.7%,s,28,34,s,Neighborhood School,9.8%,,45.5%,31.3%,All Students,11,100,,,5.9%,2017-18
s,s,,,,66.1%,s,16,51,16,P.S. 142 Amalia Castro,13.2%,,s,64.0%,Students with Disabilities,s,104,,,s,2017-18
32.3%,s,,20,,51.3%,s,41,93,s,P.S. 188 The Island School,26.3%,,s,s,Students in temporary housing,35,109,,,s,2017-18
s,s,,,,53.2%,15,9,23,s,P.S. 110 Florence Nightingale,19.1%,,s,s,Students in temporary housing,7,30,,,12.8%,2017-18
s,s,,,,70.3%,s,11,s,s,Neighborhood School,17.2%,,28.1%,s,Students with Disabilities,s,28,,,s,2017-18
s,s,,,,66.7%,s,12,22,s,The Children's Workshop School,18.2%,,19.7%,26.1%,Students with Disabilities,9,30,,,s,2017-18
s,s,s,,s,s,,s,,,The Children's Workshop School,s,s,66.7%,s,English Language Learners,,s,s,s,s,2017-18
17.9%,53.6%,,,,50.7%,77,49,149,33,P.S. 001 Alfred E. Smith,16.7%,,s,26.5%,All Students,38,75,,,54.4%,2017-18
16.7%,33.3%,,,,51.4%,82,46,227,77,P.S. 020 Anna Silver,9.9%,,2.6%,44.3%,All Students,58,243,,,30.9%,2017-18
s,s,,6,,52.0%,s,12,38,16,P.S. 034 Franklin D. Roosevelt,24.0%,,s,68.4%,Attend school outside district of residence,s,35,,,s,2017-18
,,s,,s,s,,s,,,Neighborhood School,s,s,s,,English Language Learners,,s,s,s,s,2017-18
s,s,,,,49.1%,s,11,14,s,Neighborhood School,10.0%,,50.9%,s,Attend school outside district of residence,6,28,,,7.3%,2017-18
s,s,,,,65.6%,s,11,24,s,The STAR Academy - P.S.63,17.2%,,14.1%,41.7%,Students with Disabilities,6,40,,,s,2017-18
20.2%,31.5%,,,,59.9%,26,42,89,26,P.S. 064 Robert Simon,21.9%,,5.7%,46.1%,Receive free or reduced price lunch,20,128,,,s,2017-18
s,s,,17,,64.7%,s,38,90,53,P.S. 034 Franklin D. Roosevelt,31.9%,,s,77.5%,Students with Disabilities,s,76,,,s,2017-18
s,s,s,s,s,65.2%,s,s,17,9,School for Global Leaders,s,s,s,54.5%,English Language Learners,s,14,s,s,39.1%,2017-18
s,s,,,,52.4%,s,13,32,s,P.S. 015 Roberto Clemente,20.6%,,s,s,Students in temporary housing,15,47,,,s,2017-18
25.0%,82.1%,,,,60.0%,21,s,28,s,P.S. 002 Meyer London,s,,s,s,Attend school outside district of residence,11,17,,,70.0%,2017-18
s,s,s,,s,45.8%,s,s,s,s,P.S. 003 Charrette School,s,s,29.2%,s,English Language Learners,s,11,s,s,25.0%,2017-18
15.9%,79.5%,,,,50.7%,34,s,44,s,P.S. 110 Florence Nightingale,s,,33.3%,s,Attend school outside district of residence,18,26,,,15.9%,2017-18
20.6%,45.6%,,25,,54.5%,38,s,75,15,Tompkins Square Middle School,s,,18.2%,32.4%,Attend school outside district of residence,22,42,,,23.2%,2017-18
28.6%,45.1%,,34,,51.3%,49,17,99,15,East Side Community School,15.0%,,17.7%,19.8%,Attend school outside district of residence,33,59,,,s,2017-18
20.1%,84.7%,,27,,54.3%,103,s,141,16,P.S. 184m Shuang Wen,s,,s,6.3%,Attend school outside district of residence,48,12,,,80.4%,2017-18
31.8%,68.2%,,,,49.6%,68,15,109,7,The East Village Community School,5.3%,,58.2%,6.5%,All Students,48,56,,,10.6%,2017-18
17.3%,31.0%,,,,52.7%,52,38,167,65,P.S. 020 Anna Silver,11.4%,,s,48.8%,Receive free or reduced price lunch,40,181,,,30.8%,2017-18
10.8%,14.9%,,36,,55.1%,56,100,223,79,P.S. 034 Franklin D. Roosevelt,32.1%,,s,55.9%,Receive free or reduced price lunch,38,193,,,s,2017-18
21.2%,65.4%,,,,51.4%,64,31,106,19,P.S. 110 Florence Nightingale,14.2%,,s,21.2%,Receive free or reduced price lunch,41,118,,,18.8%,2017-18
s,s,,,,71.1%,42,s,55,s,P.S. 006 Lillie D. Blake,s,,79.4%,s,Students with Disabilities,28,9,,,6.2%,2017-18
15.9%,30.7%,,,,48.7%,31,17,89,31,P.S. 020 Anna Silver,10.8%,,s,44.3%,Attend school outside district of residence,24,86,,,28.5%,2017-18
25.4%,56.7%,,,,50.0%,36,23,68,6,P.S. 003 Charrette School,15.3%,,40.7%,19.4%,Receive free or reduced price lunch,30,46,,,8.7%,2017-18
37.0%,s,,,,44.9%,s,13,27,s,The STAR Academy - P.S.63,18.8%,,14.5%,s,Attend school outside district of residence,10,45,,,s,2017-18
36.7%,53.1%,,,,55.6%,66,27,94,9,The Children's Workshop School,9.7%,,35.5%,17.3%,All Students,49,108,,,9.7%,2017-18
s,s,,,,49.5%,s,30,41,12,P.S. 051 Elias Howe,27.0%,,8.1%,51.2%,Students in temporary housing,s,66,,,s,2017-18
10.9%,27.7%,,27,,56.1%,22,32,100,35,School for Global Leaders,29.9%,,s,47.5%,Attend school outside district of residence,15,58,,,15.0%,2017-18
37.1%,55.7%,,,,50.3%,39,31,70,6,The STAR Academy - P.S.63,17.5%,,10.7%,18.6%,All Students,29,115,,,s,2017-18
s,s,,,,50.0%,s,s,11,s,The STAR Academy - P.S.63,s,,s,s,Students in temporary housing,8,31,,,s,2017-18
s,s,,,,42.3%,s,s,s,s,Neighborhood School,s,,s,s,Students in temporary housing,s,19,,,s,2017-18
s,s,,,,s,s,s,s,s,P.S. 006 Lillie D. Blake,s,,s,s,Students in temporary housing,s,s,,,s,2017-18
s,s,,,,57.7%,25,s,33,s,P.S. 006 Lillie D. Blake,s,,53.5%,s,Receive free or reduced price lunch,12,10,,,23.9%,2017-18
