ela_l3_l4_1,ell_other_1,ell_haitian_creole_1,other_1,total_enrollment,grade_4,ela_level_4_1,grade_1,math_level_2_1,ell_arabic_1,ell_korean,ell_russian,ell_chinese_1,male
s,,,s,99,21,s,11,s,,,,,56
37.9%,,,s,243,36,10.7%,46,27.1%,,,,,119
52.4%,,,s,133,25,15.9%,18,13.1%,,,,,77
s,,,s,43,s,s,s,s,,,,,25
s,,,s,23,s,s,7,s,,,,,14
s,,,s,28,s,s,8,s,,,,,10
s,,,3.8%,286,43,s,50,s,,,,,148
s,,,s,121,24,s,20,26.0%,,,,,80
s,,,s,156,14,s,19,36.5%,,,,,80
65.2%,,,s,47,8,34.8%,8,s,,,,,25
s,,,s,64,11,s,9,s,,,,,45
s,,,s,66,6,s,11,47.8%,,,,,44
,s,s,s,9,,,s,s,s,s,s,s,s
51.7%,,,s,294,55,26.2%,51,19.9%,,,,,149
36.1%,,,4.1%,463,83,10.6%,82,22.4%,,,,,238
s,,,s,50,s,s,s,23.7%,,,,,26
,s,s,s,11,s,,s,,s,s,s,s,s
s,,,6.4%,110,18,s,20,s,,,,,54
s,,,s,64,7,s,12,33.3%,,,,,42
29.2%,,,s,192,33,6.7%,41,22.5%,,,,,115
s,,,s,119,16,s,s,19.1%,,,,,77
s,s,s,s,23,,s,,s,s,s,s,39.1%,15
s,,,s,63,16,s,6,36.4%,,,,,33
75.0%,,,s,60,11,35.7%,12,s,,,,,36
s,45.8%,s,s,24,s,s,s,s,s,s,s,s,11
77.3%,,,s,69,14,36.4%,s,s,,,,,35
50.7%,,,s,99,,21.3%,,22.1%,,,,,54
49.5%,,,s,113,,16.2%,,35.2%,,,,,58
73.0%,,,5.4%,184,14,39.0%,13,9.0%,,,,,100
62.4%,,,6.0%,282,40,18.3%,50,25.2%,,,,,140
31.1%,,,s,334,64,7.2%,61,20.2%,,,,,176
25.1%,,,s,312,35,8.1%,18,29.3%,,,,,172
60.4%,,,s,218,32,21.7%,34,13.5%,,,,,112
76.4%,,,s,97,23,25.5%,13,25.9%,,,,,69
34.8%,,,s,158,32,7.9%,28,25.0%,,,,,77
52.9%,,,4.7%,150,29,8.8%,22,23.9%,,,,,75
s,,,s,69,8,s,8,44.4%,,,,,31
70.2%,,,6.5%,279,35,18.1%,61,29.6%,,,,,155
s,,,s,111,15,s,19,32.6%,,,,,55
22.0%,,,s,107,,7.0%,,24.8%,,,,,60
55.7%,,,s,177,23,14.3%,29,25.7%,,,,,89
s,,,s,40,s,s,s,s,,,,,20
s,,,s,26,6,s,s,s,,,,,11
s,,,s,s,s,s,s,s,,,,,s
75.8%,,,s,71,14,39.4%,12,s,,,,,41
s,,,s,53,9,s,8,s,,,,,35
62.5%,,,s,513,88,25.7%,67,14.6%,,,,,271
s,,,s,18,s,s,,s,,,,,8
s,,,14.3%,105,14,s,18,s,,,,,71
s,,,s,11,s,s,s,s,,,,,s
s,,,s,15,,s,,s,,,,,8
s,,,s,113,22,s,22,18.8%,,,,,78
90.5%,,,6.0%,150,13,66.7%,13,s,,,,,86
s,,,s,45,7,s,9,s,,,,,37
,,,s,s,,,s,,,,,,s
,,,s,s,,,,,,,,,s
s,,,s,91,,s,,31.3%,,,,,64
39.1%,,,s,377,43,6.7%,40,37.8%,,,,,217
36.1%,,,2.7%,297,52,13.9%,47,18.0%,,,,,136
,,,s,s,,,,,,,,,s
