female,ell_spanish_1,math_level_4_1,other,ela_level_2,ela_level_2_1,math_level_1,dbn,math_l3_l4,ela_level_4,hispanic_1,math_level_4,grade_k,ell_bengali
43,,s,s,25,48.1%,19,01M142,s,s,88.9%,s,16,
124,,13.1%,s,41,39.8%,42,02M051,36,11,51.9%,14,40,
56,,31.1%,s,20,31.7%,17,01M019,36,10,59.4%,19,22,
18,,s,s,s,s,s,01M364,s,s,83.7%,s,9,
9,,s,s,s,s,s,01M361,s,s,65.2%,s,s,
18,,s,s,s,s,s,02M051,s,s,50.0%,s,7,
138,,s,11,15,44.1%,10,01M363,s,s,35.0%,s,56,
41,,s,s,21,41.2%,32,01M142,s,s,86.0%,s,22,
76,,s,s,34,36.6%,s,01M188,s,s,69.9%,s,21,
22,,47.8%,s,s,s,s,01M110,s,8,63.8%,11,8,
19,,s,s,s,s,s,01M363,s,s,43.8%,s,13,
22,,s,s,6,27.3%,6,01M361,s,s,45.5%,s,10,
s,s,s,s,,,s,01M361,s,,s,s,s,s
145,,35.8%,s,39,26.2%,40,02M001,81,39,25.5%,54,44,
225,,16.7%,19,68,30.0%,101,01M020,76,24,52.5%,38,71,
24,,s,s,13,34.2%,26,01M034,s,s,70.0%,s,s,
s,s,,s,,,,01M363,,,s,,s,s
56,,s,7,s,s,s,01M363,s,s,25.5%,s,20,
22,,s,s,13,54.2%,10,01M063,s,s,62.5%,s,14,
77,,11.2%,s,37,41.6%,41,01M064,28,6,66.7%,10,25,
42,,s,s,27,30.0%,69,01M034,s,s,63.9%,s,s,
8,60.9%,s,s,7,41.2%,12,01M378,s,s,60.9%,s,,s
30,,s,s,12,37.5%,s,01M015,s,s,74.6%,s,7,
24,,57.1%,s,s,s,s,02M002,23,10,28.3%,16,6,
13,41.7%,s,s,s,s,s,02M003,s,s,45.8%,s,s,s
34,,63.6%,s,s,s,s,01M110,35,16,37.7%,28,12,
45,,25.0%,s,22,29.3%,22,01M839,31,16,42.4%,17,,
55,,16.5%,s,35,35.4%,18,01M450,41,16,52.2%,15,,
84,,64.6%,10,22,15.6%,9,01M184,122,55,6.5%,93,13,
142,,36.4%,17,34,31.2%,7,01M315,73,20,19.9%,39,46,
158,,13.7%,s,50,29.9%,82,01M020,52,12,54.2%,23,47,
140,,4.1%,s,88,39.5%,124,01M034,33,18,61.9%,9,25,
106,,44.2%,s,23,21.7%,22,01M110,68,23,54.1%,46,41,
28,,48.1%,s,s,s,s,02M006,s,14,9.3%,26,8,
81,,14.8%,s,27,30.3%,39,01M020,27,7,54.4%,13,20,
75,,31.3%,7,26,38.2%,13,02M003,38,6,30.7%,21,27,
38,,s,s,10,37.0%,s,01M063,s,s,65.2%,s,22,
124,,16.3%,18,19,20.2%,17,01M361,52,17,38.7%,16,57,
56,,s,s,18,43.9%,22,02M051,s,s,59.5%,s,20,
47,,16.8%,s,43,43.0%,48,01M378,28,7,54.2%,17,,
88,,18.6%,s,25,35.7%,13,01M063,39,10,65.0%,13,40,
20,,s,s,s,s,s,01M063,s,s,77.5%,s,12,
15,,s,s,s,s,s,01M363,s,s,73.1%,s,6,
s,,s,s,s,s,s,02M006,s,s,s,s,,
30,,55.9%,s,s,s,s,02M006,s,13,14.1%,19,12,
18,,s,s,8,61.5%,s,01M315,s,s,30.2%,s,10,
242,,41.1%,s,57,22.5%,33,02M002,183,65,14.6%,104,87,
10,,s,s,s,s,s,02M001,s,s,50.0%,s,6,
34,,35.4%,15,16,33.3%,s,02M040,33,s,21.9%,17,19,
s,,s,s,s,s,s,02M006,s,s,s,s,s,
7,,s,s,s,s,10,01M301,s,s,53.3%,s,,
35,,s,s,9,18.4%,39,01M020,s,s,60.2%,s,14,
64,,74.4%,9,s,s,s,01M539,76,70,16.0%,64,11,
8,,s,s,7,28.0%,16,01M110,s,s,51.1%,s,s,
s,,,s,,,,02M343,,,s,,s,
s,,,s,,,,02M047,,,s,,,
27,,10.4%,s,30,39.0%,29,01M450,17,s,53.8%,7,,
160,,5.5%,s,100,39.5%,79,01M188,79,17,64.5%,14,37,
161,,12.9%,8,44,30.6%,72,02M033,42,20,45.5%,18,51,
s,,,s,,,,02M047,,,s,,,
s,,s,s,s,s,s,02M040,s,s,s,s,,
302,,58.0%,54,36,14.9%,12,02M059,203,109,10.8%,141,118,
s,s,,s,,,,02M047,,,s,,,s
35,,45.2%,s,9,30.0%,s,02M001,s,10,22.2%,14,10,
142,,s,27,16,39.0%,23,01M364,s,s,39.4%,s,62,
71,,16.1%,s,22,39.3%,12,01M063,29,s,66.7%,9,34,
217,,52.7%,6,69,22.3%,27,01M184,241,93,13.2%,165,42,
88,,23.8%,s,32,36.8%,27,01M019,42,12,65.1%,20,24,
39,,25.0%,10,21,38.2%,11,02M041,31,10,14.1%,14,13,
28,,16.7%,s,19,40.4%,21,01M134,17,s,48.6%,8,s,
176,,5.9%,s,109,38.4%,91,01M188,87,20,66.7%,17,37,
s,,,s,,,,02M047,,,s,,,
s,,s,s,s,s,s,02M041,s,s,s,s,,
29,,60.0%,s,7,28.0%,s,02M040,21,11,43.3%,15,12,
32,,14.5%,s,26,40.6%,34,02M011,18,s,35.5%,9,17,
14,96.0%,s,s,s,s,15,01M034,s,s,96.0%,s,,s
90,,22.7%,s,20,26.7%,13,01M015,39,14,60.1%,17,28,
40,,s,s,38,44.7%,57,01M301,s,8,52.9%,s,,
11,42.3%,s,s,8,61.5%,9,01M134,s,s,42.3%,s,s,s
249,,40.8%,s,61,23.0%,33,02M002,192,70,14.5%,108,88,
43,,8.7%,s,27,33.8%,23,01M188,34,8,67.6%,7,s,
s,s,s,s,s,s,s,01M110,s,s,s,s,s,s
13,58.6%,s,s,s,s,8,02M033,s,s,55.2%,s,7,s
302,,73.9%,12,s,s,s,02M006,278,156,6.7%,226,100,
136,,s,s,47,39.2%,50,01M142,s,7,83.1%,s,68,
57,,44.3%,s,16,26.7%,6,02M002,49,12,10.8%,27,20,
s,87.5%,s,s,s,s,s,01M015,s,s,87.5%,s,s,s
324,,63.3%,70,s,s,9,02M040,246,163,13.7%,176,127,
36,,s,s,13,48.1%,9,01M142,s,s,86.3%,s,27,
31,82.6%,s,s,11,28.9%,14,01M188,s,s,84.1%,s,s,s
s,,s,s,s,s,s,01M539,s,s,s,s,,
27,,s,s,14,32.6%,27,01M034,s,s,70.8%,s,7,
106,s,10.1%,s,27,42.9%,13,02M042,31,s,s,7,60,s
87,s,17.0%,s,20,39.2%,10,02M002,29,s,s,9,51,s
88,,8.4%,6,58,37.2%,43,01M450,49,19,59.2%,12,,
48,,s,s,47,45.2%,69,01M301,s,9,54.7%,s,,
171,,3.3%,s,111,44.6%,135,01M140,39,14,79.0%,8,28,
14,,s,s,6,27.3%,7,01M015,s,s,73.8%,s,s,
33,,s,s,19,23.2%,66,01M332,s,s,67.8%,s,,
14,,s,s,s,s,16,01M839,s,s,50.0%,s,,
134,,14.9%,7,54,25.6%,75,01M839,75,42,44.7%,29,,
15,s,s,s,s,s,s,02M040,s,s,s,s,s,s
22,,s,s,18,58.1%,21,01M140,s,s,87.0%,s,6,
47,,20.8%,s,s,s,6,01M361,29,9,23.9%,10,15,
11,s,s,s,s,s,s,02M006,s,s,s,s,s,s
15,,s,s,11,47.8%,18,01M134,s,s,61.1%,s,7,
41,,s,s,22,28.2%,58,01M134,s,s,66.1%,s,9,
324,,49.3%,53,48,15.8%,77,02M033,193,128,28.0%,147,100,
s,s,s,s,s,s,s,01M839,s,s,s,s,,s
129,,20.0%,7,51,35.2%,50,02M011,63,20,50.4%,29,30,
13,,s,s,s,s,s,01M019,s,s,85.2%,s,s,
20,,s,s,6,37.5%,8,02M011,s,s,54.3%,s,s,
22,,s,s,20,44.4%,41,01M301,s,s,53.3%,s,,
s,s,s,s,s,s,s,01M064,s,s,s,s,,s
235,,49.8%,s,67,28.8%,16,02M042,181,63,5.3%,119,79,
20,,s,s,s,s,s,02M033,s,s,45.2%,s,10,
34,,s,s,34,39.1%,66,01M378,s,s,67.3%,s,,
49,,s,s,34,50.0%,34,01M140,s,s,82.0%,s,s,
30,,s,s,10,26.3%,27,02M001,s,s,32.9%,s,10,
s,72.7%,s,s,s,s,8,01M332,s,s,72.7%,s,,s
28,,35.7%,8,s,s,s,02M041,18,8,26.3%,10,6,
40,,s,6,9,37.5%,s,01M315,s,s,37.8%,s,18,
27,,s,s,24,36.9%,42,01M332,s,s,62.3%,s,,
41,,s,10,s,s,8,01M364,s,s,30.1%,s,9,
30,,s,s,s,s,31,02M033,s,s,50.0%,s,10,
111,,13.8%,s,98,41.7%,116,01M378,58,18,56.6%,33,,
s,,s,s,s,s,s,01M315,s,s,s,s,s,
s,s,s,s,s,s,s,01M019,s,s,s,s,s,s
106,,29.7%,s,36,31.6%,30,01M019,65,18,63.1%,33,34,
142,,4.8%,s,89,38.7%,127,01M034,35,18,61.6%,11,25,
350,,45.5%,38,69,23.5%,20,02M003,219,92,13.9%,130,126,
11,100.0%,s,s,s,s,7,01M142,s,s,100.0%,s,s,s
20,40.0%,s,s,s,s,7,02M051,s,s,40.0%,s,9,s
39,,s,s,34,35.8%,27,01M188,s,7,63.2%,s,s,
27,,s,s,s,s,6,01M364,s,s,47.8%,s,13,
82,,s,13,9,39.1%,16,01M364,s,s,53.4%,s,33,
25,,s,s,s,s,s,01M015,s,s,61.4%,s,s,
s,s,,s,,,,01M539,,,s,,s,s
107,,33.9%,s,31,25.8%,35,02M001,64,29,25.0%,41,37,
s,,s,s,s,s,s,02M041,s,s,s,s,,
35,,20.0%,s,28,35.9%,26,01M184,26,6,24.1%,15,s,
62,,s,s,8,57.1%,s,01M363,s,s,55.5%,s,27,
44,s,28.8%,s,21,38.9%,7,01M184,41,s,s,17,14,s
134,,s,6,46,39.7%,48,01M142,s,7,83.9%,s,67,
50,,s,s,10,23.3%,25,02M033,s,6,44.0%,s,16,
s,s,,s,,,,01M315,,,s,,s,s
536,,78.2%,96,s,s,s,01M539,572,562,7.9%,467,94,
34,,48.4%,s,8,25.8%,s,02M003,23,s,22.6%,15,s,
568,,77.3%,102,s,s,s,01M539,612,594,8.2%,495,100,
50,,17.6%,s,26,46.4%,9,02M003,24,s,29.7%,9,12,
355,,61.0%,77,34,10.9%,14,02M041,272,169,10.5%,191,119,
39,,s,s,24,30.4%,58,01M839,s,s,47.5%,s,,
12,,s,s,6,40.0%,8,01M064,s,s,70.3%,s,s,
18,,s,s,15,34.9%,21,01M378,s,s,51.1%,s,,
s,s,s,s,s,s,s,02M041,s,s,s,s,s,s
154,,56.6%,11,29,16.6%,23,01M110,131,60,43.8%,98,64,
s,,,s,,,,02M047,,,s,,,
136,,17.6%,10,88,33.7%,50,01M450,118,50,52.7%,43,,
s,,s,s,s,s,s,02M040,s,s,s,s,,
122,,9.1%,6,60,37.0%,87,01M134,50,8,60.3%,15,36,
s,s,s,s,s,s,s,01M450,s,s,s,s,,s
6,,s,s,s,s,s,02M003,s,s,s,s,s,
12,47.6%,s,s,s,s,s,01M364,s,s,47.6%,s,6,s
454,,51.5%,60,87,19.6%,68,02M011,327,169,24.3%,229,140,
s,s,s,s,s,s,s,01M301,s,s,s,s,,s
38,,s,s,11,28.9%,29,01M020,s,s,66.7%,s,8,
198,,22.3%,14,75,25.7%,87,01M839,126,73,38.6%,60,,
11,,s,s,11,52.4%,7,01M450,s,s,78.3%,s,,
46,,s,s,32,40.0%,66,01M140,s,s,78.6%,s,s,
21,,s,s,15,45.5%,28,01M064,s,s,70.6%,s,s,
88,,14.1%,s,77,41.0%,95,01M378,46,11,53.7%,27,,
290,,51.3%,s,81,27.4%,20,02M042,230,85,6.4%,155,112,
150,,3.3%,s,94,42.9%,123,01M140,32,12,78.6%,7,24,
75,,19.4%,s,17,27.4%,13,01M015,28,8,61.6%,12,23,
25,10.9%,30.0%,s,10,34.5%,11,02M001,s,s,10.9%,9,9,s
36,,29.6%,s,8,26.7%,s,01M315,19,s,14.1%,8,11,
88,,4.2%,s,61,32.4%,131,01M332,22,13,63.1%,8,,
60,,54.8%,s,s,s,s,02M042,50,19,8.9%,34,21,
35,,s,s,26,51.0%,14,02M042,s,s,9.1%,s,20,
10,46.7%,s,s,7,63.6%,8,02M011,s,s,53.3%,s,s,s
21,,s,s,13,41.9%,14,01M064,s,s,62.1%,s,6,
14,,63.6%,s,7,30.4%,s,02M011,s,s,29.4%,14,s,
107,,8.0%,6,54,36.5%,83,01M134,44,6,60.6%,12,34,
18,,s,s,11,33.3%,14,01M019,s,s,65.9%,s,12,
81,,10.2%,s,40,41.7%,47,01M064,28,6,66.7%,10,27,
22,,35.0%,s,10,50.0%,s,02M042,s,s,s,7,12,
202,,21.1%,7,62,39.0%,56,02M051,68,24,48.1%,35,66,
11,,s,s,13,41.9%,23,01M301,s,s,71.0%,s,,
s,s,,s,,,,01M063,,,s,,s,s
20,91.7%,s,s,12,44.4%,24,01M140,s,s,88.9%,s,s,s
s,,s,s,s,s,s,02M059,s,s,s,s,,
40,32.6%,s,s,16,38.1%,18,01M020,s,s,33.7%,s,11,s
325,,55.3%,40,82,18.6%,33,01M184,351,148,12.8%,246,72,
11,,s,s,11,44.0%,20,01M332,s,s,77.8%,s,,
13,,34.0%,s,s,s,s,01M539,35,15,28.6%,16,s,
32,,13.7%,s,13,24.5%,23,02M002,18,s,27.4%,7,21,
39,,s,s,17,48.6%,21,02M051,s,s,61.9%,s,10,
77,,s,s,54,32.9%,124,01M332,s,8,65.2%,s,,
34,,56.5%,s,s,s,s,01M184,36,14,13.2%,26,9,
63,,s,6,12,30.0%,s,01M361,s,6,50.8%,s,29,
