ela_level_1_1,ell_russian_1,grade_7,female_1,asian,grade_2,ell_other,ela_level_3_1,ell_arabic,white,ell_chinese,grade_8
s,,,43.4%,s,15,,34.6%,,s,,
22.3%,,,51.0%,38,37,,27.2%,,s,,
15.9%,,,42.1%,s,25,,36.5%,,12,,
s,,,41.9%,s,14,,s,,s,,
s,,,39.1%,s,s,,s,,6,,
s,,,64.3%,s,s,,s,,s,,
s,,,48.3%,17,49,,32.4%,,130,,
31.4%,,,33.9%,s,19,,s,,s,,
s,,17,48.7%,s,17,,37.6%,,s,,17
s,,,46.8%,6,s,,30.4%,,s,,
s,,,29.7%,s,14,,s,,18,,
s,,,33.3%,s,14,,40.9%,,13,,
,s,,s,s,s,s,,s,6,s,
22.1%,,,49.3%,160,46,,25.5%,,s,,
33.9%,,,48.6%,143,69,,25.6%,,12,,
42.1%,,8,48.0%,s,s,,s,,s,,14
,s,,s,s,,s,,s,s,s,
s,,,50.9%,8,20,,42.9%,,56,,
s,,,34.4%,s,12,,25.0%,,9,,
29.2%,,,40.1%,s,33,,22.5%,,11,,
58.9%,,18,35.3%,s,s,,s,,s,,20
52.9%,s,13,34.8%,9,,s,s,s,s,9,s
s,,,47.6%,s,15,,46.9%,,s,,
s,,,40.0%,42,9,,39.3%,,s,,
s,s,,54.2%,6,8,11,s,s,7,s,
s,,,49.3%,11,s,,40.9%,,23,,
20.0%,,36,45.5%,23,,,29.3%,,18,,38
15.2%,,43,48.7%,s,,,33.3%,,20,,36
11.3%,,36,45.7%,148,12,,34.0%,,s,,35
6.4%,,,50.4%,30,50,,44.0%,,164,,
38.9%,,,47.3%,103,47,,24.0%,,s,,
35.4%,,39,44.9%,s,21,,17.0%,,s,,58
17.9%,,,48.6%,41,34,,38.7%,,s,,
s,,,28.9%,6,16,,50.9%,,77,,
34.8%,,,51.3%,45,20,,27.0%,,s,,
8.8%,,,50.0%,13,23,,44.1%,,61,,
s,,,55.1%,s,12,,37.0%,,10,,
9.6%,,,44.4%,27,48,,52.1%,,99,,
29.3%,,,50.5%,s,20,,s,,9,,
35.0%,,39,43.9%,16,,,15.0%,,s,,41
8.6%,,,49.7%,s,36,,41.4%,,19,,
s,,,50.0%,s,11,,72.7%,,s,,
s,,,57.7%,s,s,,s,,s,,
s,,,s,s,s,,s,,s,,
s,,,42.3%,17,9,,36.4%,,38,,
s,,,34.0%,s,7,,s,,28,,
15.0%,,,47.2%,406,80,,36.8%,,s,,
s,,,55.6%,s,s,,s,,s,,
s,,,32.4%,s,17,,37.5%,,61,,
s,,,s,s,,,s,,s,,
64.3%,,s,46.7%,s,,,s,,s,,7
79.6%,,,31.0%,27,20,,s,,s,,
s,,17,42.7%,73,19,,23.8%,,31,,20
56.0%,,,17.8%,s,s,,s,,10,,
,,,s,s,s,,,,s,,
,,,s,s,,,,,s,,
41.6%,,35,29.7%,s,,,s,,15,,33
21.3%,,51,42.4%,s,40,,32.4%,,10,,53
33.3%,,,54.2%,34,41,,22.2%,,20,,
,,,s,s,,,,,s,,
s,,,s,s,,,s,,s,,
2.5%,,,50.8%,106,112,,37.3%,,362,,
,s,,s,s,,s,,s,s,s,
s,,,55.6%,37,10,,s,,s,,
s,,,44.4%,20,47,,s,,108,,
s,,,48.3%,s,32,,41.1%,,10,,
11.3%,,56,49.3%,350,27,,36.2%,,9,,61
17.2%,,,47.3%,15,33,,32.2%,,s,,
14.5%,,,39.4%,s,15,,29.1%,,66,,
27.7%,,,37.8%,14,11,,s,,s,,
21.1%,,55,42.5%,s,43,,33.5%,,11,,60
,,,s,s,,,,,s,,
s,,,s,s,,,s,,s,,
s,,,48.3%,12,s,,s,,16,,
34.4%,,,26.4%,s,23,,s,,39,,
64.3%,s,s,56.0%,s,,s,s,s,s,s,6
10.7%,,,52.0%,17,33,,44.0%,,s,,
32.9%,,16,46.0%,s,,,12.9%,,s,,42
s,s,,42.3%,12,s,s,s,s,s,12,
14.7%,,,47.0%,420,81,,35.8%,,s,,
17.5%,,11,39.8%,s,15,,38.7%,,s,,22
s,s,,s,s,s,s,s,s,s,s,
50.0%,s,,44.8%,7,6,s,s,s,s,s,
s,,,49.0%,86,93,,38.8%,,464,,
20.8%,,,44.2%,7,49,,34.2%,,s,,
13.3%,,,47.5%,101,16,,40.0%,,s,,
s,s,,s,s,s,s,s,s,s,s,
s,,,50.9%,74,96,,29.7%,,396,,
s,,,45.0%,s,10,,40.7%,,s,,
s,s,s,44.9%,s,13,s,44.7%,s,s,s,11
s,,,s,s,s,,s,,s,,
44.2%,,8,37.5%,s,s,,s,,s,,8
47.6%,s,,47.1%,221,39,s,s,s,s,220,
s,s,,48.3%,174,37,s,s,s,s,174,
24.4%,,57,49.2%,18,,,26.3%,,12,,60
28.8%,,23,45.3%,s,,,17.3%,,6,,51
31.3%,,65,48.4%,19,24,,18.5%,,s,,66
s,,,33.3%,s,7,,40.9%,,s,,
64.6%,,31,36.7%,s,,,s,,s,,29
31.0%,,9,41.2%,8,,,31.0%,,s,,7
22.7%,,90,52.1%,66,,,31.8%,,26,,76
s,s,,71.4%,8,s,10,s,s,6,s,
35.5%,,13,40.7%,s,s,,s,,s,,s
s,,,40.2%,14,22,,57.8%,,60,,
s,s,,55.0%,8,s,11,s,s,9,s,
30.4%,,,41.7%,s,s,,s,,s,,
60.3%,,,34.7%,s,22,,s,,6,,
17.2%,,,52.8%,139,98,,24.8%,,140,,
s,s,s,s,s,,s,s,s,s,s,s
20.7%,,,48.5%,36,38,,30.3%,,41,,
s,,,48.1%,s,s,,s,,s,,
s,,,57.1%,s,s,,37.5%,,s,,
44.4%,,14,48.9%,s,,,s,,s,,17
s,s,,s,s,,s,s,s,s,s,
13.3%,,,49.6%,438,75,,30.9%,,s,,
s,,,47.6%,s,7,,33.3%,,s,,
55.2%,,34,34.7%,s,,,s,,s,,35
30.9%,,23,55.1%,s,s,,s,,6,,16
65.8%,,,38.0%,35,16,,s,,s,,
s,s,s,s,s,,s,s,s,s,s,9
s,,,49.1%,s,14,,41.4%,,30,,
s,,,54.1%,9,9,,s,,22,,
41.5%,,23,39.1%,10,,,s,,s,,26
s,,,39.8%,8,17,,s,,36,,
63.0%,,,30.6%,s,18,,19.6%,,7,,
34.0%,,90,43.4%,35,,,16.6%,,s,,96
s,,,s,s,,,s,,s,,
s,s,,s,s,s,s,s,s,s,s,
14.0%,,,43.4%,23,42,,38.6%,,s,,
35.7%,,41,44.4%,11,22,,17.8%,,s,,58
4.8%,,,50.1%,58,113,,40.5%,,463,,
s,s,,40.7%,s,6,s,s,s,s,s,
s,s,,57.1%,13,s,s,s,s,s,8,
14.7%,,21,31.2%,s,14,,42.1%,,s,,16
75.0%,,,30.0%,s,13,,s,,24,,
30.4%,,,47.1%,14,27,,s,,24,,
s,,,56.8%,s,8,,s,,s,,
,54.5%,,s,s,,s,,s,6,s,
23.3%,,,46.1%,126,36,,26.7%,,s,,
s,,,s,s,s,,s,,s,,
28.2%,,16,32.4%,61,9,,28.2%,,s,,18
s,,,48.4%,s,23,,s,,25,,
35.2%,s,8,42.7%,97,10,s,s,s,s,97,7
21.6%,,,44.8%,s,48,,32.8%,,s,,
46.5%,,,54.9%,s,12,,16.3%,,s,,
,s,,s,s,s,s,,s,s,s,
s,,133,49.6%,387,141,,18.8%,,456,,133
s,,,54.8%,s,s,,51.6%,,26,,
s,,149,49.3%,407,149,,19.6%,,490,,136
s,,,36.2%,s,21,,32.1%,,74,,
3.5%,,,54.0%,52,119,,31.2%,,452,,
51.9%,,36,39.4%,s,,,s,,12,,32
40.0%,,,32.4%,s,10,,s,,s,,
37.2%,,16,40.0%,6,,,s,,s,,17
s,s,,s,s,6,7,s,s,6,s,
11.4%,,,44.1%,61,55,,37.7%,,89,,
,,,s,s,,,,,s,,
17.2%,,105,45.6%,33,,,29.9%,,59,,94
s,,,s,s,,,s,,s,,
34.6%,,,44.0%,32,47,,23.5%,,11,,
s,s,,s,s,,s,s,s,s,s,
s,,,50.0%,s,s,,s,,s,,
s,s,,57.1%,7,s,s,s,s,s,s,
8.6%,,,50.2%,144,146,,33.6%,,425,,
s,s,s,s,s,,s,s,s,s,s,s
52.6%,,,50.7%,9,11,,s,,s,,
18.5%,,122,53.1%,86,,,30.8%,,78,,126
s,,8,47.8%,s,,,28.6%,,s,,8
51.2%,,27,41.1%,s,s,,s,,7,,22
45.5%,,,30.9%,s,11,,s,,s,,
35.6%,,72,42.9%,29,,,17.6%,,s,,74
12.5%,,,47.5%,552,95,,31.4%,,8,,
32.4%,,57,48.5%,17,21,,19.2%,,s,,55
12.9%,,,51.4%,14,27,,46.8%,,s,,
41.4%,s,,39.1%,56,11,s,s,s,s,53,
s,,,46.2%,12,13,,43.3%,,46,,
43.1%,,65,43.3%,18,,,17.6%,,s,,69
s,,,48.4%,111,15,,37.1%,,s,,
29.4%,,,31.8%,98,20,,s,,s,,
s,s,,33.3%,7,s,s,s,s,s,s,
s,,,36.2%,s,13,,29.0%,,8,,
s,,,41.2%,s,s,,34.8%,,17,,
35.8%,,,42.1%,29,46,,23.6%,,10,,
s,,,21.2%,s,18,,33.3%,,9,,
29.2%,,,38.6%,s,37,,22.9%,,13,,
s,,,41.5%,47,12,,35.0%,,s,,
15.7%,,,52.5%,65,62,,30.2%,,60,,
s,,10,35.5%,s,,,s,,s,,15
,s,,s,s,,s,,s,s,s,
51.9%,s,7,55.6%,s,s,s,s,s,s,s,s
s,,,s,s,s,,s,,s,,
40.5%,s,,46.5%,56,17,s,s,s,s,54,
10.0%,,83,50.1%,453,54,,37.9%,,48,,87
s,,7,40.7%,s,,,s,,s,,8
s,,14,23.2%,7,s,,49.0%,,22,,s
52.8%,,,27.4%,70,15,,s,,s,,
40.0%,,,46.4%,s,12,,s,,s,,
46.3%,,57,43.3%,18,,,15.9%,,s,,62
s,,8,50.0%,59,s,,31.7%,,s,,7
15.0%,,,47.7%,20,25,,40.0%,,19,,
