math_test_takers,math_level_2,grade_5,ell_haitian_creole,ell_bengali_1,math_level_3,grade_3,ell_spanish
53,s,15,,,18,21,
107,29,46,,,22,38,
61,8,28,,,17,15,
s,s,s,,,s,7,
10,s,s,,,s,s,
9,s,s,,,s,s,
32,s,37,,,10,51,
50,13,17,,,s,19,
96,35,13,,,31,18,
23,s,11,,,s,s,
s,s,6,,,s,11,
23,11,10,,,s,15,
s,s,,s,s,s,s,s
151,30,51,,,27,47,
228,51,69,,,38,89,
38,9,9,,,s,s,
,,,s,s,,s,s
12,s,13,,,s,19,
24,8,12,,,s,7,
89,20,32,,,18,28,
89,17,16,,,s,16,
22,s,,s,s,s,,14
33,12,13,,,s,6,
28,s,13,,,7,9,
8,s,s,s,s,s,s,10
44,s,20,,,7,10,
68,15,,,,14,,
91,32,,,,26,,
144,13,21,,,29,13,
107,27,48,,,34,48,
168,34,45,,,29,70,
222,65,34,,,24,46,
104,14,49,,,22,28,
54,14,20,,,s,17,
88,22,24,,,14,34,
67,16,19,,,17,30,
27,12,13,,,10,6,
98,29,32,,,36,46,
43,14,20,,,s,17,
101,25,,,,11,,
70,18,27,,,26,22,
11,s,s,,,s,s,
s,s,,,,s,s,
s,s,,,,s,s,
34,s,16,,,s,8,
11,s,10,,,s,9,
253,37,116,,,79,75,
7,s,s,,,s,s,
48,s,19,,,16,18,
9,s,s,,,s,s,
13,s,,,,s,,
48,9,15,,,s,20,
86,s,12,,,12,18,
25,s,9,,,s,9,
,,,,,,,
,,,,,,s,
67,21,,,,10,,
254,96,37,,,65,36,
139,25,44,,,24,62,
,,,,,,s,
s,s,s,,,s,s,
243,28,97,,,62,101,
,,,s,s,,s,s
31,s,13,,,s,9,
42,12,52,,,s,55,
56,15,22,,,20,20,
313,45,37,,,76,51,
84,15,31,,,22,35,
56,14,25,,,17,14,
48,10,16,,,9,16,
286,108,42,,,70,43,
,,,,,,s,
s,s,,,,s,s,
25,s,16,,,6,9,
62,10,29,,,9,20,
17,s,s,s,s,s,6,24
75,23,26,,,22,23,
79,16,,,,s,,
14,s,s,s,s,s,s,11
265,40,120,,,84,79,
80,23,11,,,27,12,
s,s,,s,s,s,s,s
11,s,s,s,s,s,7,17
306,s,115,,,52,97,
119,36,41,,,s,44,
61,6,30,,,22,19,
s,s,,s,s,s,,7
278,23,96,,,70,96,
27,10,7,,,s,10,
41,22,s,s,s,s,11,57
s,s,,,,s,,
44,12,10,,,s,14,
69,25,16,s,s,24,41,s
53,14,13,s,s,20,24,s
143,51,,,,37,,
98,18,,,,s,,
243,69,29,,,31,24,
21,9,11,,,s,s,
81,10,,,,s,,
28,9,,,,s,,
194,44,,,,46,,
6,s,s,s,s,s,s,s
32,7,7,,,s,s,
48,13,23,,,19,18,
s,s,s,s,s,s,s,s
23,s,8,,,s,7,
78,11,27,,,s,21,
298,28,97,,,46,121,
7,s,,s,s,s,,s
145,32,63,,,34,47,
13,s,s,,,s,s,
16,s,s,,,s,s,
43,s,,,,s,,
s,s,s,s,s,s,,s
239,42,107,,,62,70,
17,s,7,,,s,8,
87,18,,,,s,,
63,20,8,,,s,10,
40,s,15,,,s,14,
10,s,,s,s,s,,8
28,s,9,,,8,9,
23,7,15,,,8,8,
66,14,,,,s,,
15,s,26,,,s,18,
44,6,16,,,s,23,
239,65,,,,25,,
6,s,s,,,s,s,
s,s,,s,s,s,s,s
111,16,42,,,32,46,
229,67,36,,,24,47,
286,47,108,,,89,98,
11,s,s,s,s,s,6,27
13,s,s,s,s,s,s,14
94,38,13,,,s,13,
8,s,19,,,s,20,
22,6,22,,,s,31,
24,7,9,,,7,8,
,,,s,s,,,s
121,22,44,,,23,39,
s,s,s,,,s,,
75,23,s,,,11,11,
13,s,12,,,s,22,
59,11,s,s,s,24,25,s
115,35,41,,,s,44,
41,7,13,,,s,19,
,,,s,s,,,s
597,s,106,,,105,115,
31,s,s,,,8,15,
640,s,112,,,117,122,
51,18,20,,,15,23,
313,27,107,,,81,90,
76,12,,,,s,,
16,s,s,,,s,7,
43,13,,,,s,,
s,s,,s,s,s,s,s
173,19,73,,,33,48,
,,,,,,s,
244,76,,,,75,,
s,s,s,,,s,,
164,27,58,,,35,52,
s,s,,s,s,s,,s
s,s,s,,,s,s,
s,s,,s,s,s,s,10
445,50,183,,,98,131,
s,s,,s,s,s,,s
38,s,11,,,s,13,
269,56,,,,66,,
19,6,,,,s,,
77,9,9,,,s,8,
34,s,12,,,s,s,
191,50,,,,19,,
302,52,129,,,75,90,
213,58,28,,,25,21,
62,21,24,,,16,18,
30,s,7,s,s,s,11,7
27,s,19,,,11,13,
189,36,,,,14,,
62,s,25,,,16,14,
51,20,18,,,s,17,
14,s,6,s,s,s,6,14
31,12,6,,,s,11,
22,s,13,,,s,6,
150,23,54,,,32,46,
33,s,11,,,s,17,
98,23,36,,,18,30,
20,7,s,,,s,s,
166,42,61,,,33,59,
31,s,,,,s,,
,,,s,s,,,s
27,s,s,s,s,s,s,33
s,s,6,,,s,s,
45,15,8,s,s,s,26,28
445,61,53,,,105,72,
26,s,,,,s,,
47,s,s,,,19,6,
51,10,32,,,11,18,
35,10,17,,,s,12,
166,26,,,,s,,
46,s,6,,,10,12,
40,13,14,,,12,20,
