bbl,bin,latitude,nta,signed_poes,certification_class
1-855-37,1016749.0,40.742452,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes - for installed connections,Platinum
1-1276-58,1085972.0,40.752236,Murray Hill-Kips Bay                                                       ,Yes - for installed connections,Gold
1-1270-71,,,,Yes - for installed connections,Gold
1-1280-60,1035385.0,40.752262,Turtle Bay-East Midtown                                                    ,Yes - for installed connections,Silver
1-16-120,1000057.0,40.711425,Battery Park City-Lower Manhattan                                          ,Yes - for installed connections,Platinum
1-1281-69,1035401.0,40.755842,Midtown-Midtown South                                                      ,Yes - for installed connections,Platinum
1-192-1,1002192.0,40.719753,SoHo-TriBeCa-Civic Center-Little Italy                                     ,Yes - for installed connections,Platinum
1-1035-17,1080878.0,40.75889,Clinton                                                                    ,None available,Platinum
1-1268-1102,1034520.0,40.760549,Midtown-Midtown South                                                      ,Yes - for installed connections,Platinum
1-1301-1,1036205.0,40.754826,Turtle Bay-East Midtown                                                    ,Yes - for installed connections,Platinum
1-510-7502,1007941.0,40.724537,SoHo-TriBeCa-Civic Center-Little Italy                                     ,None available,Silver
1-62-7501,1001068.0,40.70943,Battery Park City-Lower Manhattan                                          ,Yes - for installed connections,Platinum
1-849-70,1016226.0,40.739644,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes - for installed connections,Platinum
1-1014-33,1024686.0,40.756376,Midtown-Midtown South                                                      ,Yes - for installed connections,Platinum
1-817-7502,1080621.0,40.736881,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes - for installed connections,Platinum
1-1301-33,1036207.0,40.753722,Turtle Bay-East Midtown                                                    ,Yes - for installed connections,Gold
1-1296-1,1036151.0,40.751862,Murray Hill-Kips Bay                                                       ,Yes - for installed connections,Gold
1-997-41,1069581.0,40.757117,Midtown-Midtown South                                                      ,Yes - for installed connections,Silver
1-1294-46,1036085.0,40.763054,Midtown-Midtown South                                                      ,None available,Silver
1-46-1,1001023.0,40.707725,Battery Park City-Lower Manhattan                                          ,Yes - for installed connections,Platinum
1-1258-9,,,,Yes - for installed connections,Platinum
1-1296-1001,1083181.0,40.751807,Murray Hill-Kips Bay                                                       ,Yes - for installed connections,Gold
1-1086-1,1027072.0,40.770125,Clinton                                                                    ,None available,Silver
1-4-1010,1000005.0,40.702444,Battery Park City-Lower Manhattan                                          ,Yes - for installed connections,Platinum
1-1024-15,1076199.0,40.762963,Midtown-Midtown South                                                      ,Yes - for installed connections,Platinum
1-882-3,1018123.0,40.742295,Gramercy                                                                   ,Yes - for installed connections,Platinum
1-1307-14,1036466.0,40.757943,Turtle Bay-East Midtown                                                    ,Yes - for installed connections,Gold
1-1016-36,1024714.0,40.757636,Midtown-Midtown South                                                      ,None available,Gold
1-125-20,1001409.0,40.712968,SoHo-TriBeCa-Civic Center-Little Italy                                     ,Yes - for installed connections,Gold
1-1288-7,1035709.0,40.75964,Midtown-Midtown South                                                      ,Yes - for installed connections,Gold
1-16-125,1000058.0,40.711537,Battery Park City-Lower Manhattan                                          ,None available,Gold
1-999-29,,,,Yes - for installed connections,Platinum
1-37-23,1000874.0,40.705308,Battery Park City-Lower Manhattan                                          ,None available,Silver
1-16-150,,,,None available,Gold
1-1301-23,1036206.0,40.754244,Turtle Bay-East Midtown                                                    ,Yes - for installed connections,Gold
1-882-85,1018159.0,40.742534,Gramercy                                                                   ,None available,Gold
1-857-24,1016889.0,40.743478,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Yes - for installed connections,Platinum
1-851-41,1016287.0,40.740006,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,None available,Silver
1-1040-29,1076203.0,40.762074,Clinton                                                                    ,Yes - for installed connections,Platinum
1-873-67,1017860.0,40.736963,Gramercy                                                                   ,Yes - for installed connections,Gold
1-1024-38,1024828.0,40.763034,Midtown-Midtown South                                                      ,Yes - for installed connections,Platinum
1/25/2001,1000821.0,40.705189,Battery Park City-Lower Manhattan                                          ,Yes - for installed connections,Platinum
1-1015-29,1024706.0,40.757103,Midtown-Midtown South                                                      ,Yes - for installed connections,Gold
1-762-25,1013643.0,40.754946,Clinton                                                                    ,Yes - for installed connections,Platinum
1-862-29,1017019.0,40.746077,Midtown-Midtown South                                                      ,None available,Gold
1-43-1,1001017.0,40.70654,Battery Park City-Lower Manhattan                                          ,Yes - for installed connections,Platinum
1-1295-58,1036150.0,40.750646,Murray Hill-Kips Bay                                                       ,Yes - for installed connections,Platinum
1-1329-1,1038577.0,40.759136,Turtle Bay-East Midtown                                                    ,None available,Gold
1-1295-40,1036149.0,40.749798,Murray Hill-Kips Bay                                                       ,None available,Gold
1-809-53,1015201.0,40.750063,Midtown-Midtown South                                                      ,Yes - for installed connections,Platinum
1-1315-24,1037546.0,40.750256,Turtle Bay-East Midtown                                                    ,Yes - for installed connections,Silver
