street_address,diverse_riser_locations
35 MADISON AVENUE,Yes
300 MADISON AVENUE,Yes
1350 AVENUE OF THE AMERIC,Yes
420 LEXINGTON AVENUE,Does not have two or more diverse riser locations
200 LIBERTY STREET,Yes
553 5 AVENUE,Yes
16 WALKER STREET,Yes
321 WEST 44 STREET,Yes
666 5 AVENUE,Yes
245 PARK AVENUE,Yes
295 Lafayette Street,Yes
1 LIBERTY PLAZA,Yes
915 BROADWAY,Yes
3 TIMES SQUARE,Yes
100 5 AVENUE,Yes
750 3 AVENUE,Does not have two or more diverse riser locations
100 EAST 42 STREET,Yes
120 WEST 45 STREET,Does not have two or more diverse riser locations
613 MADISON AVENUE,Does not have two or more diverse riser locations
2 WALL STREET,Does not have two or more diverse riser locations
1114 AVENUE OF THE AMERIC,Yes
110 EAST 42 STREET,Yes
555 WEST 57 STREET,Yes
1 WATER STREET,Yes
1675 BROADWAY,Does not have two or more diverse riser locations
369 PARK AVENUE SOUTH,Yes
600 LEXINGTON AVENUE,Yes
1515 BROADWAY,Yes
100 CHURCH STREET,Yes
5 EAST 52 STREET,Yes
225 LIBERTY STREET,Yes
1185 AVENUE OF THE AMERIC,Yes
180 MAIDEN LANE,Does not have two or more diverse riser locations
250 VESEY PLACE,Yes
485 LEXINGTON AVENUE,Yes
381 PARK AVENUE SOUTH,Yes
63 MADISON AVENUE,Yes
304 PARK AVENUE SOUTH,Yes
825 8 AVENUE,Yes
215 PARK AVENUE SOUTH,Yes
1680 BROADWAY,Yes
55 BROAD STREET,Does not have two or more diverse riser locations
1501 BROADWAY,Does not have two or more diverse riser locations
307 WEST 38 STREET,Does not have two or more diverse riser locations
2 PARK AVENUE,Yes
44 WALL STREET,Yes
370 LEXINGTON AVENUE,Does not have two or more diverse riser locations
919 3 AVENUE,Does not have two or more diverse riser locations
630 3 AVENUE,Yes
112 West 34th Street,Yes
220 EAST 42 STREET,Does not have two or more diverse riser locations
