building_name,of_carriers,community_council
100 Church Street,5 or more,1.0
112 West 34th Street,5 or more,3.0
373 Park Avenue South,5 or more,2.0
110 East 42nd Street,4,4.0
10 East 53rd Street,5 or more,4.0
125 Park Avenue,5 or more,4.0
625 Madison Avenue,5 or more,4.0
1185 Avenue of the Americas,5 or more,
200 Liberty Street,5 or more,1.0
3 Times Square,5 or more,3.0
600 Lexington Avenue,5 or more,4.0
Paramount Building,4,3.0
225 Liberty Street,5 or more,1.0
120 West 45th Street,5 or more,4.0
666 Fifth Avenue,5 or more,4.0
2 Park Avenue ,5 or more,2.0
Grace Building,5 or more,
750 3rd Avenue,5 or more,4.0
One New York Plaza,5 or more,1.0
Puck Building,3,1.0
100-104 Fifth Avenue,5 or more,3.0
915 Broadway,5 or more,2.0
180 Maiden Lane,5 or more,1.0
307 West 38th Street,5 or more,3.0
630 3rd Avenue,4,4.0
1350 Avenue of the Americas,5 or more,
Worldwide Plaza,5 or more,3.0
32 Avenue of the Americas,5 or more,1.0
55 Broad Street,5 or more,1.0
63 Madison Avenue,5 or more,2.0
370 Lexington Avenue,5 or more,4.0
919 3rd Avenue,5 or more,4.0
300 Madison Avenue,5 or more,4.0
The Plant,3,3.0
555 5th Avenue,5 or more,4.0
250 Vesey Street,5 or more,
One Liberty Plaza,5 or more,1.0
1515 Broadway,5 or more,3.0
2 Wall Street,5 or more,1.0
245 Park Avenue,5 or more,4.0
215 Park Avenue South,5 or more,2.0
420 Lexington Avenue,5 or more,4.0
485 Lexington Avenue,5 or more,4.0
555 West 57th Street,4,6.0
1675 Broadway,5 or more,3.0
381 Park Avenue South,4,2.0
810 7th Avenue,5 or more,4.0
220 East 42nd Street,5 or more,4.0
44 Wall Street,5 or more,1.0
304 Park Avenue South,4,2.0
41 Madison Avenue,5 or more,2.0
