agent_number,total_payment_amount,last_date_updated
A0113,"$1,000.00",2025-12-24T00:00:00.000
A0312,"$1,000.00",2025-12-24T00:00:00.000
A0259,"$1,000.00",2025-12-24T00:00:00.000
A0225,"$1,333.33",2025-12-24T00:00:00.000
A0325,"$1,000.00",2025-12-24T00:00:00.000
A0232,"$16,666.66",2025-12-24T00:00:00.000
A0356,"$4,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0342,"$1,000.00",2025-12-24T00:00:00.000
,"$4,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0224,"$1,333.33",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0253,"$1,000.00",2025-12-24T00:00:00.000
A0217,"$1,000.00",2025-12-24T00:00:00.000
A0113,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0358,"$1,000.00",2025-12-24T00:00:00.000
A0329,"$1,333.33",2025-12-24T00:00:00.000
A0259,"$1,333.33",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
A0358,"$1,000.00",2025-12-24T00:00:00.000
A0253,"$5,333.32",2025-12-24T00:00:00.000
,$0.03,2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0358,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0327,"$1,000.00",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
A0253,"$3,000.00",2025-12-24T00:00:00.000
A0014,"$1,000.00",2025-12-24T00:00:00.000
A0102,"$1,333.33",2025-12-24T00:00:00.000
A0304,"$17,999.99",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$15,333.33",2025-12-24T00:00:00.000
A0307,"$15,333.33",2025-12-24T00:00:00.000
A0201,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0327,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0290,"$1,000.00",2025-12-24T00:00:00.000
A0352,"$2,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0325,"$1,333.33",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0113,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0358,"$14,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0308,"$1,000.00",2025-12-24T00:00:00.000
A0014,"$1,000.00",2025-12-24T00:00:00.000
A0113,"$1,333.33",2025-12-24T00:00:00.000
A0202,"$1,000.00",2025-12-24T00:00:00.000
A0113,"$15,333.33",2025-12-24T00:00:00.000
