hackup_payment_amount
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
"$15,333.33"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$15,333.33"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
"$14,000.00"
$0.00
"$14,000.00"
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
"$14,000.00"
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
"$14,000.00"
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
$0.00
"$14,000.00"
$0.00
$0.00
$0.00
