the_geom,oftcode,fromstreet,onstreetna
"{'type': 'MultiPoint', 'coordinates': [[-73.95252974960275, 40.803216529532904], [-73.95266813393674, 40.80302498729515], [-73.95265001522644, 40.80287410126804]]}",110610131190000000,ST NICHOLAS AVENUE,7 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.9554072979579, 40.7768684801813]]}",110210118650000000,EAST 83 STREET,3 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.94372375908023, 40.7928737506246]]}",110210119130000000,EAST 108 STREET,3 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.93487343886456, 40.816527846886174]]}",110410136590000000,WEST 141 STREET,5 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.9776828734937, 40.74225558679298]]}",110110117590000000,EAST 30 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.96607449213936, 40.77377298949079]]}",110410118470000000,EAST 74 STREET,5 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.98314654910043, 40.73883181231451]]}",110210117450000000,EAST 23 STREET,3 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.97080361219892, 40.751748200785926]]}",110110117890000000,EAST 45 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.98833572548162, 40.754130293077516]]}",110610134550000000,WEST 39 STREET,7 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.9503362980029, 40.779809968256686]]}",110110118770000000,EAST 89 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.95447080218847, 40.800691187660895], [-73.95439416624717, 40.800658865465664], [-73.95431850651319, 40.800626997457805]]}",110610136010000000,WEST 112 STREET,7 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.98306946963021, 40.73065522599046]]}",110010117250000000,EAST 13 STREET,1 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.98326290994166, 40.76109361500129]]}",110610134770000000,WEST 50 STREET,7 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.96802446320224, 40.75138952977812], [-73.96797381758034, 40.75136572524392], [-73.96792531320402, 40.75134620679093]]}",110010117910000000,EAST 46 STREET,1 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.94942155728269, 40.781058936859964]]}",110110118810000000,EAST 91 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.96514745392409, 40.775044231781]]}",110410118510000000,EAST 76 STREET,5 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.96013787747178, 40.762105652197626]]}",110010118250000000,EAST 63 STREET,1 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.99280340832719, 40.742910018895586]]}",110510134230000000,WEST 23 STREET,AVENUE OF THE AMERICAS
"{'type': 'MultiPoint', 'coordinates': [[-73.98986956356244, 40.72558217068681]]}",110110117050000000,EAST 3 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.95270421517746, 40.776561411661085]]}",110110118670000000,EAST 84 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.96722655096916, 40.752688222949615], [-73.96710437200764, 40.75263638113001], [-73.96706734068754, 40.75262067563499], [-73.9670185516719, 40.752600742489925], [-73.96688157212989, 40.75254455665754]]}",110010117950000000,EAST 48 STREET,1 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.98417368705124, 40.759841592054435]]}",110610134730000000,WEST 48 STREET,7 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-73.9475776328492, 40.78356790590551]]}",110110118870000000,EAST 95 STREET,2 AVENUE
"{'type': 'MultiPoint', 'coordinates': [[-74.0053071317245, 40.72172631518741]]}",110510124400000000,LAIGHT STREET,AVENUE OF THE AMERICAS
