the_geom,geoborough
"{'type': 'MultiPoint', 'coordinates': [[-73.9698858979703, 40.75299884890024]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95741202512603, 40.76586875478687]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95586933703389, 40.7762362261077]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-74.005248322448, 40.72102475880442]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.96806568894296, 40.75550420335164]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.9776027017767, 40.7381717951741]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98789162897867, 40.754749390640406]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98536080158502, 40.73578993024976]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98718049621665, 40.73329214716898]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95633492310648, 40.77560078368892]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.97805226554983, 40.73755395345224]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.99587409531388, 40.7386859457455]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95786874207552, 40.765242323187024]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.9814335201283, 40.76359435861969]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98085965460861, 40.741969767614876]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94051828196092, 40.7972607010484]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94522996379276, 40.786809253164556]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.97220372205464, 40.74982300527619]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95409265681275, 40.7746562573356]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.96852047091878, 40.75487619002669]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.96529307402557, 40.75930783717974]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95355053788775, 40.80194774616492], [-73.95347673231439, 40.80191664018077], [-73.95335909680638, 40.80186265275348]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95448224191584, 40.77813866438246]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95964440772252, 40.77106426572975]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94002175130942, 40.79794639941218]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98924341991618, 40.75289546416618]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.9820744325899, 40.73203031283195], [-73.98196782194584, 40.731982560243594]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.97401054833067, 40.743098507905714]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.9941607835612, 40.74102882222977]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94839517777572, 40.78646018571499]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.96060027643453, 40.761484853967026]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.96230361389951, 40.778947040816035]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95252222674863, 40.79234762218687]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.97614570346302, 40.740170275990685], [-73.97625126770257, 40.7400233269171]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.9418760482185, 40.79540586866676]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.96715254295408, 40.75676519511809]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98373015417644, 40.76045708823707]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95343683805629, 40.79108514155914]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98493339298456, 40.73637638482823]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98853796281787, 40.72740161869006]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95871707479046, 40.77233167461415]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95212203240699, 40.78138671061738]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94896177091574, 40.78168887747817]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.96984859886265, 40.757075957333484]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.947002391671, 40.78838239275936]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.97538295845322, 40.749483058172025]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.97031778715684, 40.74815805716603], [-73.97027034961603, 40.74813961066803], [-73.97018951525696, 40.74810817201237]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94467601911843, 40.79156953957528]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98966262663117, 40.72985838304897]]}",M
